Block Id,Block Name
B9,Adampur
B8,Agroha
B105,Alewa
B88,Ambala-I
B89,Ambala-II
B75,Assandh
B112,Ateli
B61,Ballabgarh
B81,Babain
B29,Badhra
B42,Bahadurgarh
B69,Bapoli
B18,Baragudha
B90,Barara
B6,Barwala
B2,Bas
B118,Bawal
B26,Bawani Khera
B32,Behal
B39,Beri
B12,Bhattukalan
B24,Bhiwani
B13,Bhuna
B98,Bilaspur
B101,Chhachhrauli
B21,Dabwali
B27,Dadri-I
B28,Dadri-II
B20,Ellenabad
B60,Faridabad
B51,Farrukh Nagar
B11,Fatehabad
B56,Ferozpur Jhirka
B49,Ganaur
B74,Gharaunda
B46,Gohana
B86,Gulha
B50,Gurgaon
B1,Hansi I
B120,Hansi-II
B64,Hassanpur
B65,Hathin
B4,Hisar I
B5,Hisar II
B63,Hodal
B73,Indri
B124,Ismailabad
B70,Israna
B97,Jagadhari
B15,Jakhal
B117,Jatusana
B38,Jhajjar
B103,Jind
B104,Julana
B31,Kairu
B82,Kaithal
B37,Kalanaur
B84,Kalayat
B110,Kanina
B71,Karnal
B47,Kathura
B45,Kharkhoda
B116,Khol
B80,Ladwa
B33,Lakhan Majra
B23,Loharu
B111,Mahendergarh
B41,Matanhail
B68,Matlauda
B36,Meham
B59,Mewat
B94,Morni
B48,Mundlana
B102,Mustafabad
B57,Nagina
B119,Nahar
B114,Nangal Chaudhary
B92,Naraingarh
B113,Narnaul
B3,Narnaund
B109,Narwana
B17,Nathusari
B122,Nijampur
B76,Nilokheri
B72,Nissing
B54,Nuh
B22,Odhan
B62,Palwal
B66,Panipat
B53,Pataudi
B79,Pehowa
B107,Pillukhera
B96,Pinjore
B83,Pundri
B58,Punhana
B99,Radaur
B44,Rai
B95,Raipurrani
B85,Rajound
B19,Rania
B10,Ratia
B115,Rewari
B34,Rohtak
B100,Sadaura
B106,Safidon
B91,Saha
B93,Sahazadpur
B40,Salhawas
B67,Samalkha
B35,Sampla
B123,Satnali
B78,Shahabad
B121,Sihma
B16,Sirsa
B87,Siwan
B30,Siwani
B52,Sohna
B43,Sonepat
B55,Tauru
B77,Thanesar
B14,Tohana
B25,Tosham
B108,Uchana
B7,Uklana
B125,Murthal
B126,Prithla
B127,Raipur Rani
