"","X","Year","District","Block","Crop","Yield"
"1",849,2013,"Hisar","Hansi I","Bajra",0.0290743639578496
"2",850,2013,"Hisar","Hansi-II","Bajra",0.109593563160725
"3",851,2013,"Hisar","Narnaund","Bajra",0.817255257563458
"4",852,2013,"Hisar","Hisar I","Bajra",0.498580680436586
"5",853,2013,"Hisar","Hisar II","Bajra",1.11098022366972
"6",854,2013,"Hisar","Barwala","Bajra",0.856947820550791
"7",855,2013,"Hisar","Uklana","Bajra",0.511055485946891
"8",856,2013,"Hisar","Agroha","Bajra",0.868288552832886
"9",857,2013,"Hisar","Adampur","Bajra",0.0823758056836965
"10",858,2013,"Fatehabad","Ratia","Bajra",0.841070795355858
"11",859,2013,"Fatehabad","Fatehabad","Bajra",0.691373129232203
"12",860,2013,"Fatehabad","Bhattukalan","Bajra",0.0914483915093726
"13",861,2013,"Fatehabad","Bhuna","Bajra",0.649412419788451
"14",862,2013,"Fatehabad","Tohana","Bajra",0.240011984404818
"15",863,2013,"Fatehabad","Jakhal","Bajra",-1.69131472323598
"16",864,2013,"Sirsa","Sirsa","Bajra",0.292179352902456
"17",865,2013,"Sirsa","Nathusari","Bajra",-0.0106181990294832
"18",866,2013,"Sirsa","Baragudha","Bajra",-1.69131472323598
"19",867,2013,"Sirsa","Rania","Bajra",0.580233952867671
"20",868,2013,"Sirsa","Ellenabad","Bajra",0.567759147357366
"21",869,2013,"Sirsa","Dabwali","Bajra",0.213928300156
"22",870,2013,"Sirsa","Odhan","Bajra",-1.69131472323598
"23",871,2013,"Sirsa","Sirsa","Bajra",-1.69131472323598
"24",872,2013,"Bhiwani","Loharu","Bajra",0.0562921214348778
"25",873,2013,"Bhiwani","Bhiwani","Bajra",0.0370128765553162
"26",874,2013,"Bhiwani","Tosham","Bajra",-0.24990765018169
"27",875,2013,"Bhiwani","Bawani Khera","Bajra",0.67549610403727
"28",876,2013,"Bhiwani","Dadri-I","Bajra",0.607451710344699
"29",877,2013,"Bhiwani","Dadri-II","Bajra",0.524664364685405
"30",878,2013,"Bhiwani","Badhra","Bajra",-0.311147604505003
"31",879,2013,"Bhiwani","Siwani","Bajra",0.114129856073563
"32",880,2013,"Bhiwani","Kairu","Bajra",0.00866104585007846
"33",881,2013,"Bhiwani","Behal","Bajra",0.103923197019677
"34",882,2013,"Rohtak","Lakhan Majra","Bajra",-0.222689892704661
"35",883,2013,"Rohtak","Rohtak","Bajra",0.0846439521401155
"36",884,2013,"Rohtak","Sampla","Bajra",-0.98818932174608
"37",885,2013,"Rohtak","Meham","Bajra",-0.112684789568339
"38",886,2013,"Rohtak","Kalanaur","Bajra",0.362491893051445
"39",887,2013,"Jhajjar","Jhajjar","Bajra",0.76622196229403
"40",888,2013,"Jhajjar","Beri","Bajra",-0.114952936024758
"41",889,2013,"Jhajjar","Salhawas","Bajra",0.621060589083213
"42",890,2013,"Jhajjar","Matanhail","Bajra",0.44414516548253
"43",891,2013,"Jhajjar","Bahadurgarh","Bajra",0.415793334777292
"44",892,2013,"Sonepat","Sonepat","Bajra",0.996438827620561
"45",893,2013,"Sonepat","Rai","Bajra",0.660753152070546
"46",894,2013,"Sonepat","Kharkhoda","Bajra",1.34913560159372
"47",895,2013,"Sonepat","Gohana","Bajra",0.641473907190984
"48",896,2013,"Sonepat","Kathura","Bajra",0.721993106393859
"49",897,2013,"Sonepat","Mundlana","Bajra",0.398782236354149
"50",898,2013,"Sonepat","Ganaur","Bajra",0.9057129693638
"51",899,2013,"Gurgaon","Gurgaon","Bajra",0.652814639473079
"52",900,2013,"Gurgaon","Farrukh Nagar","Bajra",0.646010200103822
"53",901,2013,"Gurgaon","Sohna","Bajra",0.347748941084722
"54",902,2013,"Gurgaon","Pataudi","Bajra",1.02592473155401
"55",903,2013,"Mewat","Nuh","Bajra",0.821791550476296
"56",904,2013,"Mewat","Tauru","Bajra",1.41604592205808
"57",905,2013,"Mewat","Ferozpur Jhirka","Bajra",0.297849719043503
"58",906,2013,"Mewat","Nagina","Bajra",0.241146057633028
"59",907,2013,"Mewat","Punhana","Bajra",0.584770245780509
"60",908,2013,"Mewat","Mewat","Bajra",-1.69131472323598
"61",909,2013,"Faridabad","Faridabad","Bajra",0.310324524553808
"62",910,2013,"Faridabad","B/garh","Bajra",0.411257041864454
"63",911,2013,"Palwal","Palwal","Bajra",0.652814639473079
"64",912,2013,"Palwal","Hodal","Bajra",0.286508986761408
"65",913,2013,"Palwal","Hassanpur","Bajra",1.06788544099776
"66",914,2013,"Palwal","Hathin","Bajra",0.85921596700721
"67",915,2013,"Panipat","Panipat","Bajra",-1.69131472323598
"68",916,2013,"Panipat","Samalkha","Bajra",0.641473907190984
"69",917,2013,"Panipat","Matlauda","Bajra",-1.69131472323598
"70",918,2013,"Panipat","Bapoli","Bajra",0.641473907190984
"71",919,2013,"Panipat","Israna","Bajra",0.641473907190984
"72",920,2013,"Karnal","Karnal","Bajra",-1.69131472323598
"73",921,2013,"Karnal","Nissing","Bajra",0.641473907190984
"74",922,2013,"Karnal","Indri","Bajra",-1.69131472323598
"75",923,2013,"Karnal","Gharaunda","Bajra",0.641473907190984
"76",924,2013,"Karnal","Assandh","Bajra",0.641473907190984
"77",925,2013,"Karnal","Nilokheri","Bajra",-1.69131472323598
"78",926,2013,"Kurukshetra","Thanesar","Bajra",-1.69131472323598
"79",927,2013,"Kurukshetra","Shahabad","Bajra",-1.69131472323598
"80",928,2013,"Kurukshetra","Pehowa","Bajra",0.641473907190984
"81",929,2013,"Kurukshetra","Ladwa","Bajra",-1.69131472323598
"82",930,2013,"Kurukshetra","Babain","Bajra",-1.69131472323598
"83",931,2013,"Kaithal","Kaithal","Bajra",1.1087120772133
"84",932,2013,"Kaithal","Pundri","Bajra",1.08943283233374
"85",933,2013,"Kaithal","Kalayat","Bajra",1.37975557875537
"86",934,2013,"Kaithal","Rajound","Bajra",0.843338941812277
"87",935,2013,"Kaithal","Gulha","Bajra",-1.69131472323598
"88",936,2013,"Kaithal","Siwan","Bajra",-1.69131472323598
"89",937,2013,"Kaithal","Kaithal","Bajra",-1.69131472323598
"90",938,2013,"Ambala","Ambala-I","Bajra",-1.69131472323598
"91",939,2013,"Ambala","Ambala-II","Bajra",-1.69131472323598
"92",940,2013,"Ambala","Barara","Bajra",-1.69131472323598
