"","X","Year","District","Block","Crop","Yield"
"1",1215,2013,"Hisar","Hansi I","Cotton",-0.0343667781986097
"2",1216,2013,"Hisar","Hansi-II","Cotton",0.430020141809503
"3",1217,2013,"Hisar","Narnaund","Cotton",0.670220272848182
"4",1218,2013,"Hisar","Hisar I","Cotton",0.333940089394031
"5",1219,2013,"Hisar","Hisar II","Cotton",0.962463765611907
"6",1220,2013,"Hisar","Barwala","Cotton",1.05454048251007
"7",1221,2013,"Hisar","Uklana","Cotton",0.954457094577285
"8",1222,2013,"Hisar","Agroha","Cotton",0.718260299055917
"9",1223,2013,"Hisar","Adampur","Cotton",1.05454048251007
"10",1224,2013,"Fatehabad","Ratia","Cotton",2.13143773666681
"11",1225,2013,"Fatehabad","Fatehabad","Cotton",1.68306415872794
"12",1226,2013,"Fatehabad","Bhattukalan","Cotton",1.19465722561596
"13",1227,2013,"Fatehabad","Bhuna","Cotton",1.80716755976459
"14",1228,2013,"Fatehabad","Tohana","Cotton",2.01133767114747
"15",1229,2013,"Fatehabad","Jakhal","Cotton",1.70708417183181
"16",1230,2013,"Sirsa","Sirsa","Cotton",1.79515755321266
"17",1231,2013,"Sirsa","Nathusari","Cotton",1.55495742217398
"18",1232,2013,"Sirsa","Baragudha","Cotton",1.39482400148153
"19",1233,2013,"Sirsa","Rania","Cotton",1.39482400148153
"20",1234,2013,"Sirsa","Ellenabad","Cotton",1.43485735665464
"21",1235,2013,"Sirsa","Dabwali","Cotton",1.3147572911353
"22",1236,2013,"Sirsa","Odhan","Cotton",1.41083734355077
"23",1237,2013,"Sirsa","Sirsa","Cotton",-1.31943747925554
"24",1238,2013,"Bhiwani","Loharu","Cotton",1.39482400148153
"25",1239,2013,"Bhiwani","Bhiwani","Cotton",1.17464054802941
"26",1240,2013,"Bhiwani","Tosham","Cotton",0.317926747324786
"27",1241,2013,"Bhiwani","Bawani Khera","Cotton",1.00650045630233
"28",1242,2013,"Bhiwani","Dadri-I","Cotton",0.42201347077488
"29",1243,2013,"Bhiwani","Dadri-II","Cotton",0.72626697009054
"30",1244,2013,"Bhiwani","Badhra","Cotton",-0.0543834557851662
"31",1245,2013,"Bhiwani","Siwani","Cotton",1.16263054147747
"32",1246,2013,"Bhiwani","Kairu","Cotton",0.674223608365493
"33",1247,2013,"Bhiwani","Behal","Cotton",1.04653381147544
"34",1248,2013,"Rohtak","Lakhan Majra","Cotton",0.373973444567144
"35",1249,2013,"Rohtak","Rohtak","Cotton",-0.110430153027525
"36",1250,2013,"Rohtak","Sampla","Cotton",0.0937399583553524
"37",1251,2013,"Rohtak","Meham","Cotton",0.0456999321476166
"38",1252,2013,"Rohtak","Kalanaur","Cotton",0.149786655597711
"39",1253,2013,"Jhajjar","Jhajjar","Cotton",0.426016806292191
"40",1254,2013,"Jhajjar","Beri","Cotton",0.426016806292191
"41",1255,2013,"Jhajjar","Salhawas","Cotton",0.426016806292191
"42",1256,2013,"Jhajjar","Matanhail","Cotton",0.426016806292191
"43",1257,2013,"Jhajjar","Bahadurgarh","Cotton",0.426016806292191
"44",1258,2013,"Sonepat","Sonepat","Cotton",1.01450712733695
"45",1259,2013,"Sonepat","Rai","Cotton",1.01450712733695
"46",1260,2013,"Sonepat","Kharkhoda","Cotton",1.01450712733695
"47",1261,2013,"Sonepat","Gohana","Cotton",0.32993675387672
"48",1262,2013,"Sonepat","Kathura","Cotton",1.2426972518237
"49",1263,2013,"Sonepat","Mundlana","Cotton",1.31876062665261
"50",1264,2013,"Sonepat","Ganaur","Cotton",1.01450712733695
"51",1265,2013,"Gurgaon","Gurgaon","Cotton",-1.31943747925554
"52",1266,2013,"Gurgaon","Farrukh Nagar","Cotton",-1.31943747925554
"53",1267,2013,"Gurgaon","Sohna","Cotton",-1.31943747925554
"54",1268,2013,"Gurgaon","Pataudi","Cotton",1.11459051526974
"55",1269,2013,"Mewat","Nuh","Cotton",1.11459051526974
"56",1270,2013,"Mewat","Tauru","Cotton",-1.31943747925554
"57",1271,2013,"Mewat","Ferozpur Jhirka","Cotton",-1.31943747925554
"58",1272,2013,"Mewat","Nagina","Cotton",-1.31943747925554
"59",1273,2013,"Mewat","Punhana","Cotton",-1.31943747925554
"60",1274,2013,"Mewat","Mewat","Cotton",-1.31943747925554
"61",1275,2013,"Faridabad","Faridabad","Cotton",-1.31943747925554
"62",1276,2013,"Faridabad","B/garh","Cotton",1.11459051526974
"63",1277,2013,"Palwal","Palwal","Cotton",1.11459051526974
"64",1278,2013,"Palwal","Hodal","Cotton",1.11459051526974
"65",1279,2013,"Palwal","Hassanpur","Cotton",1.11459051526974
"66",1280,2013,"Palwal","Hathin","Cotton",1.11459051526974
"67",1281,2013,"Panipat","Panipat","Cotton",-1.31943747925554
"68",1282,2013,"Panipat","Samalkha","Cotton",-1.31943747925554
"69",1283,2013,"Panipat","Matlauda","Cotton",-1.31943747925554
"70",1284,2013,"Panipat","Bapoli","Cotton",-1.31943747925554
"71",1285,2013,"Panipat","Israna","Cotton",-1.31943747925554
"72",1286,2013,"Karnal","Karnal","Cotton",-1.31943747925554
"73",1287,2013,"Karnal","Nissing","Cotton",-1.31943747925554
"74",1288,2013,"Karnal","Indri","Cotton",-1.31943747925554
"75",1289,2013,"Karnal","Gharaunda","Cotton",-1.31943747925554
"76",1290,2013,"Karnal","Assandh","Cotton",-1.31943747925554
"77",1291,2013,"Karnal","Nilokheri","Cotton",-1.31943747925554
"78",1292,2013,"Kurukshetra","Thanesar","Cotton",-1.31943747925554
"79",1293,2013,"Kurukshetra","Shahabad","Cotton",-1.31943747925554
"80",1294,2013,"Kurukshetra","Pehowa","Cotton",-1.31943747925554
"81",1295,2013,"Kurukshetra","Ladwa","Cotton",-1.31943747925554
"82",1296,2013,"Kurukshetra","Babain","Cotton",-1.31943747925554
"83",1297,2013,"Kaithal","Kaithal","Cotton",1.47088737631044
"84",1298,2013,"Kaithal","Pundri","Cotton",1.58698410631247
"85",1299,2013,"Kaithal","Kalayat","Cotton",1.5629640932086
"86",1300,2013,"Kaithal","Rajound","Cotton",1.71509084286643
"87",1301,2013,"Kaithal","Gulha","Cotton",-1.31943747925554
"88",1302,2013,"Kaithal","Siwan","Cotton",-1.31943747925554
"89",1303,2013,"Kaithal","Kaithal","Cotton",-1.31943747925554
"90",1304,2013,"Ambala","Ambala-I","Cotton",-1.31943747925554
"91",1305,2013,"Ambala","Ambala-II","Cotton",-1.31943747925554
"92",1306,2013,"Ambala","Barara","Cotton",-1.31943747925554
"93",1307,2013,"Ambala","Saha","Cotton",-1.31943747925554
"94",1308,2013,"Ambala","Naraingarh","Cotton",-1.31943747925554
"95",1309,2013,"Ambala","Sahazadpur","Cotton",-1.31943747925554
"96",1310,2013,"Panchkula","Morni","Cotton",-1.31943747925554
"97",1311,2013,"Panchkula","Barwala","Cotton",-1.31943747925554
"98",1312,2013,"Panchkula","Raipurrani","Cotton",-1.31943747925554
"99",1313,2013,"Panchkula","Pinjore","Cotton",-1.31943747925554
"100",1314,2013,"Yamuna Nagar","Jagadhari","Cotton",-1.31943747925554
"101",1315,2013,"Yamuna Nagar","Bilaspur","Cotton",-1.31943747925554
"102",1316,2013,"Yamuna Nagar","Radaur","Cotton",-1.31943747925554
"103",1317,2013,"Yamuna Nagar","Sadaura","Cotton",-1.31943747925554
"104",1318,2013,"Yamuna Nagar","Chhachhrauli","Cotton",-1.31943747925554
"105",1319,2013,"Yamuna Nagar","Mustafabad","Cotton",-1.31943747925554
"106",1320,2013,"Jind","Jind","Cotton",0.78631700285021
"107",1321,2013,"Jind","Julana","Cotton",0.23786003697856
"108",1322,2013,"Jind","Alewa","Cotton",0.78631700285021
"109",1323,2013,"Jind","Safidon","Cotton",0.830353693540634
"110",1324,2013,"Jind","Pillukhera","Cotton",1.47088737631044
"111",1325,2013,"Jind","Uchana","Cotton",1.04253047595813
"112",1326,2013,"Jind","Narwana","Cotton",1.43485735665464
"113",1327,2013,"Mahendergarh","Kanina","Cotton",0.642196924227002
"114",1328,2013,"Mahendergarh","Mahendergarh","Cotton",0.642196924227002
"115",1329,2013,"Mahendergarh","Ateli","Cotton",0.642196924227002
"116",1330,2013,"Mahendergarh","Narnaul","Cotton",0.642196924227002
"117",1331,2013,"Mahendergarh","Nangal Chaudhary","Cotton",0.642196924227002
"118",1332,2013,"Rewari","Rewari","Cotton",-1.31943747925554
"119",1333,2013,"Rewari","Khol","Cotton",0.626183582157757
"120",1334,2013,"Rewari","Jatusana","Cotton",0.918427074921483
"121",1335,2013,"Rewari","Bawal","Cotton",-1.31943747925554
"122",1336,2013,"Rewari","Nahar","Cotton",0.566133549398087
"123",2170,2014,"Hisar","Hansi I","Cotton",0.0817299518034184
"124",2171,2014,"Hisar","Hansi-II","Cotton",0.00966991249181478
"125",2172,2014,"Hisar","Narnaund","Cotton",0.0537066031822392
"126",2173,2014,"Hisar","Hisar I","Cotton",-1.31943747925554
"127",2174,2014,"Hisar","Hisar II","Cotton",0.02568325456106
"128",2175,2014,"Hisar","Barwala","Cotton",0.630186917675068
"129",2176,2014,"Hisar","Uklana","Cotton",0.145783320080399
"130",2177,2014,"Hisar","Agroha","Cotton",0.882397055265681
"131",2178,2014,"Hisar","Adampur","Cotton",0.109753300424598
"132",2179,2014,"Fatehabad","Ratia","Cotton",1.58298077079516
"133",2180,2014,"Fatehabad","Fatehabad","Cotton",1.490904053897
"134",2181,2014,"Fatehabad","Bhattukalan","Cotton",1.27472393596219
"135",2182,2014,"Fatehabad","Bhuna","Cotton",1.51892740251818
"136",2183,2014,"Fatehabad","Tohana","Cotton",1.2066672321679
"137",2184,2014,"Fatehabad","Jakhal","Cotton",0.774306996298276
"138",2185,2014,"Sirsa","Sirsa","Cotton",1.56696742872592
"139",2186,2014,"Sirsa","Nathusari","Cotton",1.15862720596016
"140",2187,2014,"Sirsa","Baragudha","Cotton",1.01450712733695
"141",2188,2014,"Sirsa","Rania","Cotton",1.1706372125121
"142",2189,2014,"Sirsa","Ellenabad","Cotton",1.24670058734101
"143",2190,2014,"Sirsa","Dabwali","Cotton",0.998493785267709
"144",2191,2014,"Sirsa","Odhan","Cotton",1.02651713388889
"145",2192,2014,"Bhiwani","Loharu","Cotton",1.1025805087178
"146",2193,2014,"Bhiwani","Bhiwani","Cotton",-0.294583586823845
"147",2194,2014,"Bhiwani","Tosham","Cotton",0.197826681805447
"148",2195,2014,"Bhiwani","Bawani Khera","Cotton",0.0296865900783714
"149",2196,2014,"Bhiwani","Dadri-I","Cotton",0.414006799740257
"150",2197,2014,"Bhiwani","Dadri-II","Cotton",0.854373706644502
"151",2198,2014,"Bhiwani","Badhra","Cotton",0.470053496982616
"152",2199,2014,"Bhiwani","Siwani","Cotton",0.385983451119078
"153",2200,2014,"Bhiwani","Kairu","Cotton",0.289903398703607
"154",2201,2014,"Bhiwani","Behal","Cotton",0.72626697009054
"155",2202,2014,"Rohtak","Lakhan Majra","Cotton",-0.354633619583515
"156",2203,2014,"Rohtak","Rohtak","Cotton",0.48206350353455
"157",2204,2014,"Rohtak","Sampla","Cotton",0.0296865900783714
"158",2205,2014,"Rohtak","Meham","Cotton",-0.230530218546864
"159",2206,2014,"Rohtak","Kalanaur","Cotton",0.506083516638418
"160",2207,2014,"Jhajjar","Jhajjar","Cotton",0.686233614917427
"161",2208,2014,"Jhajjar","Beri","Cotton",0.686233614917427
"162",2209,2014,"Jhajjar","Salhawas","Cotton",0.686233614917427
"163",2210,2014,"Jhajjar","Matanhail","Cotton",0.686233614917427
"164",2211,2014,"Jhajjar","Bahadurgarh","Cotton",0.686233614917427
"165",2212,2014,"Sonepat","Sonepat","Cotton",0.610170240088512
"166",2213,2014,"Sonepat","Rai","Cotton",0.610170240088512
"167",2214,2014,"Sonepat","Kharkhoda","Cotton",0.610170240088512
"168",2215,2014,"Sonepat","Gohana","Cotton",0.682230279400115
"169",2216,2014,"Sonepat","Kathura","Cotton",1.03852714044082
"170",2217,2014,"Sonepat","Mundlana","Cotton",0.113756635941909
"171",2218,2014,"Sonepat","Ganaur","Cotton",0.610170240088512
"172",2219,2014,"Gurgaon","Gurgaon","Cotton",-1.31943747925554
"173",2220,2014,"Gurgaon","Farrukh Nagar","Cotton",0.722263634573229
"174",2221,2014,"Gurgaon","Sohna","Cotton",-1.31943747925554
"175",2222,2014,"Gurgaon","Pataudi","Cotton",0.722263634573229
"176",2223,2014,"Mewat","Nuh","Cotton",0.722263634573229
"177",2224,2014,"Mewat","Tauru","Cotton",0.722263634573229
"178",2225,2014,"Mewat","Ferozpur Jhirka","Cotton",0.722263634573229
"179",2226,2014,"Mewat","Nagina","Cotton",-1.31943747925554
"180",2227,2014,"Mewat","Punhana","Cotton",0.722263634573229
"181",2228,2014,"Faridabad","Faridabad","Cotton",-1.31943747925554
"182",2229,2014,"Faridabad","B/garh","Cotton",0.722263634573229
"183",2230,2014,"Palwal","Palwal","Cotton",0.722263634573229
"184",2231,2014,"Palwal","Hodal","Cotton",0.722263634573229
"185",2232,2014,"Palwal","Hassanpur","Cotton",0.722263634573229
"186",2233,2014,"Palwal","Hathin","Cotton",0.722263634573229
"187",2234,2014,"Panipat","Panipat","Cotton",-1.31943747925554
"188",2235,2014,"Panipat","Samalkha","Cotton",-1.31943747925554
"189",2236,2014,"Panipat","Matlauda","Cotton",-1.31943747925554
"190",2237,2014,"Panipat","Bapoli","Cotton",-1.31943747925554
"191",2238,2014,"Panipat","Israna","Cotton",-1.31943747925554
"192",2239,2014,"Karnal","Karnal","Cotton",-1.31943747925554
"193",2240,2014,"Karnal","Nissing","Cotton",-1.31943747925554
"194",2241,2014,"Karnal","Indri","Cotton",-1.31943747925554
"195",2242,2014,"Karnal","Gharaunda","Cotton",-1.31943747925554
"196",2243,2014,"Karnal","Assandh","Cotton",-1.31943747925554
"197",2244,2014,"Karnal","Nilokheri","Cotton",-1.31943747925554
"198",2245,2014,"Kurukshetra","Thanesar","Cotton",-1.31943747925554
"199",2246,2014,"Kurukshetra","Shahabad","Cotton",-1.31943747925554
"200",2247,2014,"Kurukshetra","Pehowa","Cotton",-1.31943747925554
"201",2248,2014,"Kurukshetra","Ladwa","Cotton",-1.31943747925554
"202",2249,2014,"Kurukshetra","Babain","Cotton",-1.31943747925554
"203",2250,2014,"Kaithal","Kaithal","Cotton",0.570136884915399
"204",2251,2014,"Kaithal","Pundri","Cotton",0.914423739404172
"205",2252,2014,"Kaithal","Kalayat","Cotton",1.02251379837158
"206",2253,2014,"Kaithal","Rajound","Cotton",1.07856049561394
"207",2254,2014,"Kaithal","Gulha","Cotton",-1.31943747925554
"208",2255,2014,"Kaithal","Siwan","Cotton",-1.31943747925554
"209",2256,2014,"Ambala","Ambala-I","Cotton",-1.31943747925554
"210",2257,2014,"Ambala","Ambala-II","Cotton",-1.31943747925554
"211",2258,2014,"Ambala","Barara","Cotton",-1.31943747925554
"212",2259,2014,"Ambala","Saha","Cotton",-1.31943747925554
"213",2260,2014,"Ambala","Naraingarh","Cotton",-1.31943747925554
"214",2261,2014,"Ambala","Sahazadpur","Cotton",-1.31943747925554
"215",2262,2014,"Panchkula","Morni","Cotton",-1.31943747925554
"216",2263,2014,"Panchkula","Barwala","Cotton",-1.31943747925554
"217",2264,2014,"Panchkula","Raipurrani","Cotton",-1.31943747925554
"218",2265,2014,"Panchkula","Pinjore","Cotton",-1.31943747925554
"219",2266,2014,"Yamuna Nagar","Jagadhari","Cotton",-1.31943747925554
"220",2267,2014,"Yamuna Nagar","Bilaspur","Cotton",-1.31943747925554
"221",2268,2014,"Yamuna Nagar","Radaur","Cotton",-1.31943747925554
"222",2269,2014,"Yamuna Nagar","Sadaura","Cotton",-1.31943747925554
"223",2270,2014,"Yamuna Nagar","Chhachhrauli","Cotton",-1.31943747925554
"224",2271,2014,"Yamuna Nagar","Mustafabad","Cotton",-1.31943747925554
"225",2272,2014,"Jind","Jind","Cotton",-0.230530218546864
"226",2273,2014,"Jind","Julana","Cotton",0.205833352840069
"227",2274,2014,"Jind","Alewa","Cotton",0.502080181121106
"228",2275,2014,"Jind","Safidon","Cotton",0.594156898019267
"229",2276,2014,"Jind","Pillukhera","Cotton",0.622180246640446
"230",2277,2014,"Jind","Uchana","Cotton",0.91042040388686
"231",2278,2014,"Jind","Narwana","Cotton",1.15062053492554
"232",2279,2014,"Mahendergarh","Kanina","Cotton",0.838360364575257
