"","X","Year","District","Block","Crop","Yield"
"1",121,2012,"Hisar","Hansi I","Gram",1.01331221124297
"2",122,2012,"Hisar","Bas","Gram",-0.630639411891293
"3",123,2012,"Hisar","Narnaund","Gram",-0.630639411891293
"4",124,2012,"Hisar","Hisar I","Gram",1.1150455403876
"5",125,2012,"Hisar","Hisar II","Gram",0.42355378141902
"6",126,2012,"Hisar","Barwala","Gram",0.700740243436276
"7",127,2012,"Hisar","Uklana","Gram",0.817217533326507
"8",128,2012,"Hisar","Agroha","Gram",0.492850396923334
"9",129,2012,"Hisar","Adampur","Gram",0.432400157866379
"10",130,2012,"Fatehabad","Ratia","Gram",0.972029121155294
"11",131,2012,"Fatehabad","Fatehabad","Gram",1.49101653940037
"12",132,2012,"Fatehabad","Bhattukalan","Gram",11.9164711826133
"13",133,2012,"Fatehabad","Bhuna","Gram",0.787729611835309
"14",134,2012,"Fatehabad","Tohana","Gram",-0.630639411891293
"15",135,2012,"Fatehabad","Jakhal","Gram",-0.630639411891293
"16",136,2012,"Sirsa","Sirsa","Gram",1.59422426461956
"17",137,2012,"Sirsa","Nathusari","Gram",1.1519054422516
"18",138,2012,"Sirsa","Baragudha","Gram",-0.630639411891293
"19",139,2012,"Sirsa","Rania","Gram",0.588686141769726
"20",140,2012,"Sirsa","Ellenabad","Gram",1.02510737983945
"21",141,2012,"Sirsa","Dabwali","Gram",0.883565356681701
"22",142,2012,"Sirsa","Odhan","Gram",0.833435890146666
"23",143,2012,"Bhiwani","Loharu","Gram",1.69890638591331
"24",144,2012,"Bhiwani","Bhiwani","Gram",0.963182744707935
"25",145,2012,"Bhiwani","Tosham","Gram",1.01478660731753
"26",146,2012,"Bhiwani","Bawani Khera","Gram",1.15337983832616
"27",147,2012,"Bhiwani","Dadri-I","Gram",0.762664878567791
"28",148,2012,"Bhiwani","Dadri-II","Gram",0.998568250497372
"29",149,2012,"Bhiwani","Badhra","Gram",1.54409479808453
"30",150,2012,"Bhiwani","Siwani","Gram",0.553300635980289
"31",151,2012,"Bhiwani","Kairu","Gram",0.547403051682049
