"","X","Year","District","Block","Crop","Yield"
"1",958,2013,"D22","B1","Maize",-0.528826495540645
"2",959,2013,"D22","B120","Maize",-0.528826495540645
"3",960,2013,"D22","B3","Maize",-0.528826495540645
"4",961,2013,"D22","B4","Maize",-0.528826495540645
"5",962,2013,"D22","B5","Maize",-0.528826495540645
"6",963,2013,"D22","B6","Maize",-0.528826495540645
"7",964,2013,"D22","B7","Maize",-0.528826495540645
"8",965,2013,"D22","B8","Maize",-0.528826495540645
"9",966,2013,"D22","B9","Maize",-0.528826495540645
"10",967,2013,"D4","B10","Maize",-0.528826495540645
"11",968,2013,"D4","B11","Maize",-0.528826495540645
"12",969,2013,"D4","B12","Maize",-0.528826495540645
"13",970,2013,"D4","B13","Maize",-0.528826495540645
"14",971,2013,"D4","B14","Maize",-0.528826495540645
"15",972,2013,"D4","B15","Maize",-0.528826495540645
"16",973,2013,"D18","B16","Maize",-0.528826495540645
"17",974,2013,"D18","B17","Maize",-0.528826495540645
"18",975,2013,"D18","B18","Maize",-0.528826495540645
"19",976,2013,"D18","B19","Maize",-0.528826495540645
"20",977,2013,"D18","B20","Maize",-0.528826495540645
"21",978,2013,"D18","B21","Maize",-0.528826495540645
"22",979,2013,"D18","B22","Maize",-0.528826495540645
"23",980,2013,"D18","B16","Maize",-0.528826495540645
"24",981,2013,"D1","B23","Maize",-0.528826495540645
"25",982,2013,"D1","B24","Maize",1.75579591535878
"26",983,2013,"D1","B25","Maize",-0.528826495540645
"27",984,2013,"D1","B26","Maize",-0.528826495540645
"28",985,2013,"D1","B27","Maize",-0.528826495540645
"29",986,2013,"D1","B28","Maize",-0.528826495540645
"30",987,2013,"D1","B29","Maize",-0.528826495540645
"31",988,2013,"D1","B30","Maize",-0.528826495540645
"32",989,2013,"D1","B31","Maize",-0.528826495540645
"33",990,2013,"D1","B32","Maize",-0.528826495540645
"34",991,2013,"D17","B33","Maize",1.75579591535878
"35",992,2013,"D17","B34","Maize",1.75579591535878
"36",993,2013,"D17","B35","Maize",1.75579591535878
"37",994,2013,"D17","B36","Maize",1.75579591535878
"38",995,2013,"D17","B37","Maize",-0.528826495540645
"39",996,2013,"D6","B38","Maize",1.75579591535878
"40",997,2013,"D6","B39","Maize",-0.528826495540645
"41",998,2013,"D6","B40","Maize",-0.528826495540645
"42",999,2013,"D6","B41","Maize",-0.528826495540645
"43",1000,2013,"D6","B42","Maize",-0.528826495540645
"44",1001,2013,"D19","B43","Maize",1.75579591535878
"45",1002,2013,"D19","B44","Maize",1.75579591535878
"46",1003,2013,"D19","B45","Maize",1.75579591535878
"47",1004,2013,"D19","B46","Maize",-0.528826495540645
"48",1005,2013,"D19","B47","Maize",-0.528826495540645
"49",1006,2013,"D19","B48","Maize",-0.528826495540645
"50",1007,2013,"D19","B49","Maize",-0.528826495540645
"51",1008,2013,"D5","B50","Maize",-0.528826495540645
"52",1009,2013,"D5","B51","Maize",-0.528826495540645
"53",1010,2013,"D5","B52","Maize",-0.528826495540645
"54",1011,2013,"D5","B53","Maize",-0.528826495540645
"55",1012,2013,"D12","B54","Maize",-0.528826495540645
"56",1013,2013,"D12","B55","Maize",-0.528826495540645
"57",1014,2013,"D12","B56","Maize",-0.528826495540645
"58",1015,2013,"D12","B57","Maize",-0.528826495540645
"59",1016,2013,"D12","B58","Maize",-0.528826495540645
"60",1017,2013,"D12","B59","Maize",-0.528826495540645
"61",1018,2013,"D3","B60","Maize",-0.528826495540645
"62",1019,2013,"D3","B61","Maize",-0.528826495540645
"63",1020,2013,"D13","B62","Maize",-0.528826495540645
"64",1021,2013,"D13","B63","Maize",-0.528826495540645
"65",1022,2013,"D13","B64","Maize",-0.528826495540645
"66",1023,2013,"D13","B65","Maize",-0.528826495540645
"67",1024,2013,"D15","B66","Maize",-0.528826495540645
"68",1025,2013,"D15","B67","Maize",-0.528826495540645
"69",1026,2013,"D15","B68","Maize",-0.528826495540645
"70",1027,2013,"D15","B69","Maize",-0.528826495540645
"71",1028,2013,"D15","B70","Maize",-0.528826495540645
"72",1029,2013,"D9","B71","Maize",1.75579591535878
"73",1030,2013,"D9","B72","Maize",-0.528826495540645
"74",1031,2013,"D9","B73","Maize",-0.528826495540645
"75",1032,2013,"D9","B74","Maize",1.75579591535878
"76",1033,2013,"D9","B75","Maize",-0.528826495540645
"77",1034,2013,"D9","B76","Maize",-0.528826495540645
"78",1035,2013,"D10","B77","Maize",1.75579591535878
"79",1036,2013,"D10","B78","Maize",-0.528826495540645
"80",1037,2013,"D10","B79","Maize",-0.528826495540645
"81",1038,2013,"D10","B80","Maize",-0.528826495540645
"82",1039,2013,"D10","B81","Maize",-0.528826495540645
"83",1040,2013,"D8","B82","Maize",-0.528826495540645
"84",1041,2013,"D8","B83","Maize",-0.528826495540645
"85",1042,2013,"D8","B84","Maize",-0.528826495540645
"86",1043,2013,"D8","B85","Maize",-0.528826495540645
"87",1044,2013,"D8","B86","Maize",-0.528826495540645
"88",1045,2013,"D8","B87","Maize",-0.528826495540645
"89",1046,2013,"D8","B82","Maize",-0.528826495540645
"90",1047,2013,"D21","B88","Maize",-0.528826495540645
"91",1048,2013,"D21","B89","Maize",-0.528826495540645
"92",1049,2013,"D21","B90","Maize",2.49220587247202
"93",1050,2013,"D21","B91","Maize",2.49220587247202
"94",1051,2013,"D21","B92","Maize",3.11819241305847
"95",1052,2013,"D21","B93","Maize",2.19672804066237
"96",1053,2013,"D14","B94","Maize",2.1723587349461
"97",1054,2013,"D14","B6","Maize",1.51895672542887
"98",1055,2013,"D14","B95","Maize",2.03680447189941
"99",1056,2013,"D14","B96","Maize",0.903631756093293
"100",1057,2013,"D20","B97","Maize",1.55779530641416
"101",1058,2013,"D20","B98","Maize",1.43290261461833
"102",1059,2013,"D20","B99","Maize",-0.528826495540645
"103",1060,2013,"D20","B100","Maize",1.55779530641416
"104",1061,2013,"D20","B101","Maize",1.84108848536569
"105",1062,2013,"D20","B102","Maize",-0.528826495540645
"106",1063,2013,"D7","B103","Maize",-0.528826495540645
"107",1064,2013,"D7","B104","Maize",-0.528826495540645
"108",1065,2013,"D7","B105","Maize",-0.528826495540645
"109",1066,2013,"D7","B106","Maize",-0.528826495540645
"110",1067,2013,"D7","B107","Maize",-0.528826495540645
"111",1068,2013,"D7","B108","Maize",-0.528826495540645
"112",1069,2013,"D7","B109","Maize",-0.528826495540645
"113",1070,2013,"D11","B110","Maize",-0.528826495540645
"114",1071,2013,"D11","B111","Maize",-0.528826495540645
"115",1072,2013,"D11","B112","Maize",-0.528826495540645
"116",1073,2013,"D11","B113","Maize",-0.528826495540645
"117",1074,2013,"D11","B114","Maize",-0.528826495540645
"118",1075,2013,"D16","B115","Maize",-0.528826495540645
"119",1076,2013,"D16","B116","Maize",-0.528826495540645
"120",1077,2013,"D16","B117","Maize",-0.528826495540645
"121",1078,2013,"D16","B118","Maize",-0.528826495540645
"122",1079,2013,"D16","B119","Maize",-0.528826495540645
"123",1919,2014,"D22","B1","Maize",-0.528826495540645
"124",1920,2014,"D22","B120","Maize",-0.528826495540645
"125",1921,2014,"D22","B3","Maize",-0.528826495540645
"126",1922,2014,"D22","B4","Maize",-0.528826495540645
"127",1923,2014,"D22","B5","Maize",-0.528826495540645
"128",1924,2014,"D22","B6","Maize",-0.528826495540645
"129",1925,2014,"D22","B7","Maize",-0.528826495540645
"130",1926,2014,"D22","B8","Maize",-0.528826495540645
"131",1927,2014,"D22","B9","Maize",-0.528826495540645
"132",1928,2014,"D4","B10","Maize",-0.528826495540645
"133",1929,2014,"D4","B11","Maize",-0.528826495540645
"134",1930,2014,"D4","B12","Maize",-0.528826495540645
"135",1931,2014,"D4","B13","Maize",-0.528826495540645
"136",1932,2014,"D4","B14","Maize",-0.528826495540645
"137",1933,2014,"D4","B15","Maize",-0.528826495540645
"138",1934,2014,"D18","B16","Maize",-0.528826495540645
"139",1935,2014,"D18","B17","Maize",-0.528826495540645
"140",1936,2014,"D18","B18","Maize",-0.528826495540645
"141",1937,2014,"D18","B19","Maize",-0.528826495540645
"142",1938,2014,"D18","B20","Maize",-0.528826495540645
"143",1939,2014,"D18","B21","Maize",-0.528826495540645
"144",1940,2014,"D18","B22","Maize",-0.528826495540645
"145",1941,2014,"D1","B23","Maize",-0.528826495540645
"146",1942,2014,"D1","B24","Maize",-0.528826495540645
"147",1943,2014,"D1","B25","Maize",-0.528826495540645
"148",1944,2014,"D1","B26","Maize",-0.528826495540645
"149",1945,2014,"D1","B27","Maize",-0.528826495540645
"150",1946,2014,"D1","B28","Maize",-0.528826495540645
"151",1947,2014,"D1","B29","Maize",-0.528826495540645
"152",1948,2014,"D1","B30","Maize",-0.528826495540645
"153",1949,2014,"D1","B31","Maize",-0.528826495540645
"154",1950,2014,"D1","B32","Maize",-0.528826495540645
"155",1951,2014,"D17","B33","Maize",1.18464031263392
"156",1952,2014,"D17","B34","Maize",1.18464031263392
"157",1953,2014,"D17","B35","Maize",-0.528826495540645
"158",1954,2014,"D17","B36","Maize",-0.528826495540645
"159",1955,2014,"D17","B37","Maize",1.18464031263392
"160",1956,2014,"D6","B38","Maize",-0.528826495540645
"161",1957,2014,"D6","B39","Maize",-0.528826495540645
"162",1958,2014,"D6","B40","Maize",-0.528826495540645
"163",1959,2014,"D6","B41","Maize",-0.528826495540645
"164",1960,2014,"D6","B42","Maize",1.18464031263392
"165",1961,2014,"D19","B43","Maize",1.18464031263392
"166",1962,2014,"D19","B44","Maize",1.18464031263392
"167",1963,2014,"D19","B45","Maize",1.18464031263392
"168",1964,2014,"D19","B46","Maize",-0.528826495540645
"169",1965,2014,"D19","B47","Maize",1.18464031263392
"170",1966,2014,"D19","B48","Maize",-0.528826495540645
"171",1967,2014,"D19","B49","Maize",-0.528826495540645
"172",1968,2014,"D5","B50","Maize",-0.528826495540645
"173",1969,2014,"D5","B51","Maize",-0.528826495540645
"174",1970,2014,"D5","B52","Maize",-0.528826495540645
"175",1971,2014,"D5","B53","Maize",-0.528826495540645
"176",1972,2014,"D12","B54","Maize",-0.528826495540645
"177",1973,2014,"D12","B55","Maize",-0.528826495540645
"178",1974,2014,"D12","B56","Maize",-0.528826495540645
"179",1975,2014,"D12","B57","Maize",-0.528826495540645
"180",1976,2014,"D12","B58","Maize",-0.528826495540645
"181",1977,2014,"D3","B60","Maize",-0.528826495540645
"182",1978,2014,"D3","B61","Maize",-0.528826495540645
"183",1979,2014,"D13","B62","Maize",-0.528826495540645
