"","X","Year","District","Block","Crop","Yield"
"1",727,2013,"D22","B1","Paddy",-0.0655333078340703
"2",728,2013,"D22","B120","Paddy",-0.569172632569841
"3",729,2013,"D22","B3","Paddy",0.110648214188883
"4",730,2013,"D22","B4","Paddy",-0.301671892325567
"5",731,2013,"D22","B5","Paddy",-0.0812143857104588
"6",732,2013,"D22","B6","Paddy",0.255467580459058
"7",733,2013,"D22","B7","Paddy",-0.412361853805957
"8",734,2013,"D22","B8","Paddy",-0.406827355731937
"9",735,2013,"D4","B10","Paddy",1.46844507501499
"10",736,2013,"D4","B11","Paddy",0.367079958285118
"11",737,2013,"D4","B12","Paddy",-0.47600858165718
"12",738,2013,"D4","B13","Paddy",0.918684932995724
"13",739,2013,"D4","B14","Paddy",0.708374006182984
"14",740,2013,"D4","B15","Paddy",1.80697187387585
"15",741,2013,"D18","B16","Paddy",0.788624228256266
"16",742,2013,"D18","B17","Paddy",0.535882149542711
"17",743,2013,"D18","B18","Paddy",0.906693520502015
"18",744,2013,"D18","B19","Paddy",0.703761924454635
"19",745,2013,"D18","B20","Paddy",2.00713622088622
"20",746,2013,"D18","B21","Paddy",0.44179568228438
"21",747,2013,"D18","B22","Paddy",2.18516257560051
"22",748,2013,"D18","B16","Paddy",-2.59203167862395
"23",749,2013,"D1","B24","Paddy",-0.924302925652757
"24",750,2013,"D1","B26","Paddy",-0.267542487535781
"25",751,2013,"D1","B27","Paddy",-0.267542487535781
"26",752,2013,"D1","B28","Paddy",-0.595922706594269
"27",753,2013,"D1","B31","Paddy",-0.595922706594269
"28",754,2013,"D17","B33","Paddy",0.279450405446476
"29",755,2013,"D17","B34","Paddy",-1.83103819344628
"30",756,2013,"D17","B35","Paddy",-0.535043227780055
"31",757,2013,"D17","B36","Paddy",-0.906777015085028
"32",758,2013,"D17","B37","Paddy",-0.800699135332989
"33",759,2013,"D6","B38","Paddy",-1.48789931285707
"34",760,2013,"D6","B39","Paddy",-0.702923002691978
"35",761,2013,"D6","B40","Paddy",1.55791946054497
"36",762,2013,"D6","B41","Paddy",-0.79055255553062
"37",763,2013,"D6","B42","Paddy",-0.267542487535781
"38",764,2013,"D19","B43","Paddy",-0.385611779781529
"39",765,2013,"D19","B44","Paddy",-0.099662712623857
"40",766,2013,"D19","B45","Paddy",-0.17437843662312
"41",767,2013,"D19","B46","Paddy",-0.458482671089452
"42",768,2013,"D19","B47","Paddy",-0.414206686497296
"43",769,2013,"D19","B48","Paddy",-0.267542487535781
"44",770,2013,"D19","B49","Paddy",-0.290602896177528
"45",771,2013,"D5","B50","Paddy",0.411355942877273
"46",772,2013,"D5","B51","Paddy",0.411355942877273
"47",773,2013,"D5","B52","Paddy",0.411355942877273
"48",774,2013,"D5","B53","Paddy",0.411355942877273
"49",775,2013,"D12","B54","Paddy",0.411355942877273
