"","X","Year","District","Block","Crop","Yield"
"1",1,2012,"Hisar","Hansi I","Wheat",0.0894108766700018
"2",2,2012,"Hisar","Bas","Wheat",-0.407196074411345
"3",3,2012,"Hisar","Narnaund","Wheat",-0.163816463824736
"4",4,2012,"Hisar","Hisar I","Wheat",-0.213055113365379
"5",5,2012,"Hisar","Hisar II","Wheat",-0.118798269959005
"6",6,2012,"Hisar","Barwala","Wheat",0.0894108766700018
"7",7,2012,"Hisar","Uklana","Wheat",-0.127239181308829
"8",8,2012,"Hisar","Agroha","Wheat",0.207583635567546
"9",9,2012,"Hisar","Adampur","Wheat",-0.428298352785907
"10",10,2012,"Fatehabad","Ratia","Wheat",0.829397438337958
"11",11,2012,"Fatehabad","Fatehabad","Wheat",-0.0822209874430982
"12",12,2012,"Fatehabad","Bhattukalan","Wheat",0.300433660415617
"13",13,2012,"Fatehabad","Bhuna","Wheat",0.436895060571114
"14",14,2012,"Fatehabad","Tohana","Wheat",0.580390553518132
"15",15,2012,"Fatehabad","Jakhal","Wheat",1.26269755429562
"16",16,2012,"Sirsa","Sirsa","Wheat",1.02072476226732
"17",17,2012,"Sirsa","Nathusari","Wheat",0.0697154168537445
"18",18,2012,"Sirsa","Baragudha","Wheat",0.60008601333439
"19",19,2012,"Sirsa","Rania","Wheat",0.645104207200121
"20",20,2012,"Sirsa","Ellenabad","Wheat",1.29927483681153
"21",21,2012,"Sirsa","Dabwali","Wheat",0.465031431737196
"22",22,2012,"Sirsa","Odhan","Wheat",0.63103602161708
"23",23,2012,"Bhiwani","Loharu","Wheat",-0.253852851556198
"24",24,2012,"Bhiwani","Bhiwani","Wheat",0.128801796302517
"25",25,2012,"Bhiwani","Tosham","Wheat",-0.837682553252399
"26",26,2012,"Bhiwani","Bawani Khera","Wheat",-0.522555196192281
"27",27,2012,"Bhiwani","Dadri-I","Wheat",-1.12326672058813
"28",28,2012,"Bhiwani","Dadri-II","Wheat",-0.0273550636692384
"29",29,2012,"Bhiwani","Badhra","Wheat",0.453776883270763
"30",30,2012,"Bhiwani","Siwani","Wheat",-0.780002992361931
"31",31,2012,"Bhiwani","Kairu","Wheat",-0.483164276559766
"32",32,2012,"Bhiwani","Behal","Wheat",-1.39478270234082
"33",33,2012,"Rohtak","Lakhan Majra","Wheat",0.217431365475675
"34",34,2012,"Rohtak","Rohtak","Wheat",-1.1471826360793
"35",35,2012,"Rohtak","Sampla","Wheat",-1.26535539497685
"36",36,2012,"Rohtak","Meham","Wheat",-1.48341227151398
"37",37,2012,"Rohtak","Kalanaur","Wheat",-0.222902843273508
"38",38,2012,"Jhajjar","Jhajjar","Wheat",-0.229936936065029
"39",39,2012,"Jhajjar","Beri","Wheat",-1.74086006768363
"40",40,2012,"Jhajjar","Salhawas","Wheat",0.321535938790178
"41",41,2012,"Jhajjar","Matanhail","Wheat",0.453776883270763
"42",42,2012,"Jhajjar","Bahadurgarh","Wheat",-0.95444849359164
"43",43,2012,"Sonepat","Sonepat","Wheat",0.670426941249595
"44",44,2012,"Sonepat","Rai","Wheat",0.393283685263687
"45",45,2012,"Sonepat","Kharkhoda","Wheat",0.327163213023395
"46",46,2012,"Sonepat","Gohana","Wheat",-1.02760305862345
"47",47,2012,"Sonepat","Kathura","Wheat",0.0134426745215805
"48",48,2012,"Sonepat","Mundlana","Wheat",0.28777229339088
"49",49,2012,"Sonepat","Ganaur","Wheat",0.550847363793746
"50",50,2012,"Gurgaon","Gurgaon","Wheat",-0.180698286524385
"51",51,2012,"Gurgaon","Farrukh Nagar","Wheat",0.88848381778673
"52",52,2012,"Gurgaon","Sohna","Wheat",-0.341075602171052
"53",53,2012,"Gurgaon","Pataudi","Wheat",0.699970130973981
"54",54,2012,"Mewat","Nuh","Wheat",-0.837682553252399
"55",55,2012,"Mewat","Tauru","Wheat",-0.546471111683451
"56",56,2012,"Mewat","Ferozpur Jhirka","Wheat",-0.0976959915844433
"57",57,2012,"Mewat","Nagina","Wheat",0.311688208882049
"58",58,2012,"Mewat","Punhana","Wheat",-0.321380142354795
"59",59,2012,"Mewat","Mewat","Wheat",-6.13576124382564
"60",60,2012,"Faridabad","Faridabad","Wheat",0.303247297532225
"61",61,2012,"Faridabad","B/garh","Wheat",0.203363179892634
