"SR","LOCATION","WELL NO.",pH,EC,CO3,HCO3,Cl,SO4,NO3,F,PO4,Ca,Mg,Na,K,SiO2,"T.H",SAR,RSC

1,Balana,53B-3C2,8.1,2091,0,503,257,350,55,0.65,1.53,55,72,330,60,27,434,6.89,-0.4

2,Pinjola,53B-3C3,8.51,1338,92,376,108,85,1.5,0.39,0.45,37,31,177,97,21,219,5.20,4.9

3,Kakru,53B-3D8,8.62,2926,99,383,288,385,129,0.50,0.15,10,115,280,260,29,500,5.45,-0.4

4,Panjokhera,53B-3D9,8.51,3857,118,327,654,430,143,0.73,0.04,14,144,508,172,21,628,8.82,-3.2

5,Naraingarh,53F-3A1,8.34,286,6.6,134,18,0,6.1,0.39,0.03,17,12,25,1.3,24,92,1.13,0.6

6,Mulana,53F-3A4,7.88,3971,0,67,857,448,460,0.61,0.03,282,149,371,6.0,25,1317,4.45,-25.2

7,Dhanaura,53F-3A12,8.29,572,0,160,83,38,2.1,0.26,0.03,27,13,80,2.6,24,122,3.15,0.2

8,Khan Amdalpur,53F-4B3,8.26,375,0,187,36,0,0,0.37,0.05,17,25,26,2.8,14,148,0.93,0.1

9,Seha,53B-3DP3,8.3,482,0,274,14,19,3.7,0.56,0.02,14,30,49,1.3,22,158,1.70,1.3

10,Ambala Race Course,53B3DP5D,8.48,991,33,381,83,19,0,0.90,0.03,12,38,150,0.9,12,184,4.82,3.7

12,Uplana,53F-3AP2,8.33,695,13,140,112,45,27,0.61,0.03,35,28,70,3.4,22,204,2.13,-1.3

1,Siwani,44P-1C1,8.91,3092,48,415,497,360,245,2.22,nd,10,164,480,2.1,25,701,7.90,-5.6

2,Miran,44P-1C3,8.40,2224,12,55,311,380,252,0.14,nd,164,41,175,142,29,580,3.17,-10.3

3,Ishwarwal,44P-1C4,8.74,2177,60,116,343,160,365,0.52,nd,26,113,230,118,27,530,4.35,-6.7

4,Gurera,44P-1C5,7.98,4008,0,110,993,420,233,0.31,nd,44,285,410,7.8,28,1281,4.98,-23.8

5,Bhiwani,53D-1AP2,8.29,1096,0,128,113,288,8.9,0.65,nd,46,36,142,4.4,19,265,3.81,-3.2

6,Badala,53D-1B6,8.98,1879,42,262,365,148,3.9,3.86,0.01,24,100,240,3.5,17,470,4.81,-3.7

7,Bajina,44P-2D2,8.25,3730,0,183,489,600,730,0.29,nd,216,198,320,12,36,1356,3.78,-24.1

8,Bohal,44P-1D3,8.48,663,18,159,44,118,8.5,1.5,nd,30,55,26,2.6,21,300,0.65,-2.8

9,Hetampura,44P-2D6,8.40,1820,9,152,259,110,357,0.64,nd,120,58,86,169,23,540,1.61,-8.0

10,Jui Kallan,44P-2D3,8.75,868,24,244,77,102,5.8,2.75,nd,16,6.1,183,1.2,14,65,9.87,3.5

11,Dhanana,53D-1A1,8.51,661,24,116,51,120,0,0.68,nd,36,22,72,3.4,17,180,2.33,-0.9

12,Bawanikhera,53D-1A2,8.34,3182,6.0,146,365,1024,30,3.07,nd,90,128,475,7.6,20,751,7.54,-12.4

13,Bamla,53D-1A3,8.40,1105,12,153,190,136,3.1,0.7,nd,28,35,165,1.7,22,215,4.91,-1.4

14,Sui,53D-1A4,8.54,2148,24,323,489,100,27,0.72,nd,44,75,200,240,30,420,4.25,-2.3

15,Baund Kallan,53D-1B5,8.65,1928,42,104,424,164,74,0.76,nd,54,108,150,73,26,580,2.71,-8.5

16,Naya Atela,53D-2A1,9.06,1192,48,421,69,56,81,0.56,nd,8,8.5,280,2.6,26,55,16.44,7.4

17,Halluwas,53D-2A2,8.47,4328,24,262,1073,344,88,0.65,nd,32,212,430,296,35,951,6.06,-13.9

18,Lohani,53D-2A5,8.10,2927,0,183,343,530,425,0.19,nd,150,164,150,132,35,1051,2.01,-18.0

19,Dadri,53D-2B2,8.29,8552,0,275,1263,1760,1683,2.55,nd,106,482,1360,16,26,2245,12.48,-40.4

20,Sanwar,53D-2B4,8.26,1762,0,110,409,148,8.1,0.79,nd,100,66,151,3.2,17,520,2.88,-8.6

21,Mehrana,53D-2B5,8.56,2401,24,226,486,54,290,0.45,nd,28,129,290,2.5,30,600,5.15,-7.5

22,Chiriya,53D-3B1,8.75,3067,42,287,635,340,61,2.01,nd,16,156,440,2.9,21,680,7.33,-7.5

23,Jhumpa,44P-1C2,8.72,1392,60,330,150,66,140,2.48,nd,20,117,115,0.7,23,530,2.17,-3.2

24,Manheru,53D-2A4,7.75,1825,0,98,373,208,139,0.21,nd,106,52,220,2.1,38,480,4.38,-8.0

25,Pataudi,44P-1DP3,9.25,4374,96,866,745,200,150,19.2,0.092,16,51,1050,3.9,17,250,28.91,12.4

26,Sagban,44P-1DP4,8.61,548,24,134,40,42,22,1.39,nd,38,23,18,40,26,190,0.57,-0.8

27,Baliandpur,,8.66,1478,36,305,175,160,31,1.15,nd,28,83,83,135,33,410,1.78,-2.0

28,Tosham,44P-1D1,8.43,834,12,323,73,50,12,0.85,0.008,26,58,31,64,34,305,0.77,-0.4

29,Kalanagar,53D-1B1,8.27,2908,0,519,562,260,48,0.77,nd,40,167,340,23,21,786,5.27,-7.2

30,Gopi,44P-2DP1,9.14,4058,120,592,599,650,19,0.45,0.031,10,50,950,3.8,28,230,27.22,9.1

31,Singwani,44P-2DP4,8.15,2478,0,305,391,280,222,0.88,0.004,16,28,530,2.6,23,155,18.51,1.9


1,Pali,53H-3AP2,9.08,2911,106,416,559,240,18,0.75,nd,27,45,615,27,28,250,16.92,5.3

2,Bhopani,53H-3BP5,8.41,737,33,255,63,4.8,18,1,nd,12,31,97,3.5,22,158,3.36,2.1

3,Tigori,53H-4BP16,8.3,1679,0,148,375,145,46,0.68,nd,39,50,255,2.0,34,301,6.39,-3.6

4,Jawan,53H-4BP5,9.3,2870,185,389,368,275,23,1.5,nd,8,42,595,8.0,31,194,18.59,8.7

5,Kabulpur,54E-3BP9,8.9,1251,79.2,356,111,95,14,1.05,nd,8.2,36,240,5.0,25,168,8.05,5.1

6,Amarpura,53H-4BP9,8.3,2719,0,201,389,700,40,0.91,nd,16,98,482,16,28,444,9.95,-5.6

7,Nh Iv,53H-3BP3,8.29,2104,0,161,542,186,18,0.73,nd,2.0,37,427,19,27,158,14.77,-0.5

8,Bamnikhera,53H-4B7,8.93,1878,79,282,208,200,100,0.71,nd,37,27,308,76,31,204,9.38,3.2

