"Sl. No.","[District:]Location","May(2004-2013)","August(2004-2013)","November(2004-2013)","January(2005-2014)"
1.,AMBALA:Ambala Cantt,-,-,-0.49,-
2.,Balana,-0.59,-,-,-
3.,Dhanaura,-0.83,0.11,-0.01,-0.31,
4.,Kakru,-1.85,-0.88,-0.39,-0.70,
5.,Khanahmadpur,-0.62,-0.38,-0.15,-1.14,
6.,Mulana,-1.57,-,-1.03,-,
7.,Naraingarh,-1.55,-,-,-,
8.,Panjokhra,-2.56,-,-0.44,-1.81,
9.,Pinjola,-,-,-0.06,-,
10,Saha S,-,-,-,-,
11,BHIWANI:Badala,-1.08,-,-0.09,-
12,Bajina,0.99,1.07,1.32,1.47,
13,Bamla,-1.25,-,-1.13,-1.39,
14,Baundkalan,-1.67,0.43,-0.06,-0.84,
15,Bhawani khera DW,-1.38,-,-0.93,-1.04,
16,Bhawani Khera Pz,-0.77,-,-0.08,-,
17,Bohal,-2.75,-2.39,-2.47,-2.61,
18,Chirya,0.43,1.32,3.75,3.12,
19,Dadri1,-0.25,-,-,-,
20,Dadri-Pz,-,-,-0.31,-,
21,Dhanana,-0.58,0.26,0.06,-,
22,Gopi,6.75,-,6.82,-,
23,Gurera,-0.05,0.62,-0.25,-,
24,Gurera-pz,-0.33,-,-0.06,-,
25,Haluwas,-0.48,-0.28,0.89,1.13,
26,Imlota,-,-,-0.41,-,
27,Isharwal,-0.33,-,0.07,-,
28,Jhumpa,0.20,0.51,-0.42,-0.51,
29,Jhumpa PZM,-,-,-0.33,-,
30,Jhumpa Kalan,-0.57,-,-,-,
31,Juikalan,-,-,4.19,-,
32,Juikalan Pz,4.71,-,0.39,-,
33,Lohani,-1.01,0.11,-0.57,-,
34,Manhairu,-0.80,-,-0.28,-0.09,
35,Mauhala,-1.20,-,-1.05,-0.35,
36,Mehrana,-5.09,-,-4.84,-,
37,Miran,-2.41,-,-0.78,-,
38,Miran-Pz,-0.40,-,-0.11,-,
39,Nayaatela,2.11,-,3.64,2.92,
40,Pataudi Khurd,-0.36,-,-,-,
41,Sagban,-2.44,--,-,-,
42,Sangwan PZM,-1.79,-,-1.66,-,
43,Sanwar,-0.48,-,-1.02,-,
44,Singhani-pz,10.67,-,10.77,-,
45,Siwani,0.17,0.17,0.28,0.10,
46,Sui,-1.21,-0.79,-0.51,-0.87,
47,Tosham,-1.74,-0.31,-,-
48,Tosham-Pz,-2.03,-,-1.25,-1.14,
49,FARIDABAD:Achheja,-0.54,-,2.19,-
50,Badraun,1.75,-,3.99,-,
51,Baghaula,-2.69,-,-2.26,-2.98,
52,Ballabhgarh,1.95,-,-4.79,-,
53,Barauli-Pz,0.08,-,3.18,-,
54,Bhopani,2.83,-,3.41,-,
55,Dighaut,0.54,-,1.33,-,
56,Hathin,0.46,-,-,-,
57,Hasanpur,-,-,4.10,-,
58,Jaindapur,2.74,-,3.84,-,
59,Jawan- Pz,-,-,-,-,
60,Kabulpur,2.05,-,4.59,-,
61,Khambi,-0.55,-,-0.02,-,
62,Kot,-1.35,-,2.21,-2.10,
63,Lakhnaka,0.89,-,0.13,-,
64,Lalwa,1.51,-,-,-,
65,NH-IV CHQ PZ S,0.38,-,2.03,-,
66,Pali2,4.12,-,7.69,-,
67,Palwal,0.95,-,2.73,-,
68,Palwal-Pz,0.30,-,1.67,-,
69,Pehladpur-Pz,-,-,-1.81,-,
70,Pelak-Pz,-,-,-,-,
71,Rasul Pur,0.47,1.71,-,-,
72,Thekarka,-4.26,-,-,-,
73,Tigaon-Pz,-,-,-,-,
74,Tumsara,-1.70,-,-,-1.11,
75,FATEHABAD:Aharwan S,5.59,-,4.48,-
76,Badopal,0.52,0.85,0.89,0.65,
77,Jandli Kalan,-0.28,-,0.66,-,
78,Mehu Wala Pz,-0.59,-,0.04,-,
79,Nahla,-0.20,0.71,1.58,1.23,
80,Ratia- Pz,-,-,0.97,-,
81,Sadalpur,-0.36,1.48,0.14,0.05,
82,Samain,0.65,-,-0.32,-,
83,Sohu,-0.51,0.19,-,0.08,
84,Tohana,-,-,3.80,4.23,
85,Uklana Mandi-Pz,1.84,-,-,-,
86,GURGAON:Akaira,-0.64,1.30,-2.66,2.73
87,Akbarpur,-0.02,-0.02,-0.25,-0.05,
