"","District","Location","Quarter","Depth"
"1","AMBALA","Ambala Cantt","May 2013",2.42
"2","AMBALA","Balana","May 2013",2.06
"3","AMBALA","Dhanaura","May 2013",6.3
"4","AMBALA","Kakru","May 2013",1.98
"5","AMBALA","Khanahmadpur","May 2013",4.17
"6","AMBALA","Mulana","May 2013",3.27
"7","AMBALA","Naraingarh","May 2013",14.09
"8","AMBALA","Panjokhra","May 2013",5.2
"9","AMBALA","Pinjola","May 2013",4.14
"10","BHIWANI","Badala","May 2013",1.85
"11","BHIWANI","Bajina","May 2013",11.22
"12","BHIWANI","Bamla","May 2013",6.93
"13","BHIWANI","Baundkalan","May 2013",2.86
"14","BHIWANI","Bhawani khera DW","May 2013",5.93
"15","BHIWANI","Bhawani Khera Pz","May 2013",7
"16","BHIWANI","Bohal","May 2013",6.78
"17","BHIWANI","Chirya","May 2013",15.06
"18","BHIWANI","Dadri1","May 2013",2.39
"19","BHIWANI","Dhanana","May 2013",1.26
"20","BHIWANI","Gopi","May 2013",NA
"21","BHIWANI","Gurera","May 2013",15.4
"22","BHIWANI","Gurera-pz","May 2013",19.12
"23","BHIWANI","Haluwas","May 2013",2.1
"24","BHIWANI","Imlota","May 2013",NA
"25","BHIWANI","Isharwal","May 2013",18.4
"26","BHIWANI","Jhumpa","May 2013",26.99
"27","BHIWANI","Jhumpa Kalan","May 2013",NA
"28","BHIWANI","Juikalan","May 2013",NA
"29","BHIWANI","Juikalan Pz","May 2013",19.35
"30","BHIWANI","Lachhmanpur","May 2013",8.19
"31","BHIWANI","Lohani","May 2013",13.9
"32","BHIWANI","Mauhala","May 2013",17
"33","BHIWANI","Mehrana","May 2013",14.8
"34","BHIWANI","Miran","May 2013",5.17
"35","BHIWANI","Miran-Pz","May 2013",6.27
"36","BHIWANI","Nayaatela","May 2013",20.26
"37","BHIWANI","Pataudi Khurd","May 2013",NA
"38","BHIWANI","Sagban","May 2013",4.4
"39","BHIWANI","Sangwan PZM","May 2013",4.4
"40","BHIWANI","Sanwar","May 2013",5.05
"41","BHIWANI","Singhani-pz","May 2013",NA
"42","BHIWANI","Siwani","May 2013",13.6
"43","BHIWANI","Sui","May 2013",4.72
"44","BHIWANI","Tosham","May 2013",6.41
"45","BHIWANI","Tosham-Pz","May 2013",8
"46","FARIDABAD","Achheja","May 2013",7.85
"47","FARIDABAD","Badraun","May 2013",7.15
"48","FARIDABAD","Baghaula","May 2013",4.8
"49","FARIDABAD","Ballabhgarh","May 2013",26.99
"50","FARIDABAD","Bamnikhera","May 2013",6.8
"51","FARIDABAD","Barauli-Pz","May 2013",10.12
"52","FARIDABAD","Bhopani","May 2013",19.1
"53","FARIDABAD","Dighaut","May 2013",11.49
"54","FARIDABAD","Hathin","May 2013",13.87
"55","FARIDABAD","Hodel","May 2013",10.12
"56","FARIDABAD","Hodel1","May 2013",10.12
"57","FARIDABAD","Jaindapur","May 2013",NA
"58","FARIDABAD","Jawan- Pz","May 2013",NA
"59","FARIDABAD","Kabulpur","May 2013",14.75
"60","FARIDABAD","Khambi","May 2013",3.71
"61","FARIDABAD","Kot","May 2013",9.81
"62","FARIDABAD","Lakhnaka","May 2013",6.44
"63","FARIDABAD","Lalwa","May 2013",6
"64","FARIDABAD","NH-IV CHQ PZ S","May 2013",48.72
