"District","Sl. No.","Location","May 2013","August 2013","November 2013","January 2014"
AMBALA,1,Ambala Cantt,2.42,-,1.62,-
"",2,Balana,2.06,-,1.17,-
"",3,Dhanaura,6.30,2.90,3.30,4.20
"",4,Kakru,1.98,0.38,1.34,1.41
"",5,Khanahmadpur,4.17,-,2.31,2.86
"",6,Mulana,3.27,-,2.42,-
"",7,Naraingarh,14.09,-,11.84,-
"",8,Panjokhra,5.20,3.25,2.83,-
"",9,Pinjola,4.14,3.54,2.59,-
BHIWANI,10,Badala,1.85,1.95,1.75,-
"",11,Bajina,11.22,11.30,11.36,11.37
"",12,Bamla,6.93,7.18,6.97,9.68
"",13,Baundkalan,2.86,1.81,1.98,-
"",14,Bhawani khera DW,5.93,6.45,6.35,-
"",15,Bhawani Khera Pz,7.00,6.96,6.11,-
"",16,Bohal,6.78,5.95,6.15,-
"",17,Chirya,15.06,14.36,12.79,-
"",18,Dadri1,2.39,-,2.28,-
"",19,Dhanana,1.26,0.94,1.04,-
"",20,Gopi,-,-,55.40,-
"",21,Gurera,15.40,15.95,15.84,-
"",22,Gurera-pz,19.12,-,14.35,-
"",23,Haluwas,2.10,1.72,2.43,2.65
"",24,Imlota,-,-,3.01,-
"",25,Isharwal,18.40,17.10,15.98,-
"",26,Jhumpa,26.99,27.90,27.77,29.30
"",27,Jhumpa Kalan,-,-,26.56,-
"",28,Juikalan,-,28.44,-,-
"",29,Juikalan Pz,19.35,-,27.11,-
"",30,Lachhmanpur,8.19,3.20,8.91,-
"",31,Lohani,13.90,-,7.45,-
"",32,Mauhala,17.00,20.50,20.07,-
"",33,Mehrana,14.80,15.80,11.35,-
"",34,Miran,5.17,-,3.71,-
"",35,Miran-Pz,6.27,-,4.26,-
"",36,Nayaatela,20.26,20.21,20.36,20.01
"",37,Pataudi Khurd,-,-,10.60,-
"",38,Sagban,4.40,-,3.99,-
"",39,Sangwan PZM,4.40,-,3.99,-
"",40,Sanwar,5.05,-,4.28,3.75
"",41,Singhani-pz,-,-,68.87,-
"",42,Siwani,13.60,13.47,13.49,13.40
"",43,Sui,4.72,-,3.34,3.30
"",44,Tosham,6.41,6.00,5.43,-
"",45,Tosham-Pz,8.00,-,8.19,-
FARIDABAD,46,Achheja,7.85,-,5.65,-
"",47,Badraun,7.15,-,2.45,-
"",48,Baghaula,4.80,2.39,1.64,-
"",49,Ballabhgarh,26.99,-,26.10,-
"",50,Bamnikhera,6.80,-,-,-
"",51,Barauli-Pz,10.12,-,-,-
"",52,Bhopani,19.10,-,17.86,-
"",53,Dighaut,11.49,-,10.51,-
"",54,Hathin,13.87,-,9.16,-
"",55,Hodel,10.12,-,8.19,-
"",56,Hodel1,10.12,-,8.19,-
"",57,Jaindapur,-,-,9.30,-
"",58,Jawan- Pz,-,-,9.39,-
"",59,Kabulpur,14.75,-,13.10,-
"",60,Khambi,3.71,-,0.73,-
"",61,Kot,9.81,-,6.11,-
"",62,Lakhnaka,6.44,-,9.40,-
"",63,Lalwa,6.00,-,3.30,-
"",64,NH-IV CHQ PZ S,48.72,-,49.66,-
"",65,Pali2,19.60,-,17.65,-
"",66,Palwal,5.20,-,4.00,-
"",67,Palwal-Pz,7.10,-,12.30,-
"",68,Rasul Pur,6.98,5.74,5.49,5.64
"",69,Thekarka,-,-,0.90,-
"",70,Tigaon-Pz,-,-,19.10,-
"",71,Tumsara,7.33,5.98,7.68,-
FATEHABAD,72,Aharwan S,51.59,-,56.34,-
"",73,Badopal,2.33,1.93,2.05,2.10
"",74,Jandli Kalan,4.12,-,3.01,-
"",75,Mehu Wala Pz,3.68,-,2.69,-
"",76,Nahla,8.52,6.61,8.16,-
"",77,Ratia -Pz,40.09,-,42.06,-
"",78,Sadalpur,7.06,-,6.95,-
"",79,Samain,5.04,1.95,2.17,-
"",80,Sohu,5.51,-,5.05,-
"",81,Tohana,16.67,15.68,17.45,-
GURGAON,82,Akaira,6.40,5.80,5.00,-
"",83,Akbarpur,1.80,-,0.90,-
"",84,Basonda Tripati-Pz,-,-,23.77,-
"",85,Chandu Tikly,10.60,-,9.05,-
"",86,Fazilpur Badli-Pz,21.80,22.20,18.70,23.20
"",87,Firozepur Jhirka,13.25,10.75,9.40,-
"",88,Gulaltha,-,1.20,-,-
"",89,Gurgaon,35.35,-,35.75,-
"",90,Gurgaon Pz,35.35,-,35.75,-
"",91,Haila Mandi,-,-,26.32,-
"",92,Indri,3.34,2.20,3.28,-
"",93,Jaraon Pz,-,-,12.87,-
"",94,Jhanjrola,-,-,6.87,-
"",95,Kasan,-,-,34.10,-
"",96,Khera Khurrampur-Pz,17.47,17.35,15.60,-
"",97,Kheri1,4.05,-,2.68,-
"",98,Khori Kalan,-,-,15.06,-
"",99,Lokra-Pz,30.62,-,32.80,-
"",100,Luhingakalan,4.91,-,3.05,-
"",101,Malab,6.70,3.74,3.94,-
"",102,Meoka-Pz,18.10,-,18.90,-
"",103,Mouzabad,33.90,-,32.55,-
"",104,Mubarakpur,15.30,-,12.35,-
"",105,Nagina,6.60,-,3.64,-
"",106,Naharika-Pz,-,-,28.95,-
"",107,Nuh1,3.69,-,1.34,-
"",108,Nurgarh-Pz,21.70,21.40,21.00,-
"",109,Pipaka,30.10,-,33.05,-
"",110,Pipaka-Shashola,30.10,-,33.05,-
"",111,Rangla Dhani-Pz,31.70,-,27.30,-
"",112,Raoli,11.00,-,-,-
"",113,Sikarwa,4.10,-,0.94,-
"",114,Siwari-Pz,13.57,13.50,13.50,14.07
"",115,Sohna,-,-,30.20,-
"",116,Wazirpur-Pz,16.30,-,17.14,-
HISAR,117,Adampur-Pz,4.22,3.44,3.52,3.53
"",118,Agroha-Pz,9.21,-,8.84,-
"",119,Balawas1,15.22,-,12.90,13.95
"",120,Balsamand,14.70,-,14.05,-
"",121,Balsamand-Pz,16.00,-,15.26,16.20
"",122,Banbhauri-Pz,5.82,6.40,6.04,6.30
"",123,Barwala S,-,12.56,-,-
"",124,Barwala1,11.81,10.49,11.97,-
"",125,Barwala-Pz,9.57,9.55,9.37,9.45
"",126,Bas,1.15,-,0.57,-
"",127,Basra,18.48,19.10,19.34,19.29
"",128,Behbalpur-Pz,4.71,3.50,3.74,3.62
"",129,Chanaut,5.27,4.61,5.71,5.02
"",130,Chawdhariwas,9.19,8.83,8.80,8.79
"",131,Dhamundicross,6.87,3.55,4.83,-
"",132,Dhansu,5.25,4.71,4.60,4.67
"",133,Ghaibipur,4.46,4.00,4.15,4.03
"",134,Ghursal-Pz,-,8.70,10.77,8.85
"",135,Hissar,7.22,6.81,6.51,-
"",136,Hissar-Pz,7.21,6.70,6.40,-
"",137,Juglan,7.98,8.17,7.06,-
"",138,Kanoh-Pz,11.19,11.00,10.61,-
"",139,Khanda Kheri-Pz,-,-,7.56,-
"",140,Kherijalab-Pz,7.30,7.30,6.67,-
"",141,Khotkalan,10.73,10.13,10.40,-
"",142,Kirori,13.67,13.00,13.01,-
"",143,Kirtan,13.02,12.30,11.26,-
"",144,Mangali-Pz,5.59,5.26,4.80,-
"",145,Mirka,3.22,2.40,3.24,-
"",146,Mothmajri,8.14,8.37,7.67,-
"",147,Muklan,6.67,-,-,-
"",148,Narnaud S,11.43,-,-,-
"",149,Rajli Cross,4.08,0.57,1.10,-
"",150,Rajthal1,14.13,-,15.55,-
"",151,Samani,5.46,-,4.98,-
"",152,Sorkhi-Pz,2.37,1.45,2.01,-
"",153,Umra,7.54,-,6.20,-
JHAJJAR,154,Badli,14.80,-,11.02,-
"",155,Bagoa,4.83,-,0.20,1.50
"",156,Bahadurgarh,-,-,4.08,-
"",157,Chamanpura,2.10,1.65,0.25,-
"",158,Chhara,7.60,,4.11,-
"",159,Chuchakwas,4.98,5.56,5.44,5.71
"",160,Dighal,2.09,1.72,1.03,-
"",161,Dubhaldhan,5.88,,2.75,-
"",162,Dulhera,3.44,2.99,2.19,2.83
"",163,Gabhana,-,-,1.58,-
"",164,Jhajjar,3.42,-,2.00,-
"",165,Jhajjar1,3.15,-,2.90,-
"",166,Kulasi,2.90,-,0.40,-
"",167,Majra Deswal,6.09,-,2.12,-
"",168,Mudsa,1.18,-,1.60,-
"",169,Sankol,1.63,-,0.32,-
"",170,Subnah,-,-,1.00,-
"",171,Wazirpur,2.10,-,0.99,-
JIND,172,Alewa,31.95,31.60,,
"",173,Alewa Pz,-,-,32.51,-
"",174,ATI Krishna1(s),21.40,-,-,-
"",175,Baroda,16.60,-,16.34,-
"",176,Bhuslana-Pz,15.19,-,16.70,-
"",177,Brahmanwas,9.99,9.70,9.30,-
"",178,Chhabri,7.12,4.53,5.02,-
"",179,Dhandauli Pz,38.38,-,46.15,-
"",180,Dorana Pz,21.30,-,25.75,-
"",181,Ghaso,14.37,-,9.72,-
"",182,Jhamula,6.36,5.72,5.32,-
"",183,Julana Pz,6.64,-,5.45,6.00
"",184,Kharwal,14.34,14.96,-,-
"",185,Khatkaran,13.84,13.65,13.64,-
"",186,Korar,11.94,16.16,12.46,-
"",187,Mohal Khera Pz,6.28,-,4.60,-
"",188,Narwana S,3.55,-,2.04,-
"",189,Narwana S-Pz,3.55,-,2.19,-
"",190,Pillukhera,6.18,6.25,5.91,-
"",191,Safidon (s),13.50,-,14.64,-
"",192,Safidon 1(s),13.05,-,21.39,-
"",193,Uchana,18.20,18.70,18.18,-
"",194,Uchana Pz,19.35,-,16.95,-
KAITHAL,195,Guhna,23.59,26.18,26.36,25.58
"",196,Jakhauli-Pz,10.23,11.60,10.76,10.40
"",197,Jandaula-Pz,27.05,-,29.57,-
"",198,Jateri,19.73,21.35,21.81,-
"",199,Kalayat,3.49,-,2.31,-
"",200,Kalayat S,4.27,-,3.66,-
"",201,Kathana-Pz,11.92,13.20,12.92,13.15
"",202,Kelaram,6.90,7.61,6.35,-
"",203,Kheorak-Pz,28.85,-,32.75,-
"",204,Manaspatti-Pz,33.22,34.15,34.82,34.70
"",205,Mataur,7.35,7.21,6.31,-
"",206,Mundri,16.85,17.25,16.76,-
