"Sl. No.","District","Location","May 2014","August 2014","November 2014","January 2015"
1.,AMBALA,Ambala Cantt,-,-,1.66,-
2.,,Balana,1.58,-,-,-
3.,,Dhanaura,5.19,5.20,4.51,4.70
4.,,Kakru,1.56,1.68,2.15,2.01
5.,,Khanahmadpur,3.88,3.59,3.00,2.45
6.,,Mulana,2.81,-,2.79,-
7.,,Naraingarh,12.06,-,-,-
8.,,Panjokhra,3.51,-,5.11,4.03
9.,,Pinjola,-,-,3.10,-
10.,,Saha S,50.00,-,-,-
11.,BHIWANI,Badala,2.46,-,2.76,-
12.,,Bajina,11.87,11.77,12.00,12.17
13.,,Bamla,6.86,-,6.76,6.83
14.,,Baundkalan,1.83,3.01,2.63,2.31
15.,,Bhawani khera DW,6.39,-,6.56,6.55
16.,,Bhawani Khera Pz,6.81,-,6.81,-
17.,,Bohal,5.81,5.95,5.74,5.75
18.,,Chirya,14.00,14.41,16.29,16.08
19.,,Dadri1,2.46,-,-,-
20.,,Dadri-Pz,-,-,2.11,-
21.,,Dhanana,1.07,1.19,1.00,-
22.,,Gopi,56.80,-,57.15,-
23.,,Gurera,15.87,15.92,15.39,-
24.,,Gurera-pz,14.63,-,14.87,-
25.,,Haluwas,3.03,2.95,3.93,4.00
26.,,Imlota,-,-,1.89,-
27.,,Isharwal,18.12,-,18.21,-
28.,,Jhumpa,27.70,28.00,26.24,26.49
29.,,Jhumpa PZM,,,26.46,-
30.,,Jhumpa Kalan,26.39,-,-,-
31.,,Juikalan,-,-,32.00,-
32.,,Juikalan Pz,28.31,-,28.51,-
33.,,Lohani,8.10,8.25,8.22,-
34.,,Manhairu,5.28,-,5.38,5.26
35.,,Mauhala,19.18,-,19.20,19.61
36.,,Mehrana,11.94,-,11.84,-
37.,,Miran,1.59,-,2.33,-
38.,,Miran-Pz,4.41,-,4.21,-
39.,,Nayaatela,22.21,-,22.61,22.36
40.,,Pataudi Khurd,11.24,-,-,-
41.,,Sagban,4.17,-,-,-
42.,,Sangwan PZM,4.17,-,4.20,-
43.,,Sanwar,4.95,-,4.00,-
44.,,Singhani-pz,70.58,-,71.73,-
45.,,Siwani,13.72,13.55,13.69,13.60
46.,,Sui,3.41,3.35,3.41,3.15
47.,,Tosham,5.13,6.16,-,
48.,,Tosham-Pz,6.93,-,6.80,6.90
49.,FARIDABAD,Achheja,6.85,-,8.50,-
50.,,Badraun,7.25,-,7.75,-
51.,,Baghaula,1.90,-,1.53,1.65
52.,,Ballabhgarh,27.60,-,1.90,-
53.,,Barauli-Pz,8.80,-,10.17,--
54.,,Bhopani,19.20,-,19.25,-
55.,,Dighaut,10.50,-,10.70,-
56.,,Hathin,10.88,-,-,-
57.,,Hasanpur,-,-,19.30,-
58.,,Jaindapur,9.90,-,11.58,-
59.,,Jawan- Pz,16.90,-,17.95,-
60.,,Kabulpur,15.90,-,18.00,-
61.,,Khambi,2.90,-,2.23,-
62.,,Kot,6.65,-,9.28,6.04
63.,,Lakhnaka,7.75,-,7.06,-
64.,,Lalwa,6.50,-,-,-
65.,,NH-IV CHQ PZ S,47.22,-,50.85,-
66.,,Pali2,18.10,-,21.09,-
67.,,Palwal,6.22,-,7.10,-
68.,,Palwal-Pz,7.64,-,-,-
69.,,Pehladpur-Pz,5.50,-,6.18,-
70.,,Pelak-Pz,20.20,-,-,-
71.,,Rasul Pur,6.14,6.74,6.63,-
72.,,Thekarka,1.29,-,-,-
73.,,Tigaon-Pz,23.10,-,-,-
74.,,Tumsara,6.08,-,6.04,7.38
75.,FATEHABAD,Aharwan S,55.50,-,55.70,-
76.,,Badopal,2.31,2.35,2.10,2.23
77.,,Jandli Kalan,3.98,-,4.60,-
78.,,Mehu Wala Pz,3.00,-,2.99,-
79.,,Nahla,6.91,7.19,8.30,7.72
80.,,Ratia- Pz,-,-,42.10,-
81.,,Sadalpur,6.38,8.23,6.93,6.93
82.,,Samain,4.18,-,2.54,-
83.,,Sohu,5.14,5.68,-,5.62
84.,,Tohana,-,-,18.29,17.38
85.,,Uklana Mandi-Pz,11.70,-,-,-
86.,GURGAON,Akaira,5.30,5.70,1.40,6.60
87.,,Akbarpur,1.20,0.45,0.82,1.05
88.,,Basonda Tripati-Pz,23.70,-,24.49,-
89.,,Chandu Tikly,10.39,-,-,-
90.,,Firozepur Jhirka,11.10,11.05,12.95,-
91.,,Fazilpur Badli-Pz,-,26.05,24.68,25.00
92.,,Gulaltha,-0.50,-,0.02,-
93.,,Gurgaon,-,-,38.12,-
94.,,Gurgaon Pz,35.97,-,,-
95.,,Indri,-,5.60,3.10,-
96.,,Jaraon Pz,11.95,-,11.77,-
97.,,Jhanjrola,6.12,-,4.92,-
98.,,Khera Khurrampur- Pz,-,17.60,-,20.50
99.,,Kadipur,-,-,33.20,-
100.,,Kasan,37.60,-,37.37,-
101.,,Kheri1,4.16,-,5.65,-
102.,,Kherla,34.41,-,,-
103.,,Khori kalan,-,-,18.26,-
104.,,Lokra – Pz,-,-,33.27,32.82
105.,,Luhingakalan,3.94,-,4.42,-
106.,,Malab,3.15,4.04,4.30,-
107.,,Meoka-Pz,17.62,-,18.33,-
108.,,Mouzabad,34.14,-,-,-
109.,,Nagina,3.62,-,4.78,-
110.,,Naharika-Pz,29.71,-,29.07,-
111.,,Nurgarh-Pz,-,-,21.98,-
112.,,Nuh1,3.08,-,-,-
113.,,Pipaka,34.46,-,-,-
114.,,Pipaka-Shashola,33.95,-,34.68,-
115.,,Siwari-Pz,-,12.20,-,14.30
116.,,Sikarwa,2.46,-,3.23,-
117.,,Sohna,12.67,-,-,-
118.,,Wazirpur-Pz,16.79,-,17.28,-
119.,HISAR,Adampur-Pz,3.62,-,4.52,4.50
120.,,Agroha-Pz,8.52,-,8.40,-
121.,,Balawas1,14.80,-,14.25,13.90
122.,,Balsamand,13.25,-,14.60,-
123.,,Balsamand-Pz,15.59,-,16.17,-
124.,,Banbhauri-Pz,5.85,-,6.83,6.60
125.,,Barwala abd,11.50,-,-,13.19
126.,,Barwala 1,,,12.91,-
127.,,Barwala-Pz,9.14,-,9.30,9.10
128.,,Bas,1.40,-,1.35,-
129.,,Basra,18.26,-,19.25,17.26
130.,,Behbalpur-Pz,3.62,-,4.28,3.31
131.,,Chanaut,4.59,-,5.80,5.44
132.,,Chawdhariwas,8.88,8.93,8.98,9.43
133.,,Dhamundicross,3.90,-,-,-
134.,,Dhansu,4.58,4.69,4.79,-
135.,,Ghaibipur,-,-,2.80,-
136.,,Ghursal-Pz,8.78,-,9.00,8.80
137.,,Hissar-Pz,6.44,6.96,7.96,8.05
138.,,Juglan,8.33,-,8.97,-
139.,,Kanoh-Pz,10.70,11.41,11.10,11.12
140.,,Khanda Kheri-Pz,7.67,-,8.53,-
141.,,Kherijalab-Pz,8.55,7.40,6.40,7.95
142.,,Khotkalan,12.18,-,11.63,11.33
143.,,Kirori,13.85,-,14.05,-
144.,,Kirtan,12.47,12.55,11.40,12.60
"",,Mangali-Pz,4.84,5.20,5.15,5.35
145.,,Mirka,-,-,4.11,2.76
146.,,Mothmajri,8.02,9.97,9.01,8.72
147.,,Narnaud S,11.16,-,13.30,-
148.,,Rajli Cross,1.60,4.82,3.20,2.59
149.,,Rajthal1,15.99,-,15.40,-
150.,,Samani,4.89,4.79,-,5.19
151.,,Sorkhi-Pz,3.01,-,2.52,-
