"District.Id","Year","Month","meanDepth"
"D1","2013","August",11.3595
"D1","2013","May",9.827
"D1","2013","November",12.672
"D1","2014","August",9.5425
"D1","2014","January",11.6825
"D1","2014","May",13.1594117647059
"D1","2014","November",14.0887878787879
"D1","2015","August",12.367
"D1","2015","January",10.79
"D1","2015","May",12.7384
"D1","2015","November",13.9788235294118
"D1","2016","January",9.49071428571429
"D10","2013","August",28.8283333333333
"D10","2013","May",30.1346153846154
"D10","2013","November",31.3146153846154
"D10","2014","August",32.8428571428571
"D10","2014","January",28.7816666666667
"D10","2014","May",29.8521428571429
"D10","2014","November",31.0092307692308
"D10","2015","August",34.705
"D10","2015","January",18.8
"D10","2015","May",33.4947826086957
"D10","2015","November",34.5230434782609
"D10","2016","January",31.04
"D11","2013","August",40.7733333333333
"D11","2013","May",30.94
"D11","2013","November",27.26
"D11","2014","August",27.2
"D11","2014","January",39.45
"D11","2014","May",35.91
"D11","2014","November",37.69
"D11","2015","August",7.95
"D11","2015","January",11.525
"D11","2015","May",36.3747368421053
"D11","2015","November",37.8961538461538
"D11","2016","January",42.5928571428571
"D14","2013","August",9.92666666666667
"D14","2013","May",16.24875
"D14","2013","November",13.21625
"D14","2014","August",7.42666666666667
"D14","2014","January",9.02
"D14","2014","May",15.4571428571429
"D14","2014","November",14.5514285714286
"D14","2015","August",19.1875
"D14","2015","January",9.26666666666667
"D14","2015","May",12.418125
"D14","2015","November",12.799375
"D14","2016","January",10.94
"D15","2013","August",12.3466666666667
"D15","2013","May",10.7721428571429
"D15","2013","November",12.7805
"D15","2014","August",15.075
"D15","2014","January",12.32
"D15","2014","May",12.3793333333333
"D15","2014","November",13.9086363636364
"D15","2015","August",1.8
"D15","2015","January",12.4266666666667
"D15","2015","May",16.544
"D15","2015","November",13.7172413793103
"D15","2016","January",7.33666666666667
"D16","2013","August",40.0375
"D16","2013","May",26
"D16","2013","November",24.43
"D16","2014","August",40.775
"D16","2014","January",23.1375
"D16","2014","May",22.4814285714286
"D16","2014","November",20.2775
"D16","2015","January",20.2
"D16","2015","May",18.1409677419355
"D16","2015","November",18.6046428571429
"D16","2016","January",15.1592307692308
"D17","2013","August",3.37875
"D17","2013","May",3.73714285714286
"D17","2013","November",2.43461538461538
"D17","2014","August",4.81428571428571
"D17","2014","January",3.535
"D17","2014","May",3.63777777777778
"D17","2014","November",3.60090909090909
"D17","2015","August",3.5
"D17","2015","January",4.828
"D17","2015","May",2.92612903225806
"D17","2015","November",2.75612903225806
"D17","2016","January",2.71344827586207
"D18","2013","August",12.6375862068966
"D18","2013","May",14.1741666666667
"D18","2013","November",13.7582857142857
"D18","2014","August",10.8792857142857
"D18","2014","January",16.3892307692308
"D18","2014","May",13.2745161290323
"D18","2014","November",12.4841176470588
"D18","2015","August",16.5155555555556
"D18","2015","January",7.1
"D18","2015","May",13.4009615384615
"D18","2015","November",13.1242105263158
"D18","2016","January",13.248
"D19","2013","August",9.41722222222222
"D19","2013","May",8.78677419354839
"D19","2013","November",8.38897435897436
"D19","2014","August",8.58933333333333
"D19","2014","January",12.1375
"D19","2014","May",8.55090909090909
"D19","2014","November",9.89289473684211
"D19","2015","August",10.4585714285714
"D19","2015","January",5.06
"D19","2015","May",9.28034482758621
"D19","2015","November",8.33762711864407
"D19","2016","January",9.5102
"D20","2013","August",5.635
"D20","2013","May",11.0635294117647
"D20","2013","November",9.33736842105263
"D20","2014","August",10.05
"D20","2014","January",4.982
"D20","2014","May",8.72666666666667
"D20","2014","November",8.795
"D20","2015","August",12.38
"D20","2015","May",12.7237037037037
"D20","2015","November",10.2923529411765
"D20","2016","January",4.64
"D21","2013","August",2.5175
"D21","2013","May",4.84777777777778
"D21","2013","November",3.26888888888889
"D21","2014","August",3.49
"D21","2014","January",2.82333333333333
"D21","2014","May",10.07375
"D21","2014","November",3.18857142857143
"D21","2015","August",4.69
"D21","2015","January",3.2975
"D21","2015","May",9.07555555555555
"D21","2015","November",7.1475
"D21","2016","January",3.074
"D22","2013","August",7.41923076923077
"D22","2013","May",8.49647058823529
"D22","2013","November",7.92617647058823
"D22","2014","August",7.672
"D22","2014","January",8.64166666666667
"D22","2014","May",8.505625
"D22","2014","November",8.8346875
"D22","2015","August",7.83916666666667
"D22","2015","January",8.3595
"D22","2015","May",7.6952
"D22","2015","November",7.81702127659574
"D22","2016","January",8.13372093023256
"D3","2013","August",4.70333333333333
"D3","2013","May",12.0022727272727
"D3","2013","November",10.7441666666667
"D3","2014","August",6.74
"D3","2014","January",5.64
"D3","2014","May",12.0388
"D3","2014","November",12.1545
"D3","2015","January",5.02333333333333
"D3","2015","May",10.2108333333333
"D3","2015","November",10.11
"D3","2016","January",11.9718181818182
"D4","2013","August",6.5425
"D4","2013","May",14.461
"D4","2013","November",14.593
"D4","2014","August",5.8625
"D4","2014","January",2.1
"D4","2014","May",11.0111111111111
"D4","2014","November",15.95
"D4","2015","August",9.00333333333333
"D4","2015","January",7.976
"D4","2015","May",13.8125
"D4","2015","November",12.1128
"D4","2016","January",14.4566666666667
"D5","2013","August",10.9044444444444
"D5","2013","May",16.4538461538462
"D5","2013","November",17.2363636363636
"D5","2014","August",10.33625
"D5","2014","January",18.635
"D5","2014","May",15.7079166666667
"D5","2014","November",16.1704166666667
"D5","2015","January",16.7116666666667
"D5","2015","May",18.0553846153846
"D5","2015","November",18.0029787234043
"D5","2016","January",18.39
"D6","2013","August",2.98
"D6","2013","May",4.41266666666667
"D6","2013","November",2.44333333333333
"D6","2014","August",4.125
"D6","2014","January",3.34666666666667
"D6","2014","May",2.94
"D6","2014","November",3.93866666666667
"D6","2015","August",2.94666666666667
"D6","2015","January",3.88888888888889
"D6","2015","May",4.25206896551724
"D6","2015","November",4.87090909090909
"D6","2016","January",4.4168
"D7","2013","August",13.4744444444444
"D7","2013","May",14.2309090909091
"D7","2013","November",14.213
"D7","2014","August",4.58
"D7","2014","January",6
"D7","2014","May",12.5033333333333
"D7","2014","November",13.815
"D7","2015","August",9.7775
"D7","2015","January",9.9125
"D7","2015","May",14.5857692307692
"D7","2015","November",13.4838095238095
"D7","2016","January",15.39625
"D8","2013","August",16.9677777777778
"D8","2013","May",17.5215789473684
"D8","2013","November",18.38
"D8","2014","August",22.9575
"D8","2014","January",17.5383333333333
"D8","2014","May",17.006
"D8","2014","November",17.774
"D8","2015","August",15.616
"D8","2015","January",25.0466666666667
"D8","2015","May",22.1788888888889
"D8","2015","November",22.8689189189189
"D8","2016","January",21.8825
"D9","2013","August",23.54
"D9","2013","May",18.2217948717949
"D9","2013","November",18.6590909090909
"D9","2014","August",27.275
"D9","2014","January",23.2375
"D9","2014","May",17.9092307692308
"D9","2014","November",19.0058823529412
"D9","2015","August",25.8166666666667
"D9","2015","January",22.35
"D9","2015","May",18.4319047619048
"D9","2015","November",19.6794827586207
"D9","2016","January",13.9166666666667
