"","X","Year","District","Block","Crop","Yield"
"1",836,2013,"D22","B1","Bajra",0.0290743639578496
"2",837,2013,"D22","B120","Bajra",0.109593563160725
"3",838,2013,"D22","B3","Bajra",0.817255257563458
"4",839,2013,"D22","B4","Bajra",0.498580680436586
"5",840,2013,"D22","B5","Bajra",1.11098022366972
"6",841,2013,"D22","B6","Bajra",0.856947820550791
"7",842,2013,"D22","B7","Bajra",0.511055485946891
"8",843,2013,"D22","B8","Bajra",0.868288552832886
"9",844,2013,"D22","B9","Bajra",0.0823758056836965
"10",845,2013,"D4","B10","Bajra",0.841070795355858
"11",846,2013,"D4","B11","Bajra",0.691373129232203
"12",847,2013,"D4","B12","Bajra",0.0914483915093726
"13",848,2013,"D4","B13","Bajra",0.649412419788451
"14",849,2013,"D4","B14","Bajra",0.240011984404818
"15",850,2013,"D4","B15","Bajra",-1.69131472323598
"16",851,2013,"D18","B16","Bajra",0.292179352902456
"17",852,2013,"D18","B17","Bajra",-0.0106181990294832
"18",853,2013,"D18","B18","Bajra",-1.69131472323598
"19",854,2013,"D18","B19","Bajra",0.580233952867671
"20",855,2013,"D18","B20","Bajra",0.567759147357366
"21",856,2013,"D18","B21","Bajra",0.213928300156
"22",857,2013,"D18","B22","Bajra",-1.69131472323598
"23",858,2013,"D18","B16","Bajra",-1.69131472323598
"24",859,2013,"D1","B23","Bajra",0.0562921214348778
"25",860,2013,"D1","B24","Bajra",0.0370128765553162
"26",861,2013,"D1","B25","Bajra",-0.24990765018169
"27",862,2013,"D1","B26","Bajra",0.67549610403727
"28",863,2013,"D1","B27","Bajra",0.607451710344699
"29",864,2013,"D1","B28","Bajra",0.524664364685405
"30",865,2013,"D1","B29","Bajra",-0.311147604505003
"31",866,2013,"D1","B30","Bajra",0.114129856073563
"32",867,2013,"D1","B31","Bajra",0.00866104585007846
"33",868,2013,"D1","B32","Bajra",0.103923197019677
"34",869,2013,"D17","B33","Bajra",-0.222689892704661
"35",870,2013,"D17","B34","Bajra",0.0846439521401155
"36",871,2013,"D17","B35","Bajra",-0.98818932174608
"37",872,2013,"D17","B36","Bajra",-0.112684789568339
"38",873,2013,"D17","B37","Bajra",0.362491893051445
"39",874,2013,"D6","B38","Bajra",0.76622196229403
"40",875,2013,"D6","B39","Bajra",-0.114952936024758
"41",876,2013,"D6","B40","Bajra",0.621060589083213
"42",877,2013,"D6","B41","Bajra",0.44414516548253
"43",878,2013,"D6","B42","Bajra",0.415793334777292
"44",879,2013,"D19","B43","Bajra",0.996438827620561
"45",880,2013,"D19","B44","Bajra",0.660753152070546
"46",881,2013,"D19","B45","Bajra",1.34913560159372
"47",882,2013,"D19","B46","Bajra",0.641473907190984
"48",883,2013,"D19","B47","Bajra",0.721993106393859
"49",884,2013,"D19","B48","Bajra",0.398782236354149
"50",885,2013,"D19","B49","Bajra",0.9057129693638
"51",886,2013,"D5","B50","Bajra",0.652814639473079
"52",887,2013,"D5","B51","Bajra",0.646010200103822
"53",888,2013,"D5","B52","Bajra",0.347748941084722
"54",889,2013,"D5","B53","Bajra",1.02592473155401
"55",890,2013,"D12","B54","Bajra",0.821791550476296
"56",891,2013,"D12","B55","Bajra",1.41604592205808
"57",892,2013,"D12","B56","Bajra",0.297849719043503
"58",893,2013,"D12","B57","Bajra",0.241146057633028
"59",894,2013,"D12","B58","Bajra",0.584770245780509
"60",895,2013,"D12","B59","Bajra",-1.69131472323598
"61",896,2013,"D3","B60","Bajra",0.310324524553808
"62",897,2013,"D3","B61","Bajra",0.411257041864454
"63",898,2013,"D13","B62","Bajra",0.652814639473079
"64",899,2013,"D13","B63","Bajra",0.286508986761408
"65",900,2013,"D13","B64","Bajra",1.06788544099776
"66",901,2013,"D13","B65","Bajra",0.85921596700721
"67",902,2013,"D15","B66","Bajra",-1.69131472323598
"68",903,2013,"D15","B67","Bajra",0.641473907190984
"69",904,2013,"D15","B68","Bajra",-1.69131472323598
"70",905,2013,"D15","B69","Bajra",0.641473907190984
"71",906,2013,"D15","B70","Bajra",0.641473907190984
"72",907,2013,"D9","B71","Bajra",-1.69131472323598
"73",908,2013,"D9","B72","Bajra",0.641473907190984
"74",909,2013,"D9","B73","Bajra",-1.69131472323598
"75",910,2013,"D9","B74","Bajra",0.641473907190984
"76",911,2013,"D9","B75","Bajra",0.641473907190984
"77",912,2013,"D9","B76","Bajra",-1.69131472323598
"78",913,2013,"D10","B77","Bajra",-1.69131472323598
"79",914,2013,"D10","B78","Bajra",-1.69131472323598
"80",915,2013,"D10","B79","Bajra",0.641473907190984
"81",916,2013,"D10","B80","Bajra",-1.69131472323598
"82",917,2013,"D10","B81","Bajra",-1.69131472323598
"83",918,2013,"D8","B82","Bajra",1.1087120772133
"84",919,2013,"D8","B83","Bajra",1.08943283233374
"85",920,2013,"D8","B84","Bajra",1.37975557875537
"86",921,2013,"D8","B85","Bajra",0.843338941812277
"87",922,2013,"D8","B86","Bajra",-1.69131472323598
"88",923,2013,"D8","B87","Bajra",-1.69131472323598
"89",924,2013,"D8","B82","Bajra",-1.69131472323598
"90",925,2013,"D21","B88","Bajra",-1.69131472323598
"91",926,2013,"D21","B89","Bajra",-1.69131472323598
"92",927,2013,"D21","B90","Bajra",-1.69131472323598
"93",928,2013,"D21","B91","Bajra",-1.69131472323598
"94",929,2013,"D21","B92","Bajra",0.641473907190984
"95",930,2013,"D21","B93","Bajra",0.641473907190984
"96",931,2013,"D14","B94","Bajra",-1.69131472323598
"97",932,2013,"D14","B6","Bajra",0.641473907190984
"98",933,2013,"D14","B95","Bajra",0.641473907190984
"99",934,2013,"D14","B96","Bajra",-1.69131472323598
"100",935,2013,"D20","B97","Bajra",-1.69131472323598
"101",936,2013,"D20","B98","Bajra",0.641473907190984
"102",937,2013,"D20","B99","Bajra",-1.69131472323598
"103",938,2013,"D20","B100","Bajra",0.641473907190984
"104",939,2013,"D20","B101","Bajra",0.641473907190984
"105",940,2013,"D20","B102","Bajra",-1.69131472323598
"106",941,2013,"D7","B103","Bajra",0.689104982775784
"107",942,2013,"D7","B104","Bajra",1.01571807250012
"108",943,2013,"D7","B105","Bajra",0.750344937099097
"109",944,2013,"D7","B106","Bajra",0.598379124519023
"110",945,2013,"D7","B107","Bajra",0.0154654852193355
"111",946,2013,"D7","B108","Bajra",1.08716468587732
"112",947,2013,"D7","B109","Bajra",1.75853603697735
"113",948,2013,"D11","B110","Bajra",1.36274448033223
"114",949,2013,"D11","B111","Bajra",0.533736950511081
"115",950,2013,"D11","B112","Bajra",1.42965480079659
"116",951,2013,"D11","B113","Bajra",1.02138843864117
"117",952,2013,"D11","B114","Bajra",1.1087120772133
"118",953,2013,"D16","B115","Bajra",0.783233060717173
"119",954,2013,"D16","B116","Bajra",0.92839443392799
"120",955,2013,"D16","B117","Bajra",1.39223038426568
"121",956,2013,"D16","B118","Bajra",0.978293655969208
"122",957,2013,"D16","B119","Bajra",0.689104982775784
"123",1800,2014,"D22","B1","Bajra",-0.0174226383987402
"124",1801,2014,"D22","B120","Bajra",0.151554272604477
"125",1802,2014,"D22","B3","Bajra",0.187844615907181
"126",1803,2014,"D22","B4","Bajra",0.684568689862946
"127",1804,2014,"D22","B5","Bajra",-0.603738497383056
"128",1805,2014,"D22","B6","Bajra",0.609719856801118
"129",1806,2014,"D22","B7","Bajra",0.44414516548253
"130",1807,2014,"D22","B8","Bajra",0.245682350545866
"131",1808,2014,"D22","B9","Bajra",-0.395069023392507
"132",1809,2014,"D4","B10","Bajra",1.2516053039677
"133",1810,2014,"D4","B11","Bajra",0.655082785929498
"134",1811,2014,"D4","B12","Bajra",0.590440611921556
"135",1812,2014,"D4","B13","Bajra",0.221866812753466
"136",1813,2014,"D4","B14","Bajra",1.71430718107718
"137",1814,2014,"D4","B15","Bajra",-1.69131472323598
"138",1815,2014,"D18","B16","Bajra",0.0574261946630873
"139",1816,2014,"D18","B17","Bajra",0.0642306340323444
"140",1817,2014,"D18","B18","Bajra",-1.69131472323598
"141",1818,2014,"D18","B19","Bajra",-0.198874354912262
"142",1819,2014,"D18","B20","Bajra",0.333005989117998
"143",1820,2014,"D18","B21","Bajra",0.676630177265479
"144",1821,2014,"D18","B22","Bajra",-1.69131472323598
"145",1822,2014,"D1","B23","Bajra",0.331871915889788
"146",1823,2014,"D1","B24","Bajra",0.209392007243162
"147",1824,2014,"D1","B25","Bajra",-0.66497845170637
