"","Year","District","Block","Crop","Yield"
"836",2013,"D22","B1","Bajra",1517
"837",2013,"D22","B120","Bajra",1588
"838",2013,"D22","B3","Bajra",2212
"839",2013,"D22","B4","Bajra",1931
"840",2013,"D22","B5","Bajra",2471
"841",2013,"D22","B6","Bajra",2247
"842",2013,"D22","B7","Bajra",1942
"843",2013,"D22","B8","Bajra",2257
"844",2013,"D22","B9","Bajra",1564
"845",2013,"D4","B10","Bajra",2233
"846",2013,"D4","B11","Bajra",2101
"847",2013,"D4","B12","Bajra",1572
"848",2013,"D4","B13","Bajra",2064
"849",2013,"D4","B14","Bajra",1703
"851",2013,"D18","B16","Bajra",1749
"852",2013,"D18","B17","Bajra",1482
"854",2013,"D18","B19","Bajra",2003
"855",2013,"D18","B20","Bajra",1992
"856",2013,"D18","B21","Bajra",1680
"859",2013,"D1","B23","Bajra",1541
"860",2013,"D1","B24","Bajra",1524
"861",2013,"D1","B25","Bajra",1271
"862",2013,"D1","B26","Bajra",2087
"863",2013,"D1","B27","Bajra",2027
"864",2013,"D1","B28","Bajra",1954
"865",2013,"D1","B29","Bajra",1217
"866",2013,"D1","B30","Bajra",1592
"867",2013,"D1","B31","Bajra",1499
"868",2013,"D1","B32","Bajra",1583
"869",2013,"D17","B33","Bajra",1295
"870",2013,"D17","B34","Bajra",1566
"871",2013,"D17","B35","Bajra",620
"872",2013,"D17","B36","Bajra",1392
"873",2013,"D17","B37","Bajra",1811
"874",2013,"D6","B38","Bajra",2167
"875",2013,"D6","B39","Bajra",1390
"876",2013,"D6","B40","Bajra",2039
"877",2013,"D6","B41","Bajra",1883
"878",2013,"D6","B42","Bajra",1858
"879",2013,"D19","B43","Bajra",2370
"880",2013,"D19","B44","Bajra",2074
"881",2013,"D19","B45","Bajra",2681
"882",2013,"D19","B46","Bajra",2057
"883",2013,"D19","B47","Bajra",2128
"884",2013,"D19","B48","Bajra",1843
"885",2013,"D19","B49","Bajra",2290
"886",2013,"D5","B50","Bajra",2067
"887",2013,"D5","B51","Bajra",2061
"888",2013,"D5","B52","Bajra",1798
"889",2013,"D5","B53","Bajra",2396
"890",2013,"D12","B54","Bajra",2216
"891",2013,"D12","B55","Bajra",2740
"892",2013,"D12","B56","Bajra",1754
"893",2013,"D12","B57","Bajra",1704
"894",2013,"D12","B58","Bajra",2007
"896",2013,"D3","B60","Bajra",1765
"897",2013,"D3","B61","Bajra",1854
"898",2013,"D13","B62","Bajra",2067
"899",2013,"D13","B63","Bajra",1744
"900",2013,"D13","B64","Bajra",2433
"901",2013,"D13","B65","Bajra",2249
"903",2013,"D15","B67","Bajra",2057
"905",2013,"D15","B69","Bajra",2057
"906",2013,"D15","B70","Bajra",2057
"908",2013,"D9","B72","Bajra",2057
"910",2013,"D9","B74","Bajra",2057
"911",2013,"D9","B75","Bajra",2057
"915",2013,"D10","B79","Bajra",2057
"918",2013,"D8","B82","Bajra",2469
"919",2013,"D8","B83","Bajra",2452
"920",2013,"D8","B84","Bajra",2708
"921",2013,"D8","B85","Bajra",2235
"929",2013,"D21","B92","Bajra",2057
"930",2013,"D21","B93","Bajra",2057
"932",2013,"D14","B6","Bajra",2057
"933",2013,"D14","B95","Bajra",2057
"936",2013,"D20","B98","Bajra",2057
"938",2013,"D20","B100","Bajra",2057
"939",2013,"D20","B101","Bajra",2057
"941",2013,"D7","B103","Bajra",2099
"942",2013,"D7","B104","Bajra",2387
"943",2013,"D7","B105","Bajra",2153
"944",2013,"D7","B106","Bajra",2019
"945",2013,"D7","B107","Bajra",1505
"946",2013,"D7","B108","Bajra",2450
"947",2013,"D7","B109","Bajra",3042
"948",2013,"D11","B110","Bajra",2693
"949",2013,"D11","B111","Bajra",1962
"950",2013,"D11","B112","Bajra",2752
"951",2013,"D11","B113","Bajra",2392
"952",2013,"D11","B114","Bajra",2469
"953",2013,"D16","B115","Bajra",2182
"954",2013,"D16","B116","Bajra",2310
"955",2013,"D16","B117","Bajra",2719
"956",2013,"D16","B118","Bajra",2354
"957",2013,"D16","B119","Bajra",2099
"1800",2014,"D22","B1","Bajra",1476
"1801",2014,"D22","B120","Bajra",1625
"1802",2014,"D22","B3","Bajra",1657
"1803",2014,"D22","B4","Bajra",2095
"1804",2014,"D22","B5","Bajra",959
"1805",2014,"D22","B6","Bajra",2029
"1806",2014,"D22","B7","Bajra",1883
"1807",2014,"D22","B8","Bajra",1708
"1808",2014,"D22","B9","Bajra",1143
"1809",2014,"D4","B10","Bajra",2595
"1810",2014,"D4","B11","Bajra",2069
"1811",2014,"D4","B12","Bajra",2012
"1812",2014,"D4","B13","Bajra",1687
"1813",2014,"D4","B14","Bajra",3003
"1815",2014,"D18","B16","Bajra",1542
"1816",2014,"D18","B17","Bajra",1548
"1818",2014,"D18","B19","Bajra",1316
"1819",2014,"D18","B20","Bajra",1785
"1820",2014,"D18","B21","Bajra",2088
"1822",2014,"D1","B23","Bajra",1784
"1823",2014,"D1","B24","Bajra",1676
"1824",2014,"D1","B25","Bajra",905
"1825",2014,"D1","B26","Bajra",1879
"1826",2014,"D1","B27","Bajra",1416
"1827",2014,"D1","B28","Bajra",1707
"1828",2014,"D1","B29","Bajra",1009
"1829",2014,"D1","B30","Bajra",705
"1830",2014,"D1","B31","Bajra",1362
"1831",2014,"D1","B32","Bajra",1464
"1832",2014,"D17","B33","Bajra",1331
"1833",2014,"D17","B34","Bajra",2080
"1834",2014,"D17","B35","Bajra",1708
"1835",2014,"D17","B36","Bajra",1785
"1836",2014,"D17","B37","Bajra",1796
"1837",2014,"D6","B38","Bajra",1603
"1838",2014,"D6","B39","Bajra",1174
"1839",2014,"D6","B40","Bajra",2084
"1840",2014,"D6","B41","Bajra",1716
"1841",2014,"D6","B42","Bajra",2133
"1842",2014,"D19","B43","Bajra",1943
"1843",2014,"D19","B44","Bajra",2106
"1844",2014,"D19","B45","Bajra",2192
"1845",2014,"D19","B46","Bajra",1870
"1846",2014,"D19","B47","Bajra",2293
