"","Year","District","Block","Crop","Yield"
"241",2012,"D22","B1","Barley",2817
"242",2012,"D22","B2","Barley",1152
"243",2012,"D22","B3","Barley",3324
"244",2012,"D22","B4","Barley",2019
"245",2012,"D22","B5","Barley",1111
"246",2012,"D22","B6","Barley",2235
"247",2012,"D22","B7","Barley",3312
"248",2012,"D22","B8","Barley",1922
"249",2012,"D22","B9","Barley",1573
"250",2012,"D4","B10","Barley",3971
"251",2012,"D4","B11","Barley",2612
"252",2012,"D4","B12","Barley",2704
"253",2012,"D4","B13","Barley",3817
"254",2012,"D4","B14","Barley",3971
"256",2012,"D18","B16","Barley",3810
"257",2012,"D18","B17","Barley",2647
"258",2012,"D18","B18","Barley",4199
"259",2012,"D18","B19","Barley",3947
"260",2012,"D18","B20","Barley",3540
"261",2012,"D18","B21","Barley",3871
"262",2012,"D18","B22","Barley",4393
"263",2012,"D1","B23","Barley",3273
"264",2012,"D1","B24","Barley",3686
"265",2012,"D1","B25","Barley",2800
"266",2012,"D1","B26","Barley",3495
"267",2012,"D1","B27","Barley",3200
"268",2012,"D1","B28","Barley",2923
"269",2012,"D1","B29","Barley",3647
"270",2012,"D1","B30","Barley",2852
"271",2012,"D1","B31","Barley",3244
"272",2012,"D1","B32","Barley",3517
"273",2012,"D17","B33","Barley",2684
"274",2012,"D17","B34","Barley",2144
"275",2012,"D17","B35","Barley",2684
"276",2012,"D17","B36","Barley",2099
"277",2012,"D17","B37","Barley",3155
"278",2012,"D6","B38","Barley",3699
"279",2012,"D6","B39","Barley",1924
"280",2012,"D6","B40","Barley",3755
"281",2012,"D6","B41","Barley",4603
"282",2012,"D6","B42","Barley",3585
"283",2012,"D19","B43","Barley",3849
"285",2012,"D19","B45","Barley",3402
"286",2012,"D19","B46","Barley",3122
"288",2012,"D19","B48","Barley",3479
"290",2012,"D5","B50","Barley",4667
"291",2012,"D5","B51","Barley",5143
"292",2012,"D5","B52","Barley",4667
"293",2012,"D5","B53","Barley",4430
"294",2012,"D12","B54","Barley",4237
"295",2012,"D12","B55","Barley",2935
"296",2012,"D12","B56","Barley",3350
