"","X","Year","District","Block","Crop","Yield"
"1",1202,2013,"D22","B1","Cotton",-0.0343667781986097
"2",1203,2013,"D22","B120","Cotton",0.430020141809503
"3",1204,2013,"D22","B3","Cotton",0.670220272848182
"4",1205,2013,"D22","B4","Cotton",0.333940089394031
"5",1206,2013,"D22","B5","Cotton",0.962463765611907
"6",1207,2013,"D22","B6","Cotton",1.05454048251007
"7",1208,2013,"D22","B7","Cotton",0.954457094577285
"8",1209,2013,"D22","B8","Cotton",0.718260299055917
"9",1210,2013,"D22","B9","Cotton",1.05454048251007
"10",1211,2013,"D4","B10","Cotton",2.13143773666681
"11",1212,2013,"D4","B11","Cotton",1.68306415872794
"12",1213,2013,"D4","B12","Cotton",1.19465722561596
"13",1214,2013,"D4","B13","Cotton",1.80716755976459
"14",1215,2013,"D4","B14","Cotton",2.01133767114747
"15",1216,2013,"D4","B15","Cotton",1.70708417183181
"16",1217,2013,"D18","B16","Cotton",1.79515755321266
"17",1218,2013,"D18","B17","Cotton",1.55495742217398
"18",1219,2013,"D18","B18","Cotton",1.39482400148153
"19",1220,2013,"D18","B19","Cotton",1.39482400148153
"20",1221,2013,"D18","B20","Cotton",1.43485735665464
"21",1222,2013,"D18","B21","Cotton",1.3147572911353
"22",1223,2013,"D18","B22","Cotton",1.41083734355077
"23",1224,2013,"D18","B16","Cotton",-1.31943747925554
"24",1225,2013,"D1","B23","Cotton",1.39482400148153
"25",1226,2013,"D1","B24","Cotton",1.17464054802941
"26",1227,2013,"D1","B25","Cotton",0.317926747324786
"27",1228,2013,"D1","B26","Cotton",1.00650045630233
"28",1229,2013,"D1","B27","Cotton",0.42201347077488
"29",1230,2013,"D1","B28","Cotton",0.72626697009054
"30",1231,2013,"D1","B29","Cotton",-0.0543834557851662
"31",1232,2013,"D1","B30","Cotton",1.16263054147747
"32",1233,2013,"D1","B31","Cotton",0.674223608365493
"33",1234,2013,"D1","B32","Cotton",1.04653381147544
"34",1235,2013,"D17","B33","Cotton",0.373973444567144
"35",1236,2013,"D17","B34","Cotton",-0.110430153027525
"36",1237,2013,"D17","B35","Cotton",0.0937399583553524
"37",1238,2013,"D17","B36","Cotton",0.0456999321476166
"38",1239,2013,"D17","B37","Cotton",0.149786655597711
"39",1240,2013,"D6","B38","Cotton",0.426016806292191
"40",1241,2013,"D6","B39","Cotton",0.426016806292191
"41",1242,2013,"D6","B40","Cotton",0.426016806292191
"42",1243,2013,"D6","B41","Cotton",0.426016806292191
"43",1244,2013,"D6","B42","Cotton",0.426016806292191
"44",1245,2013,"D19","B43","Cotton",1.01450712733695
"45",1246,2013,"D19","B44","Cotton",1.01450712733695
"46",1247,2013,"D19","B45","Cotton",1.01450712733695
"47",1248,2013,"D19","B46","Cotton",0.32993675387672
"48",1249,2013,"D19","B47","Cotton",1.2426972518237
"49",1250,2013,"D19","B48","Cotton",1.31876062665261
"50",1251,2013,"D19","B49","Cotton",1.01450712733695
"51",1252,2013,"D5","B50","Cotton",-1.31943747925554
"52",1253,2013,"D5","B51","Cotton",-1.31943747925554
"53",1254,2013,"D5","B52","Cotton",-1.31943747925554
"54",1255,2013,"D5","B53","Cotton",1.11459051526974
"55",1256,2013,"D12","B54","Cotton",1.11459051526974
"56",1257,2013,"D12","B55","Cotton",-1.31943747925554
"57",1258,2013,"D12","B56","Cotton",-1.31943747925554
"58",1259,2013,"D12","B57","Cotton",-1.31943747925554
"59",1260,2013,"D12","B58","Cotton",-1.31943747925554
"60",1261,2013,"D12","B59","Cotton",-1.31943747925554
"61",1262,2013,"D3","B60","Cotton",-1.31943747925554
"62",1263,2013,"D3","B61","Cotton",1.11459051526974
"63",1264,2013,"D13","B62","Cotton",1.11459051526974
"64",1265,2013,"D13","B63","Cotton",1.11459051526974
"65",1266,2013,"D13","B64","Cotton",1.11459051526974
