"","Year","District","Block","Crop","Yield"
"1202",2013,"D22","B1","Cotton",321
"1203",2013,"D22","B120","Cotton",437
"1204",2013,"D22","B3","Cotton",497
"1205",2013,"D22","B4","Cotton",413
"1206",2013,"D22","B5","Cotton",570
"1207",2013,"D22","B6","Cotton",593
"1208",2013,"D22","B7","Cotton",568
"1209",2013,"D22","B8","Cotton",509
"1210",2013,"D22","B9","Cotton",593
"1211",2013,"D4","B10","Cotton",862
"1212",2013,"D4","B11","Cotton",750
"1213",2013,"D4","B12","Cotton",628
"1214",2013,"D4","B13","Cotton",781
"1215",2013,"D4","B14","Cotton",832
"1216",2013,"D4","B15","Cotton",756
"1217",2013,"D18","B16","Cotton",778
"1218",2013,"D18","B17","Cotton",718
"1219",2013,"D18","B18","Cotton",678
"1220",2013,"D18","B19","Cotton",678
"1221",2013,"D18","B20","Cotton",688
"1222",2013,"D18","B21","Cotton",658
"1223",2013,"D18","B22","Cotton",682
"1225",2013,"D1","B23","Cotton",678
"1226",2013,"D1","B24","Cotton",623
"1227",2013,"D1","B25","Cotton",409
"1228",2013,"D1","B26","Cotton",581
"1229",2013,"D1","B27","Cotton",435
"1230",2013,"D1","B28","Cotton",511
"1231",2013,"D1","B29","Cotton",316
"1232",2013,"D1","B30","Cotton",620
"1233",2013,"D1","B31","Cotton",498
"1234",2013,"D1","B32","Cotton",591
"1235",2013,"D17","B33","Cotton",423
"1236",2013,"D17","B34","Cotton",302
"1237",2013,"D17","B35","Cotton",353
"1238",2013,"D17","B36","Cotton",341
"1239",2013,"D17","B37","Cotton",367
"1240",2013,"D6","B38","Cotton",436
"1241",2013,"D6","B39","Cotton",436
"1242",2013,"D6","B40","Cotton",436
"1243",2013,"D6","B41","Cotton",436
"1244",2013,"D6","B42","Cotton",436
"1245",2013,"D19","B43","Cotton",583
"1246",2013,"D19","B44","Cotton",583
"1247",2013,"D19","B45","Cotton",583
"1248",2013,"D19","B46","Cotton",412
"1249",2013,"D19","B47","Cotton",640
"1250",2013,"D19","B48","Cotton",659
"1251",2013,"D19","B49","Cotton",583
"1255",2013,"D5","B53","Cotton",608
"1256",2013,"D12","B54","Cotton",608
"1263",2013,"D3","B61","Cotton",608
"1264",2013,"D13","B62","Cotton",608
"1265",2013,"D13","B63","Cotton",608
"1266",2013,"D13","B64","Cotton",608
