"","Year","District","Block","Crop","Yield"
"121",2012,"D22","B1","Gram",1115
"124",2012,"D22","B4","Gram",1184
"125",2012,"D22","B5","Gram",715
"126",2012,"D22","B6","Gram",903
"127",2012,"D22","B7","Gram",982
"128",2012,"D22","B8","Gram",762
"129",2012,"D22","B9","Gram",721
"130",2012,"D4","B10","Gram",1087
"131",2012,"D4","B11","Gram",1439
"132",2012,"D4","B12","Gram",8510
"133",2012,"D4","B13","Gram",962
"136",2012,"D18","B16","Gram",1509
"137",2012,"D18","B17","Gram",1209
"139",2012,"D18","B19","Gram",827
"140",2012,"D18","B20","Gram",1123
"141",2012,"D18","B21","Gram",1027
"142",2012,"D18","B22","Gram",993
"143",2012,"D1","B23","Gram",1580
"144",2012,"D1","B24","Gram",1081
"145",2012,"D1","B25","Gram",1116
"146",2012,"D1","B26","Gram",1210
"147",2012,"D1","B27","Gram",945
"148",2012,"D1","B28","Gram",1105
"149",2012,"D1","B29","Gram",1475
"150",2012,"D1","B30","Gram",803
"151",2012,"D1","B31","Gram",799
"152",2012,"D1","B32","Gram",1164
"156",2012,"D17","B36","Gram",907
"157",2012,"D17","B37","Gram",1110
"158",2012,"D6","B38","Gram",650
"159",2012,"D6","B39","Gram",1294
"162",2012,"D6","B42","Gram",1108
"176",2012,"D12","B56","Gram",1128
"177",2012,"D12","B57","Gram",1138
"195",2012,"D9","B75","Gram",1128
"199",2012,"D10","B79","Gram",1128
"203",2012,"D8","B83","Gram",1128
"216",2012,"D14","B95","Gram",1128
"217",2012,"D14","B96","Gram",1128
"219",2012,"D20","B98","Gram",1128
"225",2012,"D7","B104","Gram",825
"231",2012,"D11","B110","Gram",974
"232",2012,"D11","B111","Gram",1063
"233",2012,"D11","B112","Gram",1629
"234",2012,"D11","B113","Gram",1251
"235",2012,"D11","B114","Gram",1469
"483",2013,"D22","B1","Gram",940
"486",2013,"D22","B4","Gram",567
"487",2013,"D22","B5","Gram",545
"488",2013,"D22","B6","Gram",770
"490",2013,"D22","B8","Gram",493
"491",2013,"D22","B9","Gram",805
"493",2013,"D4","B11","Gram",2082
"494",2013,"D4","B12","Gram",1168
"495",2013,"D4","B13","Gram",1824
"498",2013,"D18","B16","Gram",921
"499",2013,"D18","B17","Gram",1222
"501",2013,"D18","B19","Gram",1325
"502",2013,"D18","B20","Gram",1464
"503",2013,"D18","B21","Gram",936
"504",2013,"D18","B22","Gram",1180
"506",2013,"D1","B23","Gram",992
"507",2013,"D1","B24","Gram",653
"508",2013,"D1","B25","Gram",964
"509",2013,"D1","B26","Gram",583
"510",2013,"D1","B27","Gram",1028
"511",2013,"D1","B28","Gram",1356
"512",2013,"D1","B29","Gram",1166
"513",2013,"D1","B30","Gram",382
"514",2013,"D1","B31","Gram",367
"515",2013,"D1","B32","Gram",941
"519",2013,"D17","B36","Gram",650
"520",2013,"D17","B37","Gram",936
"521",2013,"D6","B38","Gram",955
"522",2013,"D6","B39","Gram",857
"524",2013,"D6","B41","Gram",1700
"525",2013,"D6","B42","Gram",385
"537",2013,"D12","B54","Gram",1246
"540",2013,"D12","B57","Gram",1643
"558",2013,"D9","B75","Gram",903
"569",2013,"D8","B86","Gram",903
"580",2013,"D14","B95","Gram",903
"581",2013,"D14","B96","Gram",903
"583",2013,"D20","B98","Gram",903
"589",2013,"D7","B104","Gram",570
"595",2013,"D11","B110","Gram",1199
"596",2013,"D11","B111","Gram",864
"597",2013,"D11","B112","Gram",1767
"598",2013,"D11","B113","Gram",577
"599",2013,"D11","B114","Gram",1058
"1443",2014,"D22","B1","Gram",675
"1446",2014,"D22","B4","Gram",711
"1447",2014,"D22","B5","Gram",540
"1448",2014,"D22","B6","Gram",688
"1450",2014,"D22","B8","Gram",449
"1451",2014,"D22","B9","Gram",578
"1452",2014,"D4","B10","Gram",1298
"1453",2014,"D4","B11","Gram",1713
"1454",2014,"D4","B12","Gram",888
"1455",2014,"D4","B13","Gram",1293
"1458",2014,"D18","B16","Gram",1129
"1459",2014,"D18","B17","Gram",961
"1461",2014,"D18","B19","Gram",882
"1462",2014,"D18","B20","Gram",1002
"1463",2014,"D18","B21","Gram",936
"1464",2014,"D18","B22","Gram",764
"1465",2014,"D1","B23","Gram",682
"1466",2014,"D1","B24","Gram",571
"1467",2014,"D1","B25","Gram",557
"1468",2014,"D1","B26","Gram",780
"1469",2014,"D1","B27","Gram",775
"1470",2014,"D1","B28","Gram",945
"1471",2014,"D1","B29","Gram",861
"1472",2014,"D1","B30","Gram",165
"1473",2014,"D1","B31","Gram",464
"1474",2014,"D1","B32","Gram",528
"1477",2014,"D17","B35","Gram",958
"1478",2014,"D17","B36","Gram",349
"1479",2014,"D17","B37","Gram",856
"1480",2014,"D6","B38","Gram",955
"1481",2014,"D6","B39","Gram",1053
"1483",2014,"D6","B41","Gram",1318
"1484",2014,"D6","B42","Gram",401
"1496",2014,"D12","B54","Gram",984
"1499",2014,"D12","B57","Gram",669
"1516",2014,"D9","B75","Gram",646
"1527",2014,"D8","B86","Gram",646
"1537",2014,"D14","B95","Gram",646
"1538",2014,"D14","B96","Gram",646
"1542",2014,"D20","B100","Gram",646
"1546",2014,"D7","B104","Gram",643
"1552",2014,"D11","B110","Gram",373
"1553",2014,"D11","B111","Gram",663
"1554",2014,"D11","B112","Gram",702
"1555",2014,"D11","B113","Gram",582
"1556",2014,"D11","B114","Gram",305
"2398",2015,"D22","B1","Gram",636
"2400",2015,"D22","B3","Gram",695
"2401",2015,"D22","B4","Gram",645
"2402",2015,"D22","B5","Gram",636
"2403",2015,"D22","B6","Gram",707
"2404",2015,"D22","B7","Gram",707
"2406",2015,"D22","B9","Gram",695
"2409",2015,"D4","B12","Gram",711
"2414",2015,"D18","B17","Gram",934
"2416",2015,"D18","B19","Gram",884
"2417",2015,"D18","B20","Gram",1226
"2418",2015,"D18","B21","Gram",766
"2420",2015,"D1","B23","Gram",447
"2421",2015,"D1","B24","Gram",415
"2422",2015,"D1","B25","Gram",576
"2423",2015,"D1","B26","Gram",639
"2424",2015,"D1","B27","Gram",551
"2425",2015,"D1","B28","Gram",839
"2426",2015,"D1","B29","Gram",1151
"2427",2015,"D1","B30","Gram",74
"2428",2015,"D1","B31","Gram",465
"2429",2015,"D1","B32","Gram",424
"2433",2015,"D17","B36","Gram",931
"2434",2015,"D17","B37","Gram",561
"2436",2015,"D6","B39","Gram",619
"2454",2015,"D12","B57","Gram",619
"2492",2015,"D14","B95","Gram",619
"2510",2015,"D11","B111","Gram",1163
"2511",2015,"D11","B123","Gram",656
"2513",2015,"D11","B113","Gram",529
"2514",2015,"D11","B114","Gram",347
"3366",2016,"D22","B1","Gram",1062
"3367",2016,"D22","B120","Gram",1294
"3368",2016,"D22","B3","Gram",1647
"3369",2016,"D22","B4","Gram",1355
"3370",2016,"D22","B5","Gram",1123
"3371",2016,"D22","B6","Gram",1213
"3372",2016,"D22","B7","Gram",1364
"3373",2016,"D22","B8","Gram",1055
"3374",2016,"D22","B9","Gram",1706
"3375",2016,"D4","B10","Gram",2017
"3376",2016,"D4","B11","Gram",1782
"3377",2016,"D4","B12","Gram",1552
"3378",2016,"D4","B13","Gram",1824
"3379",2016,"D4","B14","Gram",1671
"3380",2016,"D4","B15","Gram",1667
"3381",2016,"D18","B16","Gram",1658
"3382",2016,"D18","B17","Gram",1307
"3383",2016,"D18","B18","Gram",1469
"3384",2016,"D18","B19","Gram",1410
"3385",2016,"D18","B20","Gram",1501
"3386",2016,"D18","B21","Gram",1134
"3387",2016,"D18","B22","Gram",1156
"3388",2016,"D1","B23","Gram",1219
"3389",2016,"D1","B24","Gram",837
"3390",2016,"D1","B25","Gram",465
"3391",2016,"D1","B26","Gram",1236
"3392",2016,"D1","B27","Gram",1350
"3393",2016,"D1","B28","Gram",1323
"3394",2016,"D1","B29","Gram",1413
"3395",2016,"D1","B30","Gram",481
"3396",2016,"D1","B31","Gram",713
"3397",2016,"D1","B32","Gram",1034
"3399",2016,"D17","B34","Gram",1292
"3400",2016,"D17","B35","Gram",1482
"3401",2016,"D17","B36","Gram",2185
"3402",2016,"D17","B37","Gram",1300
"3403",2016,"D6","B38","Gram",1090
"3404",2016,"D6","B39","Gram",2858
"3406",2016,"D6","B41","Gram",1240
"3407",2016,"D6","B42","Gram",1621
"3410",2016,"D19","B45","Gram",1984
"3420",2016,"D12","B55","Gram",1857
"3421",2016,"D12","B56","Gram",1136
"3422",2016,"D12","B57","Gram",1386
"3430",2016,"D15","B66","Gram",2405
"3432",2016,"D15","B68","Gram",1924
"3446",2016,"D8","B82","Gram",1011
"3447",2016,"D8","B83","Gram",1640
"3449",2016,"D8","B85","Gram",1346
"3450",2016,"D8","B86","Gram",2358
"3461",2016,"D14","B96","Gram",662
"3463",2016,"D20","B98","Gram",1760
"3465",2016,"D20","B100","Gram",1383
"3466",2016,"D20","B101","Gram",1267
