"","X","Year","District","Block","Crop","Yield"
"1",971,2013,"Hisar","Hansi I","Maize",-0.528826495540645
"2",972,2013,"Hisar","Hansi-II","Maize",-0.528826495540645
"3",973,2013,"Hisar","Narnaund","Maize",-0.528826495540645
"4",974,2013,"Hisar","Hisar I","Maize",-0.528826495540645
"5",975,2013,"Hisar","Hisar II","Maize",-0.528826495540645
"6",976,2013,"Hisar","Barwala","Maize",-0.528826495540645
"7",977,2013,"Hisar","Uklana","Maize",-0.528826495540645
"8",978,2013,"Hisar","Agroha","Maize",-0.528826495540645
"9",979,2013,"Hisar","Adampur","Maize",-0.528826495540645
"10",980,2013,"Fatehabad","Ratia","Maize",-0.528826495540645
"11",981,2013,"Fatehabad","Fatehabad","Maize",-0.528826495540645
"12",982,2013,"Fatehabad","Bhattukalan","Maize",-0.528826495540645
"13",983,2013,"Fatehabad","Bhuna","Maize",-0.528826495540645
"14",984,2013,"Fatehabad","Tohana","Maize",-0.528826495540645
"15",985,2013,"Fatehabad","Jakhal","Maize",-0.528826495540645
"16",986,2013,"Sirsa","Sirsa","Maize",-0.528826495540645
"17",987,2013,"Sirsa","Nathusari","Maize",-0.528826495540645
"18",988,2013,"Sirsa","Baragudha","Maize",-0.528826495540645
"19",989,2013,"Sirsa","Rania","Maize",-0.528826495540645
"20",990,2013,"Sirsa","Ellenabad","Maize",-0.528826495540645
"21",991,2013,"Sirsa","Dabwali","Maize",-0.528826495540645
"22",992,2013,"Sirsa","Odhan","Maize",-0.528826495540645
"23",993,2013,"Sirsa","Sirsa","Maize",-0.528826495540645
"24",994,2013,"Bhiwani","Loharu","Maize",-0.528826495540645
"25",995,2013,"Bhiwani","Bhiwani","Maize",1.75579591535878
"26",996,2013,"Bhiwani","Tosham","Maize",-0.528826495540645
"27",997,2013,"Bhiwani","Bawani Khera","Maize",-0.528826495540645
"28",998,2013,"Bhiwani","Dadri-I","Maize",-0.528826495540645
"29",999,2013,"Bhiwani","Dadri-II","Maize",-0.528826495540645
"30",1000,2013,"Bhiwani","Badhra","Maize",-0.528826495540645
"31",1001,2013,"Bhiwani","Siwani","Maize",-0.528826495540645
"32",1002,2013,"Bhiwani","Kairu","Maize",-0.528826495540645
"33",1003,2013,"Bhiwani","Behal","Maize",-0.528826495540645
"34",1004,2013,"Rohtak","Lakhan Majra","Maize",1.75579591535878
"35",1005,2013,"Rohtak","Rohtak","Maize",1.75579591535878
"36",1006,2013,"Rohtak","Sampla","Maize",1.75579591535878
"37",1007,2013,"Rohtak","Meham","Maize",1.75579591535878
"38",1008,2013,"Rohtak","Kalanaur","Maize",-0.528826495540645
"39",1009,2013,"Jhajjar","Jhajjar","Maize",1.75579591535878
"40",1010,2013,"Jhajjar","Beri","Maize",-0.528826495540645
"41",1011,2013,"Jhajjar","Salhawas","Maize",-0.528826495540645
"42",1012,2013,"Jhajjar","Matanhail","Maize",-0.528826495540645
"43",1013,2013,"Jhajjar","Bahadurgarh","Maize",-0.528826495540645
"44",1014,2013,"Sonepat","Sonepat","Maize",1.75579591535878
"45",1015,2013,"Sonepat","Rai","Maize",1.75579591535878
"46",1016,2013,"Sonepat","Kharkhoda","Maize",1.75579591535878
"47",1017,2013,"Sonepat","Gohana","Maize",-0.528826495540645
"48",1018,2013,"Sonepat","Kathura","Maize",-0.528826495540645
"49",1019,2013,"Sonepat","Mundlana","Maize",-0.528826495540645
"50",1020,2013,"Sonepat","Ganaur","Maize",-0.528826495540645
"51",1021,2013,"Gurgaon","Gurgaon","Maize",-0.528826495540645
"52",1022,2013,"Gurgaon","Farrukh Nagar","Maize",-0.528826495540645
"53",1023,2013,"Gurgaon","Sohna","Maize",-0.528826495540645
"54",1024,2013,"Gurgaon","Pataudi","Maize",-0.528826495540645
"55",1025,2013,"Mewat","Nuh","Maize",-0.528826495540645
"56",1026,2013,"Mewat","Tauru","Maize",-0.528826495540645
"57",1027,2013,"Mewat","Ferozpur Jhirka","Maize",-0.528826495540645
"58",1028,2013,"Mewat","Nagina","Maize",-0.528826495540645
"59",1029,2013,"Mewat","Punhana","Maize",-0.528826495540645
"60",1030,2013,"Mewat","Mewat","Maize",-0.528826495540645
"61",1031,2013,"Faridabad","Faridabad","Maize",-0.528826495540645
"62",1032,2013,"Faridabad","B/garh","Maize",-0.528826495540645
"63",1033,2013,"Palwal","Palwal","Maize",-0.528826495540645
"64",1034,2013,"Palwal","Hodal","Maize",-0.528826495540645
"65",1035,2013,"Palwal","Hassanpur","Maize",-0.528826495540645
"66",1036,2013,"Palwal","Hathin","Maize",-0.528826495540645
"67",1037,2013,"Panipat","Panipat","Maize",-0.528826495540645
