"","Year","District","Block","Crop","Yield"
"982",2013,"D1","B24","Maize",3000
"991",2013,"D17","B33","Maize",3000
"992",2013,"D17","B34","Maize",3000
"993",2013,"D17","B35","Maize",3000
"994",2013,"D17","B36","Maize",3000
"996",2013,"D6","B38","Maize",3000
"1001",2013,"D19","B43","Maize",3000
"1002",2013,"D19","B44","Maize",3000
"1003",2013,"D19","B45","Maize",3000
"1029",2013,"D9","B71","Maize",3000
"1032",2013,"D9","B74","Maize",3000
"1035",2013,"D10","B77","Maize",3000
"1049",2013,"D21","B90","Maize",3967
"1050",2013,"D21","B91","Maize",3967
"1051",2013,"D21","B92","Maize",4789
"1052",2013,"D21","B93","Maize",3579
"1053",2013,"D14","B94","Maize",3547
"1054",2013,"D14","B6","Maize",2689
"1055",2013,"D14","B95","Maize",3369
"1056",2013,"D14","B96","Maize",1881
"1057",2013,"D20","B97","Maize",2740
"1058",2013,"D20","B98","Maize",2576
"1060",2013,"D20","B100","Maize",2740
"1061",2013,"D20","B101","Maize",3112
"1951",2014,"D17","B33","Maize",2250
"1952",2014,"D17","B34","Maize",2250
"1955",2014,"D17","B37","Maize",2250
"1960",2014,"D6","B42","Maize",2250
"1961",2014,"D19","B43","Maize",2250
"1962",2014,"D19","B44","Maize",2250
"1963",2014,"D19","B45","Maize",2250
"1965",2014,"D19","B47","Maize",2250
"1988",2014,"D9","B71","Maize",2250
"1991",2014,"D9","B74","Maize",2250
"1999",2014,"D8","B82","Maize",2250
"2007",2014,"D21","B90","Maize",3722
"2009",2014,"D21","B92","Maize",4283
"2010",2014,"D21","B93","Maize",3373
"2011",2014,"D14","B94","Maize",2912
"2012",2014,"D14","B6","Maize",1708
"2013",2014,"D14","B95","Maize",2009
"2014",2014,"D14","B96","Maize",1766
"2016",2014,"D20","B98","Maize",2139
"2018",2014,"D20","B100","Maize",2176
"2019",2014,"D20","B101","Maize",2303
"2910",2015,"D17","B33","Maize",2833
"2911",2015,"D17","B34","Maize",2833
"2913",2015,"D17","B36","Maize",2833
"2914",2015,"D17","B37","Maize",2833
"2915",2015,"D6","B38","Maize",2833
"2919",2015,"D6","B42","Maize",2833
"2920",2015,"D19","B43","Maize",2833
"2950",2015,"D9","B74","Maize",2833
"2953",2015,"D10","B77","Maize",3439
"2954",2015,"D10","B78","Maize",3156
"2955",2015,"D10","B79","Maize",3539
"2956",2015,"D10","B80","Maize",2476
"2957",2015,"D10","B81","Maize",3472
"2964",2015,"D21","B88","Maize",2405
"2965",2015,"D21","B89","Maize",2405
"2966",2015,"D21","B90","Maize",2405
"2967",2015,"D21","B91","Maize",2405
"2968",2015,"D21","B92","Maize",2359
"2969",2015,"D21","B93","Maize",2519
"2970",2015,"D14","B94","Maize",3228
"2971",2015,"D14","B6","Maize",2990
"2972",2015,"D14","B95","Maize",4442
"2973",2015,"D14","B96","Maize",3177
"2974",2015,"D20","B97","Maize",3021
"2975",2015,"D20","B98","Maize",2217
"2976",2015,"D20","B99","Maize",3021
"2977",2015,"D20","B100","Maize",3021
"2978",2015,"D20","B101","Maize",4146
"2979",2015,"D20","B102","Maize",3021
"2981",2015,"D7","B104","Maize",2833
"3857",2016,"D22","B4","Maize",4267
"3858",2016,"D22","B5","Maize",1949
"3860",2016,"D22","B7","Maize",3376
"3861",2016,"D22","B8","Maize",3491
"3862",2016,"D22","B9","Maize",4127
"3865",2016,"D4","B12","Maize",3498
"3869",2016,"D18","B16","Maize",2731
"3870",2016,"D18","B17","Maize",2950
"3871",2016,"D18","B18","Maize",4778
"3872",2016,"D18","B19","Maize",3496
"3873",2016,"D18","B20","Maize",2355
"3874",2016,"D18","B21","Maize",2839
"3875",2016,"D18","B22","Maize",2610
"3877",2016,"D1","B24","Maize",3681
"3879",2016,"D1","B26","Maize",4597
"3886",2016,"D17","B33","Maize",3400
"3887",2016,"D17","B34","Maize",3400
"3889",2016,"D17","B36","Maize",3400
"3890",2016,"D17","B37","Maize",3400
"3891",2016,"D6","B38","Maize",3400
"3895",2016,"D6","B42","Maize",3400
"3896",2016,"D19","B43","Maize",4633
"3897",2016,"D19","B44","Maize",4945
"3898",2016,"D19","B45","Maize",4782
"3923",2016,"D9","B71","Maize",3400
"3943",2016,"D21","B91","Maize",2220
"3944",2016,"D21","B92","Maize",2220
"3945",2016,"D21","B93","Maize",2220
"3946",2016,"D14","B94","Maize",2868
"3947",2016,"D14","B6","Maize",3441
"3948",2016,"D14","B95","Maize",3246
"3949",2016,"D14","B96","Maize",2705
"3953",2016,"D20","B100","Maize",3400
"3956",2016,"D7","B103","Maize",705
"3957",2016,"D7","B104","Maize",3400
"3958",2016,"D7","B105","Maize",3815
"3961",2016,"D7","B108","Maize",1178
"3962",2016,"D7","B109","Maize",2011
