"","X","Year","District","Block","Crop","Yield"
"1",727,2013,"Hisar","Hansi I","Paddy",-0.0655333078340703
"2",728,2013,"Hisar","Hansi-II","Paddy",-0.569172632569841
"3",729,2013,"Hisar","Narnaund","Paddy",0.110648214188883
"4",730,2013,"Hisar","Hisar I","Paddy",-0.301671892325567
"5",731,2013,"Hisar","Hisar II","Paddy",-0.0812143857104588
"6",732,2013,"Hisar","Barwala","Paddy",0.255467580459058
"7",733,2013,"Hisar","Uklana","Paddy",-0.412361853805957
"8",734,2013,"Hisar","Agroha","Paddy",-0.406827355731937
"9",736,2013,"Fatehabad","Ratia","Paddy",1.46844507501499
"10",737,2013,"Fatehabad","Fatehabad","Paddy",0.367079958285118
"11",738,2013,"Fatehabad","Bhattukalan","Paddy",-0.47600858165718
"12",739,2013,"Fatehabad","Bhuna","Paddy",0.918684932995724
"13",740,2013,"Fatehabad","Tohana","Paddy",0.708374006182984
"14",741,2013,"Fatehabad","Jakhal","Paddy",1.80697187387585
"15",742,2013,"Sirsa","Sirsa","Paddy",0.788624228256266
"16",743,2013,"Sirsa","Nathusari","Paddy",0.535882149542711
"17",744,2013,"Sirsa","Baragudha","Paddy",0.906693520502015
"18",745,2013,"Sirsa","Rania","Paddy",0.703761924454635
"19",746,2013,"Sirsa","Ellenabad","Paddy",2.00713622088622
"20",747,2013,"Sirsa","Dabwali","Paddy",0.44179568228438
"21",748,2013,"Sirsa","Odhan","Paddy",2.18516257560051
"22",749,2013,"Sirsa","Sirsa","Paddy",-2.59203167862395
"23",751,2013,"Bhiwani","Bhiwani","Paddy",-0.924302925652757
"24",753,2013,"Bhiwani","Bawani Khera","Paddy",-0.267542487535781
"25",754,2013,"Bhiwani","Dadri-I","Paddy",-0.267542487535781
"26",755,2013,"Bhiwani","Dadri-II","Paddy",-0.595922706594269
"27",758,2013,"Bhiwani","Kairu","Paddy",-0.595922706594269
"28",760,2013,"Rohtak","Lakhan Majra","Paddy",0.279450405446476
"29",761,2013,"Rohtak","Rohtak","Paddy",-1.83103819344628
"30",762,2013,"Rohtak","Sampla","Paddy",-0.535043227780055
"31",763,2013,"Rohtak","Meham","Paddy",-0.906777015085028
"32",764,2013,"Rohtak","Kalanaur","Paddy",-0.800699135332989
"33",765,2013,"Jhajjar","Jhajjar","Paddy",-1.48789931285707
"34",766,2013,"Jhajjar","Beri","Paddy",-0.702923002691978
"35",767,2013,"Jhajjar","Salhawas","Paddy",1.55791946054497
"36",768,2013,"Jhajjar","Matanhail","Paddy",-0.79055255553062
"37",769,2013,"Jhajjar","Bahadurgarh","Paddy",-0.267542487535781
"38",770,2013,"Sonepat","Sonepat","Paddy",-0.385611779781529
"39",771,2013,"Sonepat","Rai","Paddy",-0.099662712623857
"40",772,2013,"Sonepat","Kharkhoda","Paddy",-0.17437843662312
"41",773,2013,"Sonepat","Gohana","Paddy",-0.458482671089452
"42",774,2013,"Sonepat","Kathura","Paddy",-0.414206686497296
"43",775,2013,"Sonepat","Mundlana","Paddy",-0.267542487535781
"44",776,2013,"Sonepat","Ganaur","Paddy",-0.290602896177528
"45",777,2013,"Gurgaon","Gurgaon","Paddy",0.411355942877273
"46",778,2013,"Gurgaon","Farrukh Nagar","Paddy",0.411355942877273
"47",779,2013,"Gurgaon","Sohna","Paddy",0.411355942877273
"48",780,2013,"Gurgaon","Pataudi","Paddy",0.411355942877273
"49",781,2013,"Mewat","Nuh","Paddy",0.411355942877273
"50",782,2013,"Mewat","Tauru","Paddy",0.411355942877273
"51",783,2013,"Mewat","Ferozpur Jhirka","Paddy",-2.59203167862395
"52",784,2013,"Mewat","Nagina","Paddy",0.411355942877273
"53",785,2013,"Mewat","Punhana","Paddy",0.411355942877273
"54",786,2013,"Mewat","Mewat","Paddy",-2.59203167862395
"55",787,2013,"Faridabad","Faridabad","Paddy",0.0193289959675614
"56",788,2013,"Faridabad","B/garh","Paddy",-0.325654717312985
"57",789,2013,"Palwal","Palwal","Paddy",-0.0194124905505748
"58",790,2013,"Palwal","Hodal","Paddy",-0.287835647140519
"59",791,2013,"Palwal","Hassanpur","Paddy",-0.215887172178266
"60",792,2013,"Palwal","Hathin","Paddy",-0.57747437968087
"61",793,2013,"Panipat","Panipat","Paddy",-0.138404199141993
"62",794,2013,"Panipat","Samalkha","Paddy",-0.192826763536518
"63",795,2013,"Panipat","Matlauda","Paddy",-0.383766947090189
"64",796,2013,"Panipat","Bapoli","Paddy",0.264691743915758
"65",797,2013,"Panipat","Israna","Paddy",-0.450180923978423
"66",798,2013,"Karnal","Karnal","Paddy",1.17788392612897
"67",799,2013,"Karnal","Nissing","Paddy",0.930676345489433
"68",800,2013,"Karnal","Indri","Paddy",0.792313893638946
"69",801,2013,"Karnal","Gharaunda","Paddy",0.473157838037157
"70",802,2013,"Karnal","Assandh","Paddy",0.54787356203642
"71",803,2013,"Karnal","Nilokheri","Paddy",0.0386997392266295
"72",804,2013,"Kurukshetra","Thanesar","Paddy",1.29226355299204
"73",805,2013,"Kurukshetra","Shahabad","Paddy",1.63724726627258
"74",806,2013,"Kurukshetra","Pehowa","Paddy",1.05335771946353
"75",807,2013,"Kurukshetra","Ladwa","Paddy",1.0266076454391
"76",808,2013,"Kurukshetra","Babain","Paddy",1.3088670472141
"77",809,2013,"Kaithal","Kaithal","Paddy",0.251777915076379
"78",810,2013,"Kaithal","Pundri","Paddy",0.217648510286592
"79",811,2013,"Kaithal","Kalayat","Paddy",0.00180308539983311
"80",812,2013,"Kaithal","Rajound","Paddy",-0.0461625645750022
"81",813,2013,"Kaithal","Gulha","Paddy",0.714830920602674
"82",814,2013,"Kaithal","Siwan","Paddy",1.38635002025037
"83",815,2013,"Kaithal","Kaithal","Paddy",-2.59203167862395
"84",816,2013,"Ambala","Ambala-I","Paddy",0.0303979921156003
"85",817,2013,"Ambala","Ambala-II","Paddy",1.41863459234882
"86",818,2013,"Ambala","Barara","Paddy",0.963883333933549
"87",819,2013,"Ambala","Saha","Paddy",1.33653953758419
"88",820,2013,"Ambala","Naraingarh","Paddy",0.85872787052718
"89",821,2013,"Ambala","Sahazadpur","Paddy",1.38081552217635
"90",822,2013,"Panchkula","Morni","Paddy",-0.558103636421802
"91",823,2013,"Panchkula","Barwala","Paddy",1.56345395861899
"92",824,2013,"Panchkula","Raipurrani","Paddy",1.24983240109122
"93",825,2013,"Panchkula","Pinjore","Paddy",0.348631631371719
"94",826,2013,"Yamuna Nagar","Jagadhari","Paddy",0.360623043865428
"95",827,2013,"Yamuna Nagar","Bilaspur","Paddy",1.20186675111639
"96",828,2013,"Yamuna Nagar","Radaur","Paddy",1.02568522909343
"97",829,2013,"Yamuna Nagar","Sadaura","Paddy",1.12346136173444
