"","Year","District","Block","Crop","Yield"
"727",2013,"D22","B1","Paddy",2739
"728",2013,"D22","B120","Paddy",2193
"729",2013,"D22","B3","Paddy",2930
"730",2013,"D22","B4","Paddy",2483
"731",2013,"D22","B5","Paddy",2722
"732",2013,"D22","B6","Paddy",3087
"733",2013,"D22","B7","Paddy",2363
"734",2013,"D22","B8","Paddy",2369
"735",2013,"D4","B10","Paddy",4402
"736",2013,"D4","B11","Paddy",3208
"737",2013,"D4","B12","Paddy",2294
"738",2013,"D4","B13","Paddy",3806
"739",2013,"D4","B14","Paddy",3578
"740",2013,"D4","B15","Paddy",4769
"741",2013,"D18","B16","Paddy",3665
"742",2013,"D18","B17","Paddy",3391
"743",2013,"D18","B18","Paddy",3793
"744",2013,"D18","B19","Paddy",3573
"745",2013,"D18","B20","Paddy",4986
"746",2013,"D18","B21","Paddy",3289
"747",2013,"D18","B22","Paddy",5179
"749",2013,"D1","B24","Paddy",1808
"750",2013,"D1","B26","Paddy",2520
"751",2013,"D1","B27","Paddy",2520
"752",2013,"D1","B28","Paddy",2164
"753",2013,"D1","B31","Paddy",2164
"754",2013,"D17","B33","Paddy",3113
"755",2013,"D17","B34","Paddy",825
"756",2013,"D17","B35","Paddy",2230
"757",2013,"D17","B36","Paddy",1827
"758",2013,"D17","B37","Paddy",1942
"759",2013,"D6","B38","Paddy",1197
"760",2013,"D6","B39","Paddy",2048
"761",2013,"D6","B40","Paddy",4499
"762",2013,"D6","B41","Paddy",1953
"763",2013,"D6","B42","Paddy",2520
"764",2013,"D19","B43","Paddy",2392
"765",2013,"D19","B44","Paddy",2702
"766",2013,"D19","B45","Paddy",2621
"767",2013,"D19","B46","Paddy",2313
"768",2013,"D19","B47","Paddy",2361
"769",2013,"D19","B48","Paddy",2520
"770",2013,"D19","B49","Paddy",2495
"771",2013,"D5","B50","Paddy",3256
"772",2013,"D5","B51","Paddy",3256
"773",2013,"D5","B52","Paddy",3256
"774",2013,"D5","B53","Paddy",3256
"775",2013,"D12","B54","Paddy",3256
"776",2013,"D12","B55","Paddy",3256
"778",2013,"D12","B57","Paddy",3256
"779",2013,"D12","B58","Paddy",3256
"781",2013,"D3","B60","Paddy",2831
"782",2013,"D3","B61","Paddy",2457
"783",2013,"D13","B62","Paddy",2789
"784",2013,"D13","B63","Paddy",2498
"785",2013,"D13","B64","Paddy",2576
"786",2013,"D13","B65","Paddy",2184
"787",2013,"D15","B66","Paddy",2660
"788",2013,"D15","B67","Paddy",2601
"789",2013,"D15","B68","Paddy",2394
"790",2013,"D15","B69","Paddy",3097
"791",2013,"D15","B70","Paddy",2322
"792",2013,"D9","B71","Paddy",4087
"793",2013,"D9","B72","Paddy",3819
"794",2013,"D9","B73","Paddy",3669
"795",2013,"D9","B74","Paddy",3323
"796",2013,"D9","B75","Paddy",3404
"797",2013,"D9","B76","Paddy",2852
"798",2013,"D10","B77","Paddy",4211
"799",2013,"D10","B78","Paddy",4585
"800",2013,"D10","B79","Paddy",3952
"801",2013,"D10","B80","Paddy",3923
"802",2013,"D10","B81","Paddy",4229
"803",2013,"D8","B82","Paddy",3083
"804",2013,"D8","B83","Paddy",3046
"805",2013,"D8","B84","Paddy",2812
"806",2013,"D8","B85","Paddy",2760
"807",2013,"D8","B86","Paddy",3585
"808",2013,"D8","B87","Paddy",4313
"810",2013,"D21","B88","Paddy",2843
"811",2013,"D21","B89","Paddy",4348
"812",2013,"D21","B90","Paddy",3855
"813",2013,"D21","B91","Paddy",4259
"814",2013,"D21","B92","Paddy",3741
"815",2013,"D21","B93","Paddy",4307
"816",2013,"D14","B94","Paddy",2205
"817",2013,"D14","B6","Paddy",4505
"818",2013,"D14","B95","Paddy",4165
"819",2013,"D14","B96","Paddy",3188
"820",2013,"D20","B97","Paddy",3201
"821",2013,"D20","B98","Paddy",4113
"822",2013,"D20","B99","Paddy",3922
"823",2013,"D20","B100","Paddy",4028
"824",2013,"D20","B101","Paddy",3544
"825",2013,"D20","B102","Paddy",3289
"826",2013,"D7","B103","Paddy",2559
"827",2013,"D7","B104","Paddy",2542
"828",2013,"D7","B105","Paddy",2631
"829",2013,"D7","B106","Paddy",2620
"830",2013,"D7","B107","Paddy",2735
"831",2013,"D7","B108","Paddy",2807
"832",2013,"D7","B109","Paddy",2968
"833",2013,"D16","B115","Paddy",3256
"834",2013,"D16","B117","Paddy",3256
"835",2013,"D16","B119","Paddy",3256
"1681",2014,"D22","B1","Paddy",2423
"1682",2014,"D22","B120","Paddy",1728
"1683",2014,"D22","B3","Paddy",2951
"1684",2014,"D22","B4","Paddy",2497
"1685",2014,"D22","B5","Paddy",6559
"1686",2014,"D22","B6","Paddy",2573
"1687",2014,"D22","B7","Paddy",2270
"1688",2014,"D22","B8","Paddy",2510
"1690",2014,"D4","B10","Paddy",3762
"1691",2014,"D4","B11","Paddy",3144
"1692",2014,"D4","B12","Paddy",2367
"1693",2014,"D4","B13","Paddy",2794
"1694",2014,"D4","B14","Paddy",4318
"1695",2014,"D4","B15","Paddy",4406
"1696",2014,"D18","B16","Paddy",3428
"1697",2014,"D18","B17","Paddy",3037
"1698",2014,"D18","B18","Paddy",2984
"1699",2014,"D18","B19","Paddy",4006
"1700",2014,"D18","B20","Paddy",4295
"1701",2014,"D18","B21","Paddy",4919
"1702",2014,"D18","B22","Paddy",3557
"1704",2014,"D1","B24","Paddy",1397
"1705",2014,"D1","B25","Paddy",1434
"1706",2014,"D1","B26","Paddy",1186
"1707",2014,"D1","B27","Paddy",1829
"1708",2014,"D1","B28","Paddy",1434
"1711",2014,"D1","B31","Paddy",1434
"1713",2014,"D17","B33","Paddy",2939
"1714",2014,"D17","B34","Paddy",1551
"1715",2014,"D17","B35","Paddy",2674
"1716",2014,"D17","B36","Paddy",1997
"1717",2014,"D17","B37","Paddy",2523
"1718",2014,"D6","B38","Paddy",2838
"1719",2014,"D6","B39","Paddy",2683
