"","X","Year","District","Block","Crop","Yield"
"1",1080,2013,"D22","B1","Sugarcane",0.627664779136629
"2",1081,2013,"D22","B120","Sugarcane",2.4461853628638
"3",1082,2013,"D22","B3","Sugarcane",0.432765761748686
"4",1083,2013,"D22","B4","Sugarcane",0.859073805291459
"5",1084,2013,"D22","B5","Sugarcane",-1.31219789255108
"6",1085,2013,"D22","B6","Sugarcane",-1.31219789255108
"7",1086,2013,"D22","B7","Sugarcane",-1.31219789255108
"8",1087,2013,"D22","B8","Sugarcane",-1.31219789255108
"9",1088,2013,"D22","B9","Sugarcane",-1.31219789255108
"10",1089,2013,"D4","B10","Sugarcane",-1.31219789255108
"11",1090,2013,"D4","B11","Sugarcane",0.808979925615715
"12",1091,2013,"D4","B12","Sugarcane",-1.31219789255108
"13",1092,2013,"D4","B13","Sugarcane",-1.31219789255108
"14",1093,2013,"D4","B14","Sugarcane",-1.31219789255108
"15",1094,2013,"D4","B15","Sugarcane",-1.31219789255108
"16",1095,2013,"D18","B16","Sugarcane",0.661490228435363
"17",1096,2013,"D18","B17","Sugarcane",-1.31219789255108
"18",1097,2013,"D18","B18","Sugarcane",-1.31219789255108
"19",1098,2013,"D18","B19","Sugarcane",-1.31219789255108
"20",1099,2013,"D18","B20","Sugarcane",-1.31219789255108
"21",1100,2013,"D18","B21","Sugarcane",-1.31219789255108
"22",1101,2013,"D18","B22","Sugarcane",-1.31219789255108
"23",1102,2013,"D18","B16","Sugarcane",-1.31219789255108
"24",1103,2013,"D1","B23","Sugarcane",-1.31219789255108
"25",1104,2013,"D1","B24","Sugarcane",0.416658404939765
"26",1105,2013,"D1","B25","Sugarcane",-1.31219789255108
"27",1106,2013,"D1","B26","Sugarcane",0.776389373672332
"28",1107,2013,"D1","B27","Sugarcane",0.716443160748464
"29",1108,2013,"D1","B28","Sugarcane",0.716443160748464
"30",1109,2013,"D1","B29","Sugarcane",-1.31219789255108
"31",1110,2013,"D1","B30","Sugarcane",-1.31219789255108
"32",1111,2013,"D1","B31","Sugarcane",-1.31219789255108
