"Year","District","Block","Crop","Yield"
2012,"Hisar","Hansi I","Wheat","4425"
2012,"Hisar","Bas","Wheat","4072"
2012,"Hisar","Narnaund","Wheat","4245"
2012,"Hisar","Hisar I","Wheat","4210"
2012,"Hisar","Hisar II","Wheat","4277"
2012,"Hisar","Barwala","Wheat","4425"
2012,"Hisar","Uklana","Wheat","4271"
2012,"Hisar","Agroha","Wheat","4509"
2012,"Hisar","Adampur","Wheat","4057"
2012,"Fatehabad","Ratia","Wheat","4951"
2012,"Fatehabad","Fatehabad","Wheat","4303"
2012,"Fatehabad","Bhattukalan","Wheat","4575"
2012,"Fatehabad","Bhuna","Wheat","4672"
2012,"Fatehabad","Tohana","Wheat","4774"
2012,"Fatehabad","Jakhal","Wheat","5259"
2012,"Sirsa","Sirsa","Wheat","5087"
2012,"Sirsa","Nathusari","Wheat","4411"
2012,"Sirsa","Baragudha","Wheat","4788"
2012,"Sirsa","Rania","Wheat","4820"
2012,"Sirsa","Ellenabad","Wheat","5285"
2012,"Sirsa","Dabwali","Wheat","4692"
2012,"Sirsa","Odhan","Wheat","4810"
2012,"Bhiwani","Loharu","Wheat","4181"
2012,"Bhiwani","Bhiwani","Wheat","4453"
2012,"Bhiwani","Tosham","Wheat","3766"
2012,"Bhiwani","Bawani Khera","Wheat","3990"
2012,"Bhiwani","Dadri-I","Wheat","3563"
2012,"Bhiwani","Dadri-II","Wheat","4342"
2012,"Bhiwani","Badhra","Wheat","4684"
2012,"Bhiwani","Siwani","Wheat","3807"
2012,"Bhiwani","Kairu","Wheat","4018"
2012,"Bhiwani","Behal","Wheat","3370"
2012,"Rohtak","Lakhan Majra","Wheat","4516"
2012,"Rohtak","Rohtak","Wheat","3546"
2012,"Rohtak","Sampla","Wheat","3462"
2012,"Rohtak","Meham","Wheat","3307"
2012,"Rohtak","Kalanaur","Wheat","4203"
2012,"Jhajjar","Jhajjar","Wheat","4198"
2012,"Jhajjar","Beri","Wheat","3124"
2012,"Jhajjar","Salhawas","Wheat","4590"
2012,"Jhajjar","Matanhail","Wheat","4684"
2012,"Jhajjar","Bahadurgarh","Wheat","3683"
2012,"Sonepat","Sonepat","Wheat","4838"
2012,"Sonepat","Rai","Wheat","4641"
2012,"Sonepat","Kharkhoda","Wheat","4594"
2012,"Sonepat","Gohana","Wheat","3631"
2012,"Sonepat","Kathura","Wheat","4371"
2012,"Sonepat","Mundlana","Wheat","4566"
2012,"Sonepat","Ganaur","Wheat","4753"
2012,"Gurgaon","Gurgaon","Wheat","4233"
2012,"Gurgaon","Farrukh Nagar","Wheat","4993"
2012,"Gurgaon","Sohna","Wheat","4119"
2012,"Gurgaon","Pataudi","Wheat","4859"
2012,"Mewat","Nuh","Wheat","3766"
2012,"Mewat","Tauru","Wheat","3973"
2012,"Mewat","Ferozpur Jhirka","Wheat","4292"
2012,"Mewat","Nagina","Wheat","4583"
2012,"Mewat","Punhana","Wheat","4133"
2012,"Mewat","Mewat","Wheat","0"
2012,"Faridabad","Faridabad","Wheat","4577"
2012,"Faridabad","B/garh","Wheat","4506"
2012,"Palwal","Palwal","Wheat","4600"
2012,"Palwal","Hodal","Wheat","4678"
2012,"Palwal","Hassanpur","Wheat","4553"
2012,"Palwal","Hathin","Wheat","4495"
2012,"Panipat","Panipat","Wheat","4924"
2012,"Panipat","Samalkha","Wheat","4678"
2012,"Panipat","Matlauda","Wheat","3846"
2012,"Panipat","Bapoli","Wheat","5200"
2012,"Panipat","Israna","Wheat","4548"
2012,"Karnal","Karnal","Wheat","4837"
2012,"Karnal","Nissing","Wheat","4877"
2012,"Karnal","Indri","Wheat","4558"
2012,"Karnal","Gharaunda","Wheat","4651"
2012,"Karnal","Assandh","Wheat","4370"
2012,"Karnal","Nilokheri","Wheat","4736"
2012,"Kurukshetra","Thanesar","Wheat","4453"
2012,"Kurukshetra","Shahabad","Wheat","4738"
2012,"Kurukshetra","Pehowa","Wheat","4661"
2012,"Kurukshetra","Ladwa","Wheat","4656"
2012,"Kurukshetra","Babain","Wheat","4932"
2012,"Kaithal","Kaithal","Wheat","4556"
2012,"Kaithal","Pundri","Wheat","5103"
2012,"Kaithal","Kalayat","Wheat","4480"
2012,"Kaithal","Rajound","Wheat","4292"
2012,"Kaithal","Gulha","Wheat","4703"
2012,"Kaithal","Siwan","Wheat","4889"
2012,"Ambala","Ambala-I","Wheat","4271"
2012,"Ambala","Ambala-II","Wheat","4677"
2012,"Ambala","Barara","Wheat","4524"
2012,"Ambala","Saha","Wheat","4028"
2012,"Ambala","Naraingarh","Wheat","3868"
2012,"Ambala","Sahazadpur","Wheat","3720"
2012,"Panchkula","Morni","Wheat","2205"
2012,"Panchkula","Barwala","Wheat","3513"
2012,"Panchkula","Raipurrani","Wheat","4107"
2012,"Panchkula","Pinjore","Wheat","3458"
2012,"Yamuna Nagar","Jagadhari","Wheat","4336"
2012,"Yamuna Nagar","Bilaspur","Wheat","4194"
2012,"Yamuna Nagar","Radaur","Wheat","4846"
2012,"Yamuna Nagar","Sadaura","Wheat","4344"
2012,"Yamuna Nagar","Chhachhrauli","Wheat","4004"
2012,"Yamuna Nagar","Mustafabad","Wheat","4312"
2012,"Jind","Jind","Wheat","4258"
2012,"Jind","Julana","Wheat","3969"
2012,"Jind","Alewa","Wheat","4029"
2012,"Jind","Safidon","Wheat","4504"
2012,"Jind","Pillukhera","Wheat","4517"
2012,"Jind","Uchana","Wheat","4157"
2012,"Jind","Narwana","Wheat","4350"
2012,"Mahendergarh","Kanina","Wheat","4506"
2012,"Mahendergarh","Mahendergarh","Wheat","5041"
2012,"Mahendergarh","Ateli","Wheat","5291"
2012,"Mahendergarh","Narnaul","Wheat","4319"
2012,"Mahendergarh","Nangal Chaudhary","Wheat","4499"
2012,"Rewari","Rewari","Wheat","4676"
2012,"Rewari","Khol","Wheat","5120"
2012,"Rewari","Jatusana","Wheat","4987"
2012,"Rewari","Bawal","Wheat","5133"
2012,"Rewari","Nahar","Wheat","4687"
2012,"Hisar","Hansi I","Gram","1115"
2012,"Hisar","Bas","Gram","0"
2012,"Hisar","Narnaund","Gram","0"
2012,"Hisar","Hisar I","Gram","1184"
2012,"Hisar","Hisar II","Gram","715"
2012,"Hisar","Barwala","Gram","903"
2012,"Hisar","Uklana","Gram","982"
2012,"Hisar","Agroha","Gram","762"
2012,"Hisar","Adampur","Gram","721"
2012,"Fatehabad","Ratia","Gram","1087"
2012,"Fatehabad","Fatehabad","Gram","1439"
2012,"Fatehabad","Bhattukalan","Gram","8510"
2012,"Fatehabad","Bhuna","Gram","962"
2012,"Fatehabad","Tohana","Gram","0"
2012,"Fatehabad","Jakhal","Gram","0"
2012,"Sirsa","Sirsa","Gram","1509"
2012,"Sirsa","Nathusari","Gram","1209"
2012,"Sirsa","Baragudha","Gram","0"
2012,"Sirsa","Rania","Gram","827"
2012,"Sirsa","Ellenabad","Gram","1123"
2012,"Sirsa","Dabwali","Gram","1027"
2012,"Sirsa","Odhan","Gram","993"
2012,"Bhiwani","Loharu","Gram","1580"
2012,"Bhiwani","Bhiwani","Gram","1081"
2012,"Bhiwani","Tosham","Gram","1116"
2012,"Bhiwani","Bawani Khera","Gram","1210"
2012,"Bhiwani","Dadri-I","Gram","945"
2012,"Bhiwani","Dadri-II","Gram","1105"
2012,"Bhiwani","Badhra","Gram","1475"
2012,"Bhiwani","Siwani","Gram","803"
2012,"Bhiwani","Kairu","Gram","799"
2012,"Bhiwani","Behal","Gram","1164"
2012,"Rohtak","Lakhan Majra","Gram","0"
2012,"Rohtak","Rohtak","Gram","0"
2012,"Rohtak","Sampla","Gram","0"
2012,"Rohtak","Meham","Gram","907"
2012,"Rohtak","Kalanaur","Gram","1110"
2012,"Jhajjar","Jhajjar","Gram","650"
2012,"Jhajjar","Beri","Gram","1294"
2012,"Jhajjar","Salhawas","Gram","0"
2012,"Jhajjar","Matanhail","Gram","0"
2012,"Jhajjar","Bahadurgarh","Gram","1108"
2012,"Sonepat","Sonepat","Gram","0"
2012,"Sonepat","Rai","Gram","0"
2012,"Sonepat","Kharkhoda","Gram","0"
2012,"Sonepat","Gohana","Gram","0"
2012,"Sonepat","Kathura","Gram","0"
2012,"Sonepat","Mundlana","Gram","0"
2012,"Sonepat","Ganaur","Gram","0"
2012,"Gurgaon","Gurgaon","Gram","0"
2012,"Gurgaon","Farrukh Nagar","Gram","0"
2012,"Gurgaon","Sohna","Gram","0"
2012,"Gurgaon","Pataudi","Gram","0"
2012,"Mewat","Nuh","Gram","0"
2012,"Mewat","Tauru","Gram","0"
2012,"Mewat","Ferozpur Jhirka","Gram","1128"
2012,"Mewat","Nagina","Gram","1138"
2012,"Mewat","Punhana","Gram","0"
2012,"Mewat","Mewat","Gram","0"
2012,"Faridabad","Faridabad","Gram","0"
2012,"Faridabad","B/garh","Gram","0"
2012,"Palwal","Palwal","Gram","0"
2012,"Palwal","Hodal","Gram","0"
2012,"Palwal","Hassanpur","Gram","0"
2012,"Palwal","Hathin","Gram","0"
2012,"Panipat","Panipat","Gram","0"
2012,"Panipat","Samalkha","Gram","0"
2012,"Panipat","Matlauda","Gram","0"
2012,"Panipat","Bapoli","Gram","0"
2012,"Panipat","Israna","Gram","0"
2012,"Karnal","Karnal","Gram","0"
2012,"Karnal","Nissing","Gram","0"
2012,"Karnal","Indri","Gram","0"
2012,"Karnal","Gharaunda","Gram","0"
2012,"Karnal","Assandh","Gram","1128"
2012,"Karnal","Nilokheri","Gram","0"
2012,"Kurukshetra","Thanesar","Gram","0"
2012,"Kurukshetra","Shahabad","Gram","0"
2012,"Kurukshetra","Pehowa","Gram","1128"
2012,"Kurukshetra","Ladwa","Gram","0"
2012,"Kurukshetra","Babain","Gram","0"
2012,"Kaithal","Kaithal","Gram","0"
2012,"Kaithal","Pundri","Gram","1128"
2012,"Kaithal","Kalayat","Gram","0"
2012,"Kaithal","Rajound","Gram","0"
2012,"Kaithal","Gulha","Gram","0"
2012,"Kaithal","Siwan","Gram","0"
2012,"Ambala","Ambala-I","Gram","0"
2012,"Ambala","Ambala-II","Gram","0"
2012,"Ambala","Barara","Gram","0"
2012,"Ambala","Saha","Gram","0"
2012,"Ambala","Naraingarh","Gram","0"
2012,"Ambala","Sahazadpur","Gram","0"
2012,"Panchkula","Morni","Gram","0"
2012,"Panchkula","Barwala","Gram","0"
2012,"Panchkula","Raipurrani","Gram","1128"
2012,"Panchkula","Pinjore","Gram","1128"
2012,"Yamuna Nagar","Jagadhari","Gram","0"
2012,"Yamuna Nagar","Bilaspur","Gram","1128"
2012,"Yamuna Nagar","Radaur","Gram","0"
2012,"Yamuna Nagar","Sadaura","Gram","0"
2012,"Yamuna Nagar","Chhachhrauli","Gram","0"
2012,"Yamuna Nagar","Mustafabad","Gram","0"
2012,"Jind","Jind","Gram","0"
2012,"Jind","Julana","Gram","825"
2012,"Jind","Alewa","Gram","0"
2012,"Jind","Safidon","Gram","0"
2012,"Jind","Pillukhera","Gram","0"
2012,"Jind","Uchana","Gram","0"
2012,"Jind","Narwana","Gram","0"
2012,"Mahendergarh","Kanina","Gram","974"
2012,"Mahendergarh","Mahendergarh","Gram","1063"
2012,"Mahendergarh","Ateli","Gram","1629"
2012,"Mahendergarh","Narnaul","Gram","1251"
2012,"Mahendergarh","Nangal Chaudhary","Gram","1469"
2012,"Rewari","Rewari","Gram","0"
2012,"Rewari","Khol","Gram","0"
2012,"Rewari","Jatusana","Gram","0"
2012,"Rewari","Bawal","Gram","0"
2012,"Rewari","Nahar","Gram","0"
2012,"Hisar","Hansi I","Barley","2817"
2012,"Hisar","Bas","Barley","1152"
2012,"Hisar","Narnaund","Barley","3324"
2012,"Hisar","Hisar I","Barley","2019"
2012,"Hisar","Hisar II","Barley","1111"
2012,"Hisar","Barwala","Barley","2235"
2012,"Hisar","Uklana","Barley","3312"
2012,"Hisar","Agroha","Barley","1922"
2012,"Hisar","Adampur","Barley","1573"
2012,"Fatehabad","Ratia","Barley","3971"
2012,"Fatehabad","Fatehabad","Barley","2612"
2012,"Fatehabad","Bhattukalan","Barley","2704"
2012,"Fatehabad","Bhuna","Barley","3817"
2012,"Fatehabad","Tohana","Barley","3971"
2012,"Fatehabad","Jakhal","Barley","0"
2012,"Sirsa","Sirsa","Barley","3810"
2012,"Sirsa","Nathusari","Barley","2647"
2012,"Sirsa","Baragudha","Barley","4199"
2012,"Sirsa","Rania","Barley","3947"
2012,"Sirsa","Ellenabad","Barley","3540"
2012,"Sirsa","Dabwali","Barley","3871"
2012,"Sirsa","Odhan","Barley","4393"
2012,"Bhiwani","Loharu","Barley","3273"
2012,"Bhiwani","Bhiwani","Barley","3686"
2012,"Bhiwani","Tosham","Barley","2800"
2012,"Bhiwani","Bawani Khera","Barley","3495"
2012,"Bhiwani","Dadri-I","Barley","3200"
2012,"Bhiwani","Dadri-II","Barley","2923"
2012,"Bhiwani","Badhra","Barley","3647"
2012,"Bhiwani","Siwani","Barley","2852"
2012,"Bhiwani","Kairu","Barley","3244"
2012,"Bhiwani","Behal","Barley","3517"
2012,"Rohtak","Lakhan Majra","Barley","2684"
2012,"Rohtak","Rohtak","Barley","2144"
2012,"Rohtak","Sampla","Barley","2684"
2012,"Rohtak","Meham","Barley","2099"
2012,"Rohtak","Kalanaur","Barley","3155"
2012,"Jhajjar","Jhajjar","Barley","3699"
2012,"Jhajjar","Beri","Barley","1924"
2012,"Jhajjar","Salhawas","Barley","3755"
2012,"Jhajjar","Matanhail","Barley","4603"
2012,"Jhajjar","Bahadurgarh","Barley","3585"
2012,"Sonepat","Sonepat","Barley","3849"
2012,"Sonepat","Rai","Barley","0"
2012,"Sonepat","Kharkhoda","Barley","3402"
2012,"Sonepat","Gohana","Barley","3122"
2012,"Sonepat","Kathura","Barley","0"
2012,"Sonepat","Mundlana","Barley","3479"
2012,"Sonepat","Ganaur","Barley","0"
2012,"Gurgaon","Gurgaon","Barley","4667"
2012,"Gurgaon","Farrukh Nagar","Barley","5143"
2012,"Gurgaon","Sohna","Barley","4667"
2012,"Gurgaon","Pataudi","Barley","4430"
2012,"Mewat","Nuh","Barley","4237"
2012,"Mewat","Tauru","Barley","2935"
2012,"Mewat","Ferozpur Jhirka","Barley","3350"
2012,"Mewat","Nagina","Barley","3130"
2012,"Mewat","Punhana","Barley","3300"
2012,"Mewat","Mewat","Barley","0"
2012,"Faridabad","Faridabad","Barley","2682"
2012,"Faridabad","B/garh","Barley","3499"
2012,"Palwal","Palwal","Barley","3343"
2012,"Palwal","Hodal","Barley","2819"
2012,"Palwal","Hassanpur","Barley","3402"
2012,"Palwal","Hathin","Barley","3479"
2012,"Panipat","Panipat","Barley","0"
2012,"Panipat","Samalkha","Barley","0"
2012,"Panipat","Matlauda","Barley","0"
2012,"Panipat","Bapoli","Barley","0"
2012,"Panipat","Israna","Barley","0"
2012,"Karnal","Karnal","Barley","0"
2012,"Karnal","Nissing","Barley","0"
2012,"Karnal","Indri","Barley","0"
2012,"Karnal","Gharaunda","Barley","3479"
2012,"Karnal","Assandh","Barley","0"
2012,"Karnal","Nilokheri","Barley","0"
2012,"Kurukshetra","Thanesar","Barley","0"
2012,"Kurukshetra","Shahabad","Barley","0"
2012,"Kurukshetra","Pehowa","Barley","0"
