"","X","Year","District","Block","Crop","Yield"
"1",1,2012,"D22","B1","Wheat",0.0894108766700018
"2",2,2012,"D22","B2","Wheat",-0.407196074411345
"3",3,2012,"D22","B3","Wheat",-0.163816463824736
"4",4,2012,"D22","B4","Wheat",-0.213055113365379
"5",5,2012,"D22","B5","Wheat",-0.118798269959005
"6",6,2012,"D22","B6","Wheat",0.0894108766700018
"7",7,2012,"D22","B7","Wheat",-0.127239181308829
"8",8,2012,"D22","B8","Wheat",0.207583635567546
"9",9,2012,"D22","B9","Wheat",-0.428298352785907
"10",10,2012,"D4","B10","Wheat",0.829397438337958
"11",11,2012,"D4","B11","Wheat",-0.0822209874430982
"12",12,2012,"D4","B12","Wheat",0.300433660415617
"13",13,2012,"D4","B13","Wheat",0.436895060571114
"14",14,2012,"D4","B14","Wheat",0.580390553518132
"15",15,2012,"D4","B15","Wheat",1.26269755429562
"16",16,2012,"D18","B16","Wheat",1.02072476226732
"17",17,2012,"D18","B17","Wheat",0.0697154168537445
"18",18,2012,"D18","B18","Wheat",0.60008601333439
"19",19,2012,"D18","B19","Wheat",0.645104207200121
"20",20,2012,"D18","B20","Wheat",1.29927483681153
"21",21,2012,"D18","B21","Wheat",0.465031431737196
"22",22,2012,"D18","B22","Wheat",0.63103602161708
"23",23,2012,"D1","B23","Wheat",-0.253852851556198
"24",24,2012,"D1","B24","Wheat",0.128801796302517
"25",25,2012,"D1","B25","Wheat",-0.837682553252399
"26",26,2012,"D1","B26","Wheat",-0.522555196192281
"27",27,2012,"D1","B27","Wheat",-1.12326672058813
"28",28,2012,"D1","B28","Wheat",-0.0273550636692384
"29",29,2012,"D1","B29","Wheat",0.453776883270763
"30",30,2012,"D1","B30","Wheat",-0.780002992361931
"31",31,2012,"D1","B31","Wheat",-0.483164276559766
"32",32,2012,"D1","B32","Wheat",-1.39478270234082
"33",33,2012,"D17","B33","Wheat",0.217431365475675
"34",34,2012,"D17","B34","Wheat",-1.1471826360793
