"","Year","District","Block","Crop","Yield"
"1",2012,"D22","B1","Wheat",4425
"2",2012,"D22","B2","Wheat",4072
"3",2012,"D22","B3","Wheat",4245
"4",2012,"D22","B4","Wheat",4210
"5",2012,"D22","B5","Wheat",4277
"6",2012,"D22","B6","Wheat",4425
"7",2012,"D22","B7","Wheat",4271
"8",2012,"D22","B8","Wheat",4509
"9",2012,"D22","B9","Wheat",4057
"10",2012,"D4","B10","Wheat",4951
"11",2012,"D4","B11","Wheat",4303
"12",2012,"D4","B12","Wheat",4575
"13",2012,"D4","B13","Wheat",4672
"14",2012,"D4","B14","Wheat",4774
"15",2012,"D4","B15","Wheat",5259
"16",2012,"D18","B16","Wheat",5087
"17",2012,"D18","B17","Wheat",4411
"18",2012,"D18","B18","Wheat",4788
"19",2012,"D18","B19","Wheat",4820
"20",2012,"D18","B20","Wheat",5285
"21",2012,"D18","B21","Wheat",4692
"22",2012,"D18","B22","Wheat",4810
"23",2012,"D1","B23","Wheat",4181
"24",2012,"D1","B24","Wheat",4453
"25",2012,"D1","B25","Wheat",3766
"26",2012,"D1","B26","Wheat",3990
"27",2012,"D1","B27","Wheat",3563
"28",2012,"D1","B28","Wheat",4342
"29",2012,"D1","B29","Wheat",4684
"30",2012,"D1","B30","Wheat",3807
"31",2012,"D1","B31","Wheat",4018
"32",2012,"D1","B32","Wheat",3370
"33",2012,"D17","B33","Wheat",4516
"34",2012,"D17","B34","Wheat",3546
"35",2012,"D17","B35","Wheat",3462
"36",2012,"D17","B36","Wheat",3307
"37",2012,"D17","B37","Wheat",4203
"38",2012,"D6","B38","Wheat",4198
"39",2012,"D6","B39","Wheat",3124
"40",2012,"D6","B40","Wheat",4590
"41",2012,"D6","B41","Wheat",4684
"42",2012,"D6","B42","Wheat",3683
"43",2012,"D19","B43","Wheat",4838
"44",2012,"D19","B44","Wheat",4641
"45",2012,"D19","B45","Wheat",4594
"46",2012,"D19","B46","Wheat",3631
"47",2012,"D19","B47","Wheat",4371
"48",2012,"D19","B48","Wheat",4566
"49",2012,"D19","B49","Wheat",4753
"50",2012,"D5","B50","Wheat",4233
"51",2012,"D5","B51","Wheat",4993
"52",2012,"D5","B52","Wheat",4119
"53",2012,"D5","B53","Wheat",4859
"54",2012,"D12","B54","Wheat",3766
"55",2012,"D12","B55","Wheat",3973
"56",2012,"D12","B56","Wheat",4292
"57",2012,"D12","B57","Wheat",4583
"58",2012,"D12","B58","Wheat",4133
"60",2012,"D3","B60","Wheat",4577
"61",2012,"D3","B61","Wheat",4506
"62",2012,"D13","B62","Wheat",4600
"63",2012,"D13","B63","Wheat",4678
"64",2012,"D13","B64","Wheat",4553
"65",2012,"D13","B65","Wheat",4495
"66",2012,"D15","B66","Wheat",4924
"67",2012,"D15","B67","Wheat",4678
"68",2012,"D15","B68","Wheat",3846
"69",2012,"D15","B69","Wheat",5200
"70",2012,"D15","B70","Wheat",4548
"71",2012,"D9","B71","Wheat",4837
"72",2012,"D9","B72","Wheat",4877
"73",2012,"D9","B73","Wheat",4558
"74",2012,"D9","B74","Wheat",4651
"75",2012,"D9","B75","Wheat",4370
"76",2012,"D9","B76","Wheat",4736
"77",2012,"D10","B77","Wheat",4453
"78",2012,"D10","B78","Wheat",4738
"79",2012,"D10","B79","Wheat",4661
"80",2012,"D10","B80","Wheat",4656
"81",2012,"D10","B81","Wheat",4932
"82",2012,"D8","B82","Wheat",4556
"83",2012,"D8","B83","Wheat",5103
"84",2012,"D8","B84","Wheat",4480
"85",2012,"D8","B85","Wheat",4292
"86",2012,"D8","B86","Wheat",4703
"87",2012,"D8","B87","Wheat",4889
"88",2012,"D21","B88","Wheat",4271
"89",2012,"D21","B89","Wheat",4677
"90",2012,"D21","B90","Wheat",4524
"91",2012,"D21","B91","Wheat",4028
"92",2012,"D21","B92","Wheat",3868
"93",2012,"D21","B93","Wheat",3720
"94",2012,"D14","B94","Wheat",2205
"95",2012,"D14","B6","Wheat",3513
"96",2012,"D14","B95","Wheat",4107
"97",2012,"D14","B96","Wheat",3458
"98",2012,"D20","B97","Wheat",4336
"99",2012,"D20","B98","Wheat",4194
"100",2012,"D20","B99","Wheat",4846
"101",2012,"D20","B100","Wheat",4344
"102",2012,"D20","B101","Wheat",4004
"103",2012,"D20","B102","Wheat",4312
"104",2012,"D7","B103","Wheat",4258
"105",2012,"D7","B104","Wheat",3969
"106",2012,"D7","B105","Wheat",4029
"107",2012,"D7","B106","Wheat",4504
"108",2012,"D7","B107","Wheat",4517
"109",2012,"D7","B108","Wheat",4157
"110",2012,"D7","B109","Wheat",4350
"111",2012,"D11","B110","Wheat",4506
"112",2012,"D11","B111","Wheat",5041
"113",2012,"D11","B112","Wheat",5291
"114",2012,"D11","B113","Wheat",4319
"115",2012,"D11","B114","Wheat",4499
"116",2012,"D16","B115","Wheat",4676
"117",2012,"D16","B116","Wheat",5120
"118",2012,"D16","B117","Wheat",4987
"119",2012,"D16","B118","Wheat",5133
"120",2012,"D16","B119","Wheat",4687
"361",2013,"D22","B1","Wheat",4280
"362",2013,"D22","B120","Wheat",4549
"363",2013,"D22","B3","Wheat",4091
"364",2013,"D22","B4","Wheat",4770
"365",2013,"D22","B5","Wheat",4667
"366",2013,"D22","B6","Wheat",4366
"367",2013,"D22","B7","Wheat",5141
"368",2013,"D22","B8","Wheat",4467
"369",2013,"D22","B9","Wheat",4348
"370",2013,"D4","B10","Wheat",5551
"371",2013,"D4","B11","Wheat",5415
"372",2013,"D4","B12","Wheat",5172
"373",2013,"D4","B13","Wheat",5015
"374",2013,"D4","B14","Wheat",5399
"375",2013,"D4","B15","Wheat",5335
"376",2013,"D18","B16","Wheat",5343
"377",2013,"D18","B17","Wheat",5213
"378",2013,"D18","B18","Wheat",5380
"379",2013,"D18","B19","Wheat",5408
"380",2013,"D18","B20","Wheat",5631
"381",2013,"D18","B21","Wheat",5208
"382",2013,"D18","B22","Wheat",5443
"384",2013,"D1","B23","Wheat",4212
"385",2013,"D1","B24","Wheat",4138
"386",2013,"D1","B25","Wheat",4394
"387",2013,"D1","B26","Wheat",4126
"388",2013,"D1","B27","Wheat",4443
"389",2013,"D1","B28","Wheat",4102
"390",2013,"D1","B29","Wheat",3943
"391",2013,"D1","B30","Wheat",4133
"392",2013,"D1","B31","Wheat",5176
"393",2013,"D1","B32","Wheat",4623
"394",2013,"D17","B33","Wheat",4236
"395",2013,"D17","B34","Wheat",4106
"396",2013,"D17","B35","Wheat",4318
"397",2013,"D17","B36","Wheat",3247
"398",2013,"D17","B37","Wheat",3990
"399",2013,"D6","B38","Wheat",4248
"400",2013,"D6","B39","Wheat",4957
"401",2013,"D6","B40","Wheat",4753
"402",2013,"D6","B41","Wheat",4397
"403",2013,"D6","B42","Wheat",4295
"404",2013,"D19","B43","Wheat",4596
"405",2013,"D19","B44","Wheat",4652
"406",2013,"D19","B45","Wheat",4762
"407",2013,"D19","B46","Wheat",4317
"408",2013,"D19","B47","Wheat",4736
"409",2013,"D19","B48","Wheat",4634
"410",2013,"D19","B49","Wheat",4724
"411",2013,"D5","B50","Wheat",4237
"412",2013,"D5","B51","Wheat",4629
"413",2013,"D5","B52","Wheat",4046
"414",2013,"D5","B53","Wheat",4465
"415",2013,"D12","B54","Wheat",3894
"416",2013,"D12","B55","Wheat",4445
"417",2013,"D12","B56","Wheat",4075
"418",2013,"D12","B57","Wheat",3987
"419",2013,"D12","B58","Wheat",5007
"421",2013,"D3","B60","Wheat",4652
"422",2013,"D3","B61","Wheat",4673
"423",2013,"D13","B62","Wheat",4613
"424",2013,"D13","B63","Wheat",4456
"425",2013,"D13","B64","Wheat",4681
"426",2013,"D13","B65","Wheat",4405
"427",2013,"D15","B66","Wheat",4810
"428",2013,"D15","B67","Wheat",4974
"429",2013,"D15","B68","Wheat",4940
"430",2013,"D15","B69","Wheat",4507
"431",2013,"D15","B70","Wheat",5169
"432",2013,"D9","B71","Wheat",4761
"433",2013,"D9","B72","Wheat",5102
"434",2013,"D9","B73","Wheat",5215
"435",2013,"D9","B74","Wheat",4629
"436",2013,"D9","B75","Wheat",4944
"437",2013,"D9","B76","Wheat",4833
"438",2013,"D10","B77","Wheat",4636
"439",2013,"D10","B78","Wheat",4626
"440",2013,"D10","B79","Wheat",5172
"441",2013,"D10","B80","Wheat",5071
"442",2013,"D10","B81","Wheat",5039
"443",2013,"D8","B82","Wheat",4970
"444",2013,"D8","B83","Wheat",4719
"445",2013,"D8","B84","Wheat",4942
"446",2013,"D8","B85","Wheat",4705
"447",2013,"D8","B86","Wheat",4533
"448",2013,"D8","B87","Wheat",5333
"450",2013,"D21","B88","Wheat",4759
"451",2013,"D21","B89","Wheat",4855
"452",2013,"D21","B90","Wheat",4619
"453",2013,"D21","B91","Wheat",4581
"454",2013,"D21","B92","Wheat",4692
"455",2013,"D21","B93","Wheat",3929
"456",2013,"D14","B94","Wheat",2108
"457",2013,"D14","B6","Wheat",4397
"458",2013,"D14","B95","Wheat",4038
"459",2013,"D14","B96","Wheat",3282
"460",2013,"D20","B97","Wheat",4516
"461",2013,"D20","B98","Wheat",4454
"462",2013,"D20","B99","Wheat",4972
"463",2013,"D20","B100","Wheat",4311
"464",2013,"D20","B101","Wheat",4017
"465",2013,"D20","B102","Wheat",4917
"466",2013,"D7","B103","Wheat",3977
"467",2013,"D7","B104","Wheat",3680
"468",2013,"D7","B105","Wheat",4376
"469",2013,"D7","B106","Wheat",4729
"470",2013,"D7","B107","Wheat",4674
"471",2013,"D7","B108","Wheat",5015
"472",2013,"D7","B109","Wheat",5014
"473",2013,"D11","B110","Wheat",5098
"474",2013,"D11","B111","Wheat",5221
"475",2013,"D11","B112","Wheat",5474
"476",2013,"D11","B113","Wheat",4574
"477",2013,"D11","B114","Wheat",4453
"478",2013,"D16","B115","Wheat",4209
"479",2013,"D16","B116","Wheat",4979
"480",2013,"D16","B117","Wheat",4931
"481",2013,"D16","B118","Wheat",5257
"482",2013,"D16","B119","Wheat",5309
"1324",2014,"D22","B1","Wheat",4025
"1325",2014,"D22","B120","Wheat",3720
"1326",2014,"D22","B3","Wheat",3589
"1327",2014,"D22","B4","Wheat",4107
"1328",2014,"D22","B5","Wheat",4287
"1329",2014,"D22","B6","Wheat",4648
"1330",2014,"D22","B7","Wheat",4226
"1331",2014,"D22","B8","Wheat",4419
"1332",2014,"D22","B9","Wheat",4862
"1333",2014,"D4","B10","Wheat",5309
"1334",2014,"D4","B11","Wheat",4959
"1335",2014,"D4","B12","Wheat",4779
"1336",2014,"D4","B13","Wheat",4759
"1337",2014,"D4","B14","Wheat",4010
"1338",2014,"D4","B15","Wheat",4706
"1339",2014,"D18","B16","Wheat",4624
"1340",2014,"D18","B17","Wheat",4926
"1341",2014,"D18","B18","Wheat",4697
"1342",2014,"D18","B19","Wheat",4524
"1343",2014,"D18","B20","Wheat",4591
"1344",2014,"D18","B21","Wheat",4825
"1345",2014,"D18","B22","Wheat",4695
"1346",2014,"D1","B23","Wheat",3648
"1347",2014,"D1","B24","Wheat",3877
"1348",2014,"D1","B25","Wheat",4394
"1349",2014,"D1","B26","Wheat",3759
"1350",2014,"D1","B27","Wheat",3332
"1351",2014,"D1","B28","Wheat",4272
"1352",2014,"D1","B29","Wheat",3617
"1353",2014,"D1","B30","Wheat",3744
"1354",2014,"D1","B31","Wheat",3853
"1355",2014,"D1","B32","Wheat",4239
"1356",2014,"D17","B33","Wheat",2893
"1357",2014,"D17","B34","Wheat",3618
"1358",2014,"D17","B35","Wheat",4038
"1359",2014,"D17","B36","Wheat",3249
"1360",2014,"D17","B37","Wheat",3529
"1361",2014,"D6","B38","Wheat",3247
"1362",2014,"D6","B39","Wheat",3816
"1363",2014,"D6","B40","Wheat",3286
"1364",2014,"D6","B41","Wheat",4219
"1365",2014,"D6","B42","Wheat",3909
"1366",2014,"D19","B43","Wheat",3879
"1367",2014,"D19","B44","Wheat",3407
"1368",2014,"D19","B45","Wheat",3755
"1369",2014,"D19","B46","Wheat",3896
"1370",2014,"D19","B47","Wheat",4181
"1371",2014,"D19","B48","Wheat",3401
"1372",2014,"D19","B49","Wheat",3686
"1373",2014,"D5","B50","Wheat",2652
"1374",2014,"D5","B51","Wheat",3367
"1375",2014,"D5","B52","Wheat",2573
"1376",2014,"D5","B53","Wheat",3995
"1377",2014,"D12","B54","Wheat",2600
"1378",2014,"D12","B55","Wheat",4227
"1379",2014,"D12","B56","Wheat",3468
"1380",2014,"D12","B57","Wheat",3257
"1381",2014,"D12","B58","Wheat",2999
"1382",2014,"D3","B60","Wheat",3676
"1383",2014,"D3","B61","Wheat",3014
"1384",2014,"D13","B62","Wheat",3589
"1385",2014,"D13","B63","Wheat",3072
"1386",2014,"D13","B64","Wheat",3674
"1387",2014,"D13","B65","Wheat",3042
"1388",2014,"D15","B66","Wheat",3042
"1389",2014,"D15","B67","Wheat",3821
"1390",2014,"D15","B68","Wheat",3572
"1391",2014,"D15","B69","Wheat",3573
"1392",2014,"D15","B70","Wheat",3525
"1393",2014,"D9","B71","Wheat",4036
"1394",2014,"D9","B72","Wheat",3850
"1395",2014,"D9","B73","Wheat",4432
"1396",2014,"D9","B74","Wheat",3873
"1397",2014,"D9","B75","Wheat",3935
"1398",2014,"D9","B76","Wheat",4144
"1399",2014,"D10","B77","Wheat",4077
"1400",2014,"D10","B78","Wheat",4009
"1401",2014,"D10","B79","Wheat",3707
"1402",2014,"D10","B80","Wheat",4380
"1403",2014,"D10","B81","Wheat",4626
"1404",2014,"D8","B82","Wheat",4333
"1405",2014,"D8","B83","Wheat",4202
"1406",2014,"D8","B84","Wheat",4343
"1407",2014,"D8","B85","Wheat",3500
"1408",2014,"D8","B86","Wheat",4188
"1409",2014,"D8","B87","Wheat",5134
"1410",2014,"D21","B88","Wheat",3720
"1411",2014,"D21","B89","Wheat",3782
"1412",2014,"D21","B90","Wheat",3265
"1413",2014,"D21","B91","Wheat",3788
"1414",2014,"D21","B92","Wheat",3685
"1415",2014,"D21","B93","Wheat",3911
"1416",2014,"D14","B94","Wheat",1890
"1417",2014,"D14","B6","Wheat",3144
"1418",2014,"D14","B95","Wheat",3179
"1419",2014,"D14","B96","Wheat",3232
"1420",2014,"D20","B97","Wheat",4000
"1421",2014,"D20","B98","Wheat",3412
"1422",2014,"D20","B99","Wheat",4343
"1423",2014,"D20","B100","Wheat",3563
"1424",2014,"D20","B101","Wheat",3615
"1425",2014,"D20","B102","Wheat",4079
"1426",2014,"D7","B103","Wheat",3625
"1427",2014,"D7","B104","Wheat",3710
"1428",2014,"D7","B105","Wheat",3485
"1429",2014,"D7","B106","Wheat",3494
"1430",2014,"D7","B107","Wheat",3051
"1431",2014,"D7","B108","Wheat",3889
"1432",2014,"D7","B109","Wheat",4067
"1433",2014,"D11","B110","Wheat",3717
"1434",2014,"D11","B111","Wheat",3997
"1435",2014,"D11","B112","Wheat",4931
"1436",2014,"D11","B113","Wheat",4891
"1437",2014,"D11","B114","Wheat",4230
"1438",2014,"D16","B115","Wheat",3709
"1439",2014,"D16","B116","Wheat",4422
"1440",2014,"D16","B117","Wheat",3212
"1441",2014,"D16","B118","Wheat",4088
"1442",2014,"D16","B119","Wheat",2687
"2276",2015,"D22","B1","Wheat",4877
"2277",2015,"D22","B120","Wheat",4273
"2278",2015,"D22","B3","Wheat",4722
"2279",2015,"D22","B4","Wheat",4711
"2280",2015,"D22","B5","Wheat",4676
"2281",2015,"D22","B6","Wheat",4781
"2282",2015,"D22","B7","Wheat",4391
"2283",2015,"D22","B8","Wheat",4630
"2284",2015,"D22","B9","Wheat",4618
"2285",2015,"D4","B10","Wheat",4863
"2286",2015,"D4","B11","Wheat",4664
"2287",2015,"D4","B12","Wheat",4358
"2288",2015,"D4","B13","Wheat",4228
"2289",2015,"D4","B14","Wheat",4572
"2290",2015,"D4","B15","Wheat",4314
"2291",2015,"D18","B16","Wheat",4870
"2292",2015,"D18","B17","Wheat",4841
"2293",2015,"D18","B18","Wheat",4945
"2294",2015,"D18","B19","Wheat",4876
"2295",2015,"D18","B20","Wheat",4957
"2296",2015,"D18","B21","Wheat",4766
"2297",2015,"D18","B22","Wheat",4582
"2298",2015,"D1","B23","Wheat",4941
"2299",2015,"D1","B24","Wheat",3861
"2300",2015,"D1","B25","Wheat",4144
"2301",2015,"D1","B26","Wheat",4325
"2302",2015,"D1","B27","Wheat",4064
"2303",2015,"D1","B28","Wheat",3890
"2304",2015,"D1","B29","Wheat",3686
"2305",2015,"D1","B30","Wheat",3675
"2306",2015,"D1","B31","Wheat",4059
"2307",2015,"D1","B32","Wheat",2971
"2308",2015,"D17","B33","Wheat",3928
"2309",2015,"D17","B34","Wheat",3935
"2310",2015,"D17","B35","Wheat",3524
"2311",2015,"D17","B36","Wheat",4176
"2312",2015,"D17","B37","Wheat",3831
"2313",2015,"D6","B38","Wheat",3722
"2314",2015,"D6","B39","Wheat",4212
"2315",2015,"D6","B40","Wheat",4129
"2316",2015,"D6","B41","Wheat",4183
"2317",2015,"D6","B42","Wheat",3430
"2318",2015,"D19","B43","Wheat",4390
"2319",2015,"D19","B44","Wheat",4671
"2320",2015,"D19","B45","Wheat",4299
"2321",2015,"D19","B46","Wheat",4548
"2322",2015,"D19","B47","Wheat",4333
"2323",2015,"D19","B48","Wheat",3732
"2324",2015,"D19","B49","Wheat",4220
"2325",2015,"D5","B50","Wheat",4461
"2326",2015,"D5","B51","Wheat",4079
"2327",2015,"D5","B52","Wheat",3960
"2328",2015,"D5","B53","Wheat",4763
"2329",2015,"D12","B54","Wheat",4037
"2330",2015,"D12","B55","Wheat",4718
"2331",2015,"D12","B56","Wheat",3716
"2332",2015,"D12","B57","Wheat",3496
"2333",2015,"D12","B58","Wheat",3951
"2334",2015,"D3","B60","Wheat",3651
"2335",2015,"D3","B61","Wheat",3323
"2336",2015,"D13","B62","Wheat",4090
"2337",2015,"D13","B63","Wheat",3882
"2338",2015,"D13","B64","Wheat",4349
"2339",2015,"D13","B65","Wheat",3749
"2340",2015,"D15","B66","Wheat",4274
"2341",2015,"D15","B67","Wheat",4266
"2342",2015,"D15","B68","Wheat",4469
"2343",2015,"D15","B69","Wheat",4930
"2344",2015,"D15","B70","Wheat",4258
"2345",2015,"D9","B71","Wheat",6326
"2346",2015,"D9","B72","Wheat",4532
"2347",2015,"D9","B73","Wheat",4693
"2348",2015,"D9","B74","Wheat",4555
"2349",2015,"D9","B75","Wheat",4782
"2350",2015,"D9","B76","Wheat",4664
"2351",2015,"D10","B77","Wheat",4314
"2352",2015,"D10","B78","Wheat",4455
"2353",2015,"D10","B79","Wheat",4652
"2354",2015,"D10","B80","Wheat",4691
"2355",2015,"D10","B81","Wheat",4688
"2356",2015,"D8","B82","Wheat",4565
"2357",2015,"D8","B83","Wheat",4872
"2358",2015,"D8","B84","Wheat",4339
"2359",2015,"D8","B85","Wheat",4549
"2360",2015,"D8","B86","Wheat",4520
